condition	vocab_id	code	description
AF	ICD10	I48	Atrial fibrillation and flutter
AF	Read2	14AN.00	H/O: atrial fibrillation
AF	Read2	14AR.00	History of atrial flutter
AF	Read2	212R.00	Atrial fibrillation resolved
AF	Read2	3272.00	ECG: atrial fibrillation
AF	Read2	3273.00	ECG: atrial flutter
AF	Read2	662S.00	Atrial fibrillation monitoring
AF	Read2	6A9..00	Atrial fibrillation annual review
AF	Read2	9hF..00	Exception reporting: atrial fibrillation quality indicators
AF	Read2	9hF1.00	Excepted from atrial fibrillation quality indicators: Informed dissent
AF	Read2	9Os..00	Atrial fibrillation monitoring administration
AF	Read2	9Os0.00	Atrial fibrillation monitoring first letter
AF	Read2	9Os1.00	Atrial fibrillation monitoring second letter
AF	Read2	9Os2.00	Atrial fibrillation monitoring third letter
AF	Read2	9Os3.00	Atrial fibrillation monitoring verbal invite
AF	Read2	9Os4.00	Atrial fibrillation monitoring telephone invite
AF	Read2	G573.00	Atrial fibrillation and flutter
AF	Read2	G573000	Atrial fibrillation
AF	Read2	G573100	Atrial flutter
AF	Read2	G573200	Paroxysmal atrial fibrillation
AF	Read2	G573300	Non-rheumatic atrial fibrillation
AF	Read2	G573400	Permanent atrial fibrillation
AF	Read2	G573500	Persistent atrial fibrillation
AF	Read2	G573z00	Atrial fibrillation and flutter NOS
AF	CTV3	XaDv6Yae1S	H/O: atrial fibrillation
AF	CTV3	XaNRAYaqSA	History of atrial flutter
AF	CTV3	XaLFzYaoJn	Atrial fibrillation resolved
AF	CTV3	3272.Y7Fux	ECG: atrial fibrillation
AF	CTV3	3273.Y7FuP	ECG: atrial flutter
AF	CTV3	XaIITYakgl	Atrial fibrillation monitoring
AF	CTV3	XaMGDYapQV	Atrial fibrillation annual review
AF	CTV3	XaLFhYaoJH	Exception reporting: atrial fibrillation quality indicators
AF	CTV3	XaLFjYaoJL	Excepted from atrial fibrillation quality indicators: Informed dissent
AF	CTV3	XaMDFYapMi	Atrial fibrillation monitoring administration
AF	CTV3	XaMDGYapMk	Atrial fibrillation monitoring first letter
AF	CTV3	XaMDHYapMm	Atrial fibrillation monitoring second letter
AF	CTV3	XaMDIYapMo	Atrial fibrillation monitoring third letter
AF	CTV3	XaMDKYapMr	Atrial fibrillation monitoring verbal invite
AF	CTV3	XaMFnYapPu	Atrial fibrillation monitoring telephone invite
AF	CTV3	G573.Y20AM	Atrial fibrillation and flutter
AF	CTV3	G5730Y20AP	Atrial fibrillation
AF	CTV3	G5731Y20AO	Atrial flutter
AF	CTV3	Xa2E8Ya49r	Paroxysmal atrial fibrillation
AF	CTV3	X202SY20AS	Non-rheumatic atrial fibrillation
AF	CTV3	XaOftYarAt	Permanent atrial fibrillation
AF	CTV3	XaOfaYarAa	Persistent atrial fibrillation
AF	CTV3	G573zY20AN	Atrial fibrillation and flutter NOS
AF	medcodeid	82343012	Atrial fibrillation
AF	medcodeid	256478018	ECG: atrial fibrillation
AF	medcodeid	256479014	ECG: atrial flutter
AF	medcodeid	300130013	Atrial fibrillation and flutter
AF	medcodeid	350465014	Non-rheumatic atrial fibrillation
AF	medcodeid	2692063011	History of atrial flutter
AF	medcodeid	294601000000110	Atrial fibrillation resolved
AF	medcodeid	406861000000119	Atrial fibrillation annual review
AF	medcodeid	408081000000116	Atrial fibrillation monitoring first letter
