condition	vocab_id	code	description
COPD	ICD10	J43	Emphysema
COPD	ICD10	J44	Other chronic obstructive pulmonary disease
COPD	Read2	14B3.12	History of chronic obstructive pulmonary disease
COPD	Read2	H3...00	Chronic obstructive pulmonary disease
COPD	Read2	H3...11	Chronic obstructive airways disease
COPD	Read2	H312.00	Obstructive chronic bronchitis
COPD	Read2	H312000	Chronic asthmatic bronchitis
COPD	Read2	H312011	Chronic wheezy bronchitis
COPD	Read2	H312100	Emphysematous bronchitis
COPD	Read2	H312200	Acute exacerbation of chronic obstructive airways disease
COPD	Read2	H312z00	Obstructive chronic bronchitis NOS
COPD	Read2	H32..00	Emphysema
COPD	Read2	H320.00	Chronic bullous emphysema
COPD	Read2	H320000	Segmental bullous emphysema
COPD	Read2	H320100	Zonal bullous emphysema
COPD	Read2	H320200	Giant bullous emphysema
COPD	Read2	H320300	Bullous emphysema with collapse
COPD	Read2	H320z00	Chronic bullous emphysema NOS
COPD	Read2	H321.00	Panlobular emphysema
COPD	Read2	H322.00	Centrilobular emphysema
COPD	Read2	H32y.00	Other emphysema
COPD	Read2	H32y000	Acute vesicular emphysema
COPD	Read2	H32y100	Atrophic (senile) emphysema
COPD	Read2	H32y111	Acute interstitial emphysema
COPD	Read2	H32y200	MacLeod's unilateral emphysema
COPD	Read2	H32yz00	Other emphysema NOS
COPD	Read2	H32z.00	Emphysema NOS
COPD	Read2	H36..00	Mild chronic obstructive pulmonary disease
COPD	Read2	H37..00	Moderate chronic obstructive pulmonary disease
COPD	Read2	H38..00	Severe chronic obstructive pulmonary disease
COPD	Read2	H39..00	Very severe chronic obstructive pulmonary disease
COPD	Read2	H3A..00	End stage chronic obstructive airways disease
COPD	Read2	H3y..00	Other specified chronic obstructive airways disease
COPD	Read2	H3y..11	Other specified chronic obstructive pulmonary disease
COPD	Read2	H3y0.00	Chronic obstructive pulmonary disease with acute lower respiratory infection
COPD	Read2	H3y1.00	Chronic obstructive pulmonary disease with acute exacerbation, unspecified
COPD	Read2	H3z..00	Chronic obstructive airways disease NOS
COPD	Read2	H3z..11	Chronic obstructive pulmonary disease NOS
COPD	Read2	Hyu3000	[X]Other emphysema
COPD	Read2	Hyu3100	[X]Other specified chronic obstructive pulmonary disease
COPD	CTV3	14B3.YaudH	History of chronic obstructive pulmonary disease
COPD	CTV3	XE2PpYaudH	History of chronic obstructive pulmonary disease
COPD	CTV3	H3...Y106W	Chronic obstructive pulmonary disease
COPD	CTV3	H3...Y106U	Chronic obstructive lung disease
COPD	CTV3	H3...Y106Z	COAD - Chronic obstructive airways disease
COPD	CTV3	H3...Y106o	Obstructive chronic bronchitis
COPD	CTV3	H3120Y108g	Chronic asthmatic bronchitis
COPD	CTV3	H3120Y108h	Chronic wheezy bronchitis
COPD	CTV3	H3121Y106p	Emphysematous bronchitis
COPD	CTV3	H3122Y106q	Acute exacerbation of chronic obstructive airways disease
COPD	CTV3	H312zY106r	Obstructive chronic bronchitis NOS
COPD	CTV3	H32..Y107H	Emphysema
COPD	CTV3	H320.Y107S	Chronic bullous emphysema
COPD	CTV3	H3200Y107Z	Segmental bullous emphysema
COPD	CTV3	H3201Y107a	Zonal bullous emphysema
COPD	CTV3	H3202Y107Y	Giant bullous emphysema
COPD	CTV3	XE0YNY107W	Bullous emphysema with collapse
COPD	CTV3	H320zY107V	Chronic bullous emphysema NOS
COPD	CTV3	H321.YMAjG	Panlobular emphysema
COPD	CTV3	H322.YMAjH	Centrilobular emphysema
COPD	CTV3	H32y.Y107I	Other emphysema
COPD	CTV3	H32y0Y107J	Acute vesicular emphysema
COPD	CTV3	XE0YOY107K	Atrophic (senile) emphysema
COPD	CTV3	H581.Y107i	Acute interstitial emphysema
COPD	CTV3	XaIQgY107h	Interstitial pulmonary emphysema
COPD	CTV3	H32y2YMK6z	MacLeod's unilateral emphysema
COPD	CTV3	XE0YPY107L	Other emphysema NOS
COPD	CTV3	H32z.Y107M	Emphysema NOS
COPD	CTV3	XaEIVYaeay	Mild chronic obstructive pulmonary disease
COPD	CTV3	XaEIWYaeaz	Moderate chronic obstructive pulmonary disease
COPD	CTV3	XaEIYYaeb2	Severe chronic obstructive pulmonary disease
COPD	CTV3	XaN4aYaq8A	Very severe chronic obstructive pulmonary disease
COPD	CTV3	XaINDYakmF	End stage chronic obstructive airways disease
COPD	CTV3	H3y..Y106g	Other specified chronic obstructive airways disease
COPD	CTV3	H3y..Yadv4	Other specified chronic obstructive pulmonary disease
COPD	CTV3	H3y0.YMAjF	Chronic obstructive pulmonary disease with acute lower respiratory infection
COPD	CTV3	X101iYMAjE	Chronic obstructive pulmonary disease with acute exacerbation, unspecified
COPD	CTV3	H3z..Y106h	Chronic obstructive airways disease NOS
COPD	CTV3	H3z..Yadv5	Chronic obstructive pulmonary disease NOS
COPD	CTV3	Hyu30YMAJJ	[X]Other emphysema
