condition	vocab_id	code	description
GORD	ICD10	K21	Gastro-oesophageal reflux disease
GORD	Read2	171J.00	Reflux cough
GORD	Read2	1957.00	Gastric reflux
GORD	Read2	760L.00	Antireflux operations
GORD	Read2	760L.11	Oesophageal reflux operations
GORD	Read2	760L000	Antireflux fundoplication using thoracic approach
GORD	Read2	760L100	Antireflux operation using thoracic approach NEC
GORD	Read2	760L111	Antireflux procedure using thoracic approach NEC
GORD	Read2	760L200	Antireflux fundoplication using abdominal approach
GORD	Read2	760L300	Antireflux gastropexy
GORD	Read2	760L311	Antireflux gastroplasty
GORD	Read2	760L400	Antireflux procedure and gastroplasty however further qualified
GORD	Read2	760Ly00	Other specified antireflux operation
GORD	Read2	760Lz00	Antireflux operation NOS
GORD	Read2	760M.00	Revision of antireflux operations
GORD	Read2	760Mz00	Revision of antireflux operation NOS
GORD	Read2	J101100	Reflux oesophagitis
GORD	Read2	J101111	Acid reflux
GORD	Read2	J101112	Gastro-oesophageal reflux with oesophagitis
GORD	Read2	J101113	Oesophageal reflux with oesophagitis
GORD	Read2	J10y400	Oesopheal reflux without mention of oesophagitis
GORD	Read2	J10y411	Oesophageal reflux
GORD	Read2	J10y412	Gastro-oesophageal reflux
GORD	Read2	J10y413	Acid reflux
GORD	Read2	J10y500	Laryngopharyngeal reflux
GORD	CTV3	XaLCSYaoGK	Reflux cough
GORD	CTV3	Ua1kQYMG5G	Gastric reflux
GORD	CTV3	XE0CYY21UT	Antireflux operation
GORD	CTV3	XE0CYY21UU	Oesophageal reflux operation
GORD	CTV3	XE0CZYaVeA	Antireflux fundoplication using thoracic approach
GORD	CTV3	760L1Y21Ud	Antireflux operation using thoracic approach NEC
GORD	CTV3	760L1Y21Ue	Antireflux procedure using thoracic approach NEC
GORD	CTV3	XE0CaY21Uc	Antireflux fundoplication using abdominal approach
GORD	CTV3	XE0CbY21Us	Antireflux gastropexy
GORD	CTV3	X20UTY21Ux	Gastroplasty
GORD	CTV3	X20UTYaQvm	GP - Gastroplasty
GORD	CTV3	760L4Y21Ub	Antireflux procedure and gastroplasty however further qualified
GORD	CTV3	760LyY21Ua	Other specified antireflux operation
GORD	CTV3	760LzY21UZ	Antireflux operation NOS
GORD	CTV3	760M.Y21UV	Revision of antireflux operations
GORD	CTV3	760MzY21UW	Revision of antireflux operation NOS
GORD	CTV3	XE0aLY300q	Reflux oesophagitis
GORD	CTV3	X3003Y300k	Acid reflux
GORD	CTV3	XE0aLY300m	Gastro-oesophageal reflux disease with oesophagitis
GORD	CTV3	XE0aLY300o	Oesophageal reflux with oesophagitis
