condition	vocab_id	code	description
HF	ICD10	I11.0	Hypertensive heart disease with (congestive) heart failure
HF	ICD10	I13.0	Hypertensive heart and renal disease with (congestive) heart failure
HF	ICD10	I13.2	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
HF	ICD10	I50	Heart failure
HF	Read2	14A6.00	H/O: heart failure
HF	Read2	14AM.00	H/O: Heart failure in last year
HF	Read2	1O1..00	Heart failure confirmed
HF	Read2	388D.00	New York Heart Association classification of heart failure symptoms
HF	Read2	661M500	Heart failure self-management plan agreed
HF	Read2	662f.00	New York Heart Association classification - class I
HF	Read2	662g.00	New York Heart Association classification - class II
HF	Read2	662h.00	New York Heart Association classification - class III
HF	Read2	662i.00	New York Heart Association classification - class IV
HF	Read2	662p.00	Heart failure 6 month review
HF	Read2	662T.00	Congestive heart failure monitoring
HF	Read2	662W.00	Heart failure annual review
HF	Read2	679W100	Education about deteriorating heart failure
HF	Read2	679X.00	Heart failure education
HF	Read2	8B29.00	Cardiac failure therapy
HF	Read2	8CeC.00	Preferred place of care for next exacerbation of heart failure
HF	Read2	8CL3.00	Heart failure care plan discussed with patient
HF	Read2	8CMK.00	Has heart failure management plan
HF	Read2	8CMW800	Heart failure clinical pathway
HF	Read2	8H2S.00	Admit heart failure emergency
HF	Read2	8HBE.00	Heart failure follow-up
HF	Read2	8HHz.00	Referral to heart failure exercise programme
HF	Read2	8Hk0.00	Referred to heart failure education group
HF	Read2	9h1..00	Exception reporting: LVD quality indicators
HF	Read2	9h11.00	Excepted from LVD quality indicators: Patient unsuitable
HF	Read2	9h12.00	Excepted from LVD quality indicators: Informed dissent
HF	Read2	9hH..00	Exception reporting: heart failure quality indicators
HF	Read2	9hH0.00	Excepted from heart failure quality indicators: Patient unsuitable
HF	Read2	9hH1.00	Excepted from heart failure quality indicators: Informed dissent
HF	Read2	9N2p.00	Seen by community heart failure nurse
HF	Read2	9N6T.00	Referred by heart failure nurse specialist
HF	Read2	9On..00	Left ventricular dysfunction monitoring administration
HF	Read2	9On0.00	Left ventricular dysfunction monitoring first letter
HF	Read2	9On1.00	Left ventricular dysfunction monitoring second letter
HF	Read2	9On2.00	Left ventricular dysfunction monitoring third letter
HF	Read2	9On3.00	Left ventricular dysfunction monitoring verbal invite
HF	Read2	9On4.00	Left ventricular dysfunction monitoring telephone invite
HF	Read2	9Or..00	Heart failure monitoring administration
HF	Read2	9Or0.00	Heart failure review completed
HF	Read2	9Or1.00	Heart failure monitoring telephone invite
HF	Read2	9Or2.00	Heart failure monitoring verbal invite
HF	Read2	9Or3.00	Heart failure monitoring first letter
HF	Read2	9Or4.00	Heart failure monitoring second letter
HF	Read2	9Or5.00	Heart failure monitoring third letter
HF	Read2	G1yz100	Rheumatic left ventricular failure
HF	Read2	G210100	Malignant hypertensive heart disease with congestive cardiac failure
HF	Read2	G211100	Benign hypertensive heart disease with congestive cardiac failure
HF	Read2	G21z100	Hypertensive heart disease NOS with congestive cardiac failure
HF	Read2	G232.00	Hypertensive heart and renal disease with (congestive) heart failure
HF	Read2	G234.00	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
HF	Read2	G400.00	Acute cor pulmonale
HF	Read2	G41z.11	Chronic cor pulmonale
HF	Read2	G554000	Congestive cardiomyopathy
HF	Read2	G554011	Congestive obstructive cardiomyopathy
HF	Read2	G58..00	Heart failure
HF	Read2	G58..11	Cardiac failure
HF	Read2	G580.00	Congestive heart failure
HF	Read2	G580.11	Congestive cardiac failure
HF	Read2	G580.12	Right heart failure
HF	Read2	G580.13	Right ventricular failure
HF	Read2	G580.14	Biventricular failure
HF	Read2	G580000	Acute congestive heart failure
HF	Read2	G580100	Chronic congestive heart failure
HF	Read2	G580200	Decompensated cardiac failure
HF	Read2	G580300	Compensated cardiac failure
HF	Read2	G580400	Congestive heart failure due to valvular disease
HF	Read2	G581.00	Left ventricular failure
HF	Read2	G581.11	Asthma - cardiac
HF	Read2	G581.13	Impaired left ventricular function
HF	Read2	G581000	Acute left ventricular failure
HF	Read2	G582.00	Acute heart failure
HF	Read2	G584.00	Right ventricular failure
HF	Read2	G58z.00	Heart failure NOS
HF	Read2	G58z.12	Cardiac failure NOS
HF	Read2	G5yy900	Left ventricular systolic dysfunction
HF	Read2	G5yyA00	Left ventricular diastolic dysfunction
HF	Read2	ZRad.00	New York Heart Assoc classification heart failure symptoms
HF	CTV3	14A6.Ya04n	H/O: heart failure
HF	CTV3	XaBwiYabP2	H/O: Heart failure in last year
HF	CTV3	XaIpnYalSS	Heart failure confirmed
HF	CTV3	XaIL7Yakk0	New York Heart Association classification of heart failure symptoms
HF	CTV3	XaYbCYauv2	Heart failure self-management plan agreed
HF	CTV3	XaJ9GYam6z	New York Heart Association classification - class I
HF	CTV3	XaJ9HYam71	New York Heart Association classification - class II
HF	CTV3	XaJ9IYam73	New York Heart Association classification - class III
HF	CTV3	XaJ9JYam75	New York Heart Association classification - class IV
HF	CTV3	XaLonYaovL	Heart failure 6 month review
HF	CTV3	XaIIUYakgm	Congestive heart failure monitoring
HF	CTV3	XaIQNYakrM	Heart failure annual review
HF	CTV3	XaYftYauyl	Education about deteriorating heart failure
HF	CTV3	XaNUfYaqWc	Heart failure education
HF	CTV3	XaBLtYaafe	Cardiac failure therapy
HF	CTV3	XaXzwYaudC	Preferred place of care for next exacerbation of heart failure
HF	CTV3	XaLNAYaoSM	Heart failure care plan discussed with patient
HF	CTV3	XaXkRYauUR	Has heart failure management plan
HF	CTV3	XaZihYaviz	Heart failure clinical pathway
HF	CTV3	XaKNWYandx	Admit heart failure emergency
HF	CTV3	XaIQMYakrL	Heart failure follow-up
HF	CTV3	XaLMxYaoS7	Referral to heart failure exercise programme
HF	CTV3	XaLSIYaoY4	Referred to heart failure education group
HF	CTV3	XaJ4NYam0F	Exception reporting: LVD quality indicators
HF	CTV3	XaJ4YYam0b	Excepted from LVD quality indicators: Patient unsuitable
HF	CTV3	XaJ4ZYam0d	Excepted from LVD quality indicators: Informed dissent
HF	CTV3	XaMJ9YapU5	Exception reporting: heart failure quality indicators
HF	CTV3	XaMJAYapU7	Excepted from heart failure quality indicators: Patient unsuitable
HF	CTV3	XaMJBYapU9	Excepted from heart failure quality indicators: Informed dissent
HF	CTV3	XaKNaYane4	Seen by community heart failure nurse
HF	CTV3	XaLCjYaoGZ	Referred by heart failure nurse specialist
HF	CTV3	XaK6WYanJM	Left ventricular dysfunction monitoring administration
HF	CTV3	XaK6YYanJQ	Left ventricular dysfunction monitoring first letter
HF	CTV3	XaK6ZYanJS	Left ventricular dysfunction monitoring second letter
HF	CTV3	XaK6aYanJU	Left ventricular dysfunction monitoring third letter
HF	CTV3	XaKc0YanwM	Left ventricular dysfunction monitoring verbal invite
HF	CTV3	XaMGmYapRR	Left ventricular dysfunction monitoring telephone invite
HF	CTV3	XaLN6YaoSI	Heart failure monitoring administration
HF	CTV3	XaLN7YaoSK	Heart failure review completed
HF	CTV3	XaMFrYapQ2	Heart failure monitoring telephone invite
HF	CTV3	XaMGoYapRV	Heart failure monitoring verbal invite
HF	CTV3	XaMGsYapRa	Heart failure monitoring first letter
HF	CTV3	XaMGtYapRc	Heart failure monitoring second letter
HF	CTV3	XaMGuYapRe	Heart failure monitoring third letter
HF	CTV3	G1yz1Y20D3	Rheumatic left ventricular failure
HF	CTV3	G2101Y20Ce	Malignant hypertensive heart disease with congestive cardiac failure
HF	CTV3	G2111Y20Ci	Benign hypertensive heart disease with congestive cardiac failure
HF	CTV3	G21z1Y20Cn	Hypertensive heart disease NOS with congestive cardiac failure
HF	CTV3	G232.YMAkW	Hypertensive heart and renal disease with (congestive) heart failure
HF	CTV3	G234.YMAkY	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
HF	CTV3	G400.Y20DD	Acute cor pulmonale
HF	CTV3	X203EY20Dz	Chronic cor pulmonale
HF	CTV3	XE0UzY207j	Congestive cardiomyopathy
HF	CTV3	X201WY207L	Congestive obstructive cardiomyopathy
HF	CTV3	G58..Y20Bq	Heart failure
HF	CTV3	G58..Y20Br	Cardiac failure
HF	CTV3	XE0V8Y20C6	Congestive heart failure
HF	CTV3	G580.Y20C5	Biventricular failure
HF	CTV3	XE0V8Y20C5	Biventricular failure
HF	CTV3	XE0V8Y20C8	Congestive cardiac failure
HF	CTV3	X202lY20C0	Right heart failure
HF	CTV3	X202lY20By	Right ventricular failure
HF	CTV3	G5800Ya3Ha	Acute congestive heart failure
HF	CTV3	G5801Ya3Hb	Chronic congestive heart failure
HF	CTV3	G5802YaYAT	Decompensated cardiac failure
HF	CTV3	G5803YaYAS	Compensated cardiac failure
HF	CTV3	XaO5nYaqtX	Congestive heart failure due to valvular disease
HF	CTV3	XE2QGY20C2	Left ventricular failure
HF	CTV3	X102YY10AG	Acute cardiac pulmonary oedema
HF	CTV3	X102YY10AH	Cardiac asthma
HF	CTV3	XM1QnY20C3	Impaired left ventricular function
HF	CTV3	G5810YaYAU	Acute left ventricular failure
HF	CTV3	G582.YaYAV	Acute heart failure
HF	CTV3	XE0V9Y20Bw	Heart failure NOS
HF	CTV3	XE0V9Yaad9	Cardiac failure NOS
HF	CTV3	XaIIqYakhN	Left ventricular systolic dysfunction
HF	CTV3	XaItGYaldA	Left ventricular diastolic dysfunction
HF	medcodeid	18472010	Acute congestive heart failure
HF	medcodeid	82584011	Acute cor pulmonale
HF	medcodeid	94251011	Acute heart failure
HF	medcodeid	139482012	Cardiac failure
HF	medcodeid	216207010	Left ventricular systolic dysfunction
HF	medcodeid	300179017	Decompensated cardiac failure
HF	medcodeid	300180019	Compensated cardiac failure
HF	medcodeid	300190010	Acute left ventricular failure
HF	medcodeid	411506018	Impaired left ventricular function
HF	medcodeid	451426015	Cardiac failure therapy
HF	medcodeid	453099015	H/O: Heart failure in last year
HF	medcodeid	1484917012	Heart failure follow-up
HF	medcodeid	1484918019	Heart failure annual review
HF	medcodeid	1778488011	Congestive cardiomyopathy
HF	medcodeid	2533628012	Left ventricular dysfunction monitoring first letter
HF	medcodeid	2533629016	Left ventricular dysfunction monitoring second letter
HF	medcodeid	2533630014	Left ventricular dysfunction monitoring third letter
HF	medcodeid	2549089012	Left ventricular dysfunction monitoring verbal invite
HF	medcodeid	2645623019	Heart failure education
HF	medcodeid	404741000000119	Heart failure 6 month review
HF	medcodeid	407061000000112	Heart failure monitoring first letter
HF	medcodeid	407081000000115	Heart failure monitoring second letter
HF	medcodeid	1746171000000119	Has heart failure management plan
HF	medcodeid	2117931000000116	Heart failure self-management plan agreed
HF	medcodeid	2122191000000110	Education about deteriorating heart failure
HF	medcodeid	1495417010	Asthma - cardiac
HF	medcodeid	139061000000114	Excepted from LVD quality indicators: Patient unsuitable
HF	medcodeid	223981000000118	Cardiac failure NOS
HF	medcodeid	308301000000118	Heart failure care plan discussed with patient
HF	medcodeid	407001000000113	Left ventricular dysfunction monitoring telephone invite
HF	medcodeid	728671000006119	Malignant hypertensive heart disease with CCF
HF	medcodeid	741681000006111	Hypertensive heart disease NOS with CCF
HF	medcodeid	789941000006117	Hyperten heart&renal dis+both(congestv)heart and renal fail
HF	medcodeid	1561951000006117	Excepted heart failure quality indicators: Informed dissent
HF	medcodeid	1816101000006113	Right ventricular failure
HF	medcodeid	2549208013	Admit heart failure emergency
HF	medcodeid	493287011	Congestive cardiac failure
HF	medcodeid	510016018	Biventricular failure
HF	medcodeid	303361000000111	Referred by heart failure nurse specialist
