condition	vocab_id	code	description
IDA	ICD10	D50	Iron deficiency anaemia
IDA	Read2	D0...11	Asiderotic anaemia
IDA	Read2	D0...12	Sideropenic anaemia
IDA	Read2	D00..00	Iron deficiency anaemias
IDA	Read2	D000.00	Iron deficiency anaemia due to chronic blood loss
IDA	Read2	D000.11	Normocytic anaemia due to chronic blood loss
IDA	Read2	D000.12	Iron deficiency anaemia due to blood loss
IDA	Read2	D001.00	Iron deficiency anaemia due to dietary causes
IDA	Read2	D00y.00	Other specified iron deficiency anaemia
IDA	Read2	D00y.11	Kelly - Paterson syndrome
IDA	Read2	D00y.12	Plummer - Vinson syndrome
IDA	Read2	D00y000	Sideropenic dysphagia
IDA	Read2	D00y011	Kelly-Paterson syndrome
IDA	Read2	D00y012	Plummer-Vinson syndrome
IDA	Read2	D00yz00	Other specified iron deficiency anaemia NOS
IDA	Read2	D00z.00	Unspecified iron deficiency anaemia
IDA	Read2	D00z000	Achlorhydric anaemia
IDA	Read2	D00z100	Chlorotic anaemia
IDA	Read2	D00zz00	Iron deficiency anaemia NOS
IDA	Read2	Dyu0000	[X]Other iron deficiency anaemias
IDA	CTV3	XE13cY20ZK	Iron deficiency anaemia
IDA	CTV3	XE13cYaQvU	IDA - Iron deficiency anaemia
IDA	CTV3	XE13dY20ZX	Iron deficiency anaemia due to chronic blood loss
IDA	CTV3	X20BzY20Zb	Normocytic anaemia due to chronic blood loss
IDA	CTV3	D001.Y20ZW	Iron deficiency anaemia due to dietary causes
IDA	CTV3	XE13eY20ZV	Other specified iron deficiency anaemia
IDA	CTV3	D00y0Y20Ze	Sideropenic dysphagia
IDA	CTV3	D00y0YMH0H	Kelly-Paterson syndrome
IDA	CTV3	D00y0Y20Zi	Plummer-Vinson syndrome
IDA	CTV3	D00yzY20ZU	Other specified iron deficiency anaemia NOS
IDA	CTV3	D00z.Y20ZQ	Unspecified iron deficiency anaemia
IDA	CTV3	D00z0Y20ZT	Achlorhydric anaemia
