condition	vocab_id	code	description
OA	ICD10	M15	Polyarthrosis
OA	ICD10	M16	Coxarthrosis [arthrosis of hip]
OA	ICD10	M17	Gonarthrosis [arthrosis of knee]
OA	ICD10	M18	Arthrosis of first carpometacarpal joint
OA	ICD10	M19	Other arthrosis
OA	Read2	14G2.00	H/O: osteoarthritis
OA	Read2	2G26.00	O/E - hands - Heberden's nodes
OA	Read2	7P20400	Delivery of rehabilitation for osteoarthritis
OA	Read2	N05..00	Osteoarthritis and allied disorders
OA	Read2	N05..11	Osteoarthritis
OA	Read2	N050.00	Generalised osteoarthritis - OA
OA	Read2	N050000	Generalised osteoarthritis of unspecified site
OA	Read2	N050100	Generalised osteoarthritis of the hand
OA	Read2	N050111	Heberdens' nodes
OA	Read2	N050112	Bouchards' nodes
OA	Read2	N050200	Generalised osteoarthritis of multiple sites
OA	Read2	N050300	Bouchard's nodes with arthropathy
OA	Read2	N050400	Primary generalized osteoarthrosis
OA	Read2	N050500	Secondary multiple arthrosis
OA	Read2	N050600	Erosive osteoarthrosis
OA	Read2	N050700	Heberden's nodes with arthropathy
OA	Read2	N050z00	Generalised osteoarthritis NOS
OA	Read2	N051.00	Localised, primary osteoarthritis
OA	Read2	N051000	Localised, primary osteoarthritis of unspecified site
OA	Read2	N051100	Localised, primary osteoarthritis of the shoulder region
OA	Read2	N051200	Localised, primary osteoarthritis of the upper arm
OA	Read2	N051300	Localised, primary osteoarthritis of the forearm
OA	Read2	N051400	Localised, primary osteoarthritis of the hand
OA	Read2	N051500	Localised, primary osteoarthritis of the pelvic region and thigh
OA	Read2	N051600	Localised, primary osteoarthritis of the lower leg
OA	Read2	N051700	Localised, primary osteoarthritis of the ankle and foot
OA	Read2	N051800	Localised, primary osteoarthritis of other specified site
OA	Read2	N051900	Primary coxarthrosis, bilateral
OA	Read2	N051A00	Coxarthrosis resulting from dysplasia, bilateral
OA	Read2	N051B00	Primary gonarthrosis, bilateral
OA	Read2	N051C00	Primary arthrosis of first carpometacarpal joints, bilateral
OA	Read2	N051D00	Localised, primary osteoarthritis of the wrist
OA	Read2	N051E00	Localised, primary osteoarthritis of toe
OA	Read2	N051F00	Localised, primary osteoarthritis of elbow
OA	Read2	N051G00	Osteoarthritis of spinal facet joint
OA	Read2	N051z00	Localised, primary osteoarthritis NOS
OA	Read2	N052.00	Localised, secondary osteoarthritis
OA	Read2	N052000	Localised, secondary osteoarthritis of unspecified site
OA	Read2	N052100	Localised, secondary osteoarthritis of the shoulder region
OA	Read2	N052200	Localised, secondary osteoarthritis of the upper arm
OA	Read2	N052300	Localised, secondary osteoarthritis of the forearm
OA	Read2	N052400	Localised, secondary osteoarthritis of the hand
OA	Read2	N052500	Localised, secondary osteoarthritis of the pelvic region and thigh
OA	Read2	N052511	Coxae malum senilis
OA	Read2	N052600	Localised, secondary osteoarthritis of the lower leg
OA	Read2	N052700	Localised, secondary osteoarthritis of the ankle and foot
OA	Read2	N052800	Localised, secondary osteoarthritis of other specified site
OA	Read2	N052z00	Localised, secondary osteoarthritis NOS
OA	Read2	N053.00	Localised osteoarthritis, unspecified
OA	Read2	N053000	Localised osteoarthritis, unspecified, of unspecified site
OA	Read2	N053100	Localised osteoarthritis, unspecified, of the shoulder region
OA	Read2	N053200	Localised osteoarthritis, unspecified, of the upper arm
OA	Read2	N053300	Localised osteoarthritis, unspecified, of the forearm
OA	Read2	N053400	Localised osteoarthritis, unspecified, of the hand
OA	Read2	N053500	Localised osteoarthritis, unspecified, of the pelvic region and thigh
OA	Read2	N053512	Hip osteoarthitis NOS
OA	Read2	N053600	Localised osteoarthritis, unspecified, of the lower leg
OA	Read2	N053611	Patellofemoral osteoarthritis
OA	Read2	N053700	Localised osteoarthritis, unspecified, of the ankle and foot
OA	Read2	N053800	Localised osteoarthritis, unspecified, of other specified site
OA	Read2	N053900	Arthrosis of first carpometacarpal joint, unspecified
OA	Read2	N053z00	Localised osteoarthritis, unspecified, NOS
OA	Read2	N054.00	Oligoarticular osteoarthritis, unspecified
OA	Read2	N054000	Oligoarticular osteoarthritis, unspecified, of unspecified sites
OA	Read2	N054100	Oligoarticular osteoarthritis, unspecified, of the shoulder region
OA	Read2	N054200	Oligoarticular osteoarthritis, unspecified, of upper arm
OA	Read2	N054400	Oligoarticular osteoarthritis, unspecified, of hand
OA	Read2	N054500	Oligoarticular osteoarthritis, unspecified, of the pelvic region and thigh
OA	Read2	N054600	Oligoarticular osteoarthritis, unspecified, of lower leg
OA	Read2	N054700	Oligoarticular osteoarthritis, unspecified, of ankle and foot
OA	Read2	N054800	Oligoarticular osteoarthritis, unspecified, of other specified sites
OA	Read2	N054900	Oligoarticular osteoarthritis, unspecified, of multiple sites
OA	Read2	N054z00	Osteoarthritis of more than one site, unspecified, NOS
OA	Read2	N05z.00	Osteoarthritis NOS
OA	Read2	N05z.11	Joint degeneration
OA	Read2	N05z000	Osteoarthritis NOS, of unspecified site
OA	Read2	N05z100	Osteoarthritis NOS, of shoulder region
OA	Read2	N05z400	Osteoarthritis NOS, of the hand
OA	Read2	N05z411	Finger osteoarthritis NOS
OA	Read2	N05z412	Thumb osteoarthritis NOS
