condition	vocab_id	code	description
SSD	ICD10	F20	Schizophrenia
SSD	ICD10	F21	Schizotypal disorder
SSD	ICD10	F22	Persistent delusional disorders
SSD	ICD10	F25	Schizoaffective disorders
SSD	ICD10	F28	Other nonorganic psychotic disorders
SSD	ICD10	F29	Unspecified nonorganic psychosis
SSD	Read2	1464.00	H/O: schizophrenia
SSD	Read2	146H.00	H/O: psychosis
SSD	Read2	212W.00	Schizophrenia resolved
SSD	Read2	212X.00	Psychosis resolved
SSD	Read2	285..11	Psychotic condition, insight present
SSD	Read2	286..11	Poor insight into psychotic condition
SSD	Read2	E1...00	Non-organic psychoses
SSD	Read2	E10..00	Schizophrenic disorders
SSD	Read2	E100.00	Simple schizophrenia
SSD	Read2	E100.11	Schizophrenia simplex
SSD	Read2	E100000	Unspecified schizophrenia
SSD	Read2	E100100	Subchronic schizophrenia
SSD	Read2	E100200	Chronic schizophrenic
SSD	Read2	E100300	Acute exacerbation of subchronic schizophrenia
SSD	Read2	E100400	Acute exacerbation of chronic schizophrenia
SSD	Read2	E100500	Schizophrenia in remission
SSD	Read2	E100z00	Simple schizophrenia NOS
SSD	Read2	E101.00	Hebephrenic schizophrenia
SSD	Read2	E101000	Unspecified hebephrenic schizophrenia
SSD	Read2	E101400	Acute exacerbation of chronic hebephrenic schizophrenia
SSD	Read2	E101500	Hebephrenic schizophrenia in remission
SSD	Read2	E101z00	Hebephrenic schizophrenia NOS
SSD	Read2	E102.00	Catatonic schizophrenia
SSD	Read2	E102000	Unspecified catatonic schizophrenia
SSD	Read2	E102100	Subchronic catatonic schizophrenia
SSD	Read2	E102400	Acute exacerbation of chronic catatonic schizophrenia
SSD	Read2	E102500	Catatonic schizophrenia in remission
SSD	Read2	E102z00	Catatonic schizophrenia NOS
SSD	Read2	E103.00	Paranoid schizophrenia
SSD	Read2	E103000	Unspecified paranoid schizophrenia
SSD	Read2	E103100	Subchronic paranoid schizophrenia
SSD	Read2	E103200	Chronic paranoid schizophrenia
SSD	Read2	E103300	Acute exacerbation of subchronic paranoid schizophrenia
SSD	Read2	E103400	Acute exacerbation of chronic paranoid schizophrenia
SSD	Read2	E103500	Paranoid schizophrenia in remission
SSD	Read2	E103z00	Paranoid schizophrenia NOS
SSD	Read2	E105.00	Latent schizophrenia
SSD	Read2	E105000	Unspecified latent schizophrenia
SSD	Read2	E105200	Chronic latent schizophrenia
SSD	Read2	E105500	Latent schizophrenia in remission
SSD	Read2	E105z00	Latent schizophrenia NOS
SSD	Read2	E106.00	Residual schizophrenia
SSD	Read2	E107.00	Schizo-affective schizophrenia
SSD	Read2	E107.11	Cyclic schizophrenia
SSD	Read2	E107000	Unspecified schizo-affective schizophrenia
SSD	Read2	E107100	Subchronic schizo-affective schizophrenia
SSD	Read2	E107200	Chronic schizo-affective schizophrenia
SSD	Read2	E107300	Acute exacerbation of subchronic schizo-affective schizophrenia
SSD	Read2	E107400	Acute exacerbation of chronic schizo-affective schizophrenia
SSD	Read2	E107500	Schizo-affective schizophrenia in remission
SSD	Read2	E107z00	Schizo-affective schizophrenia NOS
SSD	Read2	E10y.00	Other schizophrenia
SSD	Read2	E10y.11	Cenesthopathic schizophrenia
SSD	Read2	E10y000	Atypical schizophrenia
SSD	Read2	E10y100	Coenesthopathic schizophrenia
SSD	Read2	E10yz00	Other schizophrenia NOS
SSD	Read2	E10z.00	Schizophrenia NOS
SSD	Read2	E12..00	Paranoid states
SSD	Read2	E120.00	Simple paranoid state
SSD	Read2	E121.00	Chronic paranoid psychosis
SSD	Read2	E121.11	Sander's disease
SSD	Read2	E122.00	Paraphrenia
SSD	Read2	E12y.00	Other paranoid states
SSD	Read2	E12y000	Paranoia querulans
SSD	Read2	E12yz00	Other paranoid states NOS
SSD	Read2	E12z.00	Paranoid psychosis NOS
SSD	Read2	E1y..00	Other specified non-organic psychoses
SSD	Read2	E1z..00	Non-organic psychosis NOS
SSD	Read2	Eu2..00	[X]Schizophrenia, schizotypal and delusional disorders
SSD	Read2	Eu20.00	[X]Schizophrenia
SSD	Read2	Eu20000	[X]Paranoid schizophrenia
SSD	Read2	Eu20011	[X]Paraphrenic schizophrenia
SSD	Read2	Eu20100	[X]Hebephrenic schizophrenia
SSD	Read2	Eu20111	[X]Disorganised schizophrenia
SSD	Read2	Eu20200	[X]Catatonic schizophrenia
SSD	Read2	Eu20211	[X]Catatonic stupor
SSD	Read2	Eu20212	[X]Schizophrenic catalepsy
SSD	Read2	Eu20213	[X]Schizophrenic catatonia
SSD	Read2	Eu20214	[X]Schizophrenic flexibilatis cerea
SSD	Read2	Eu20300	[X]Undifferentiated schizophrenia
SSD	Read2	Eu20311	[X]Atypical schizophrenia
SSD	Read2	Eu20400	[X]Post-schizophrenic depression
SSD	Read2	Eu20500	[X]Residual schizophrenia
SSD	Read2	Eu20511	[X]Chronic undifferentiated schizophrenia
SSD	Read2	Eu20600	[X]Simple schizophrenia
SSD	Read2	Eu20y00	[X]Other schizophrenia
SSD	Read2	Eu20y12	[X]Schizophreniform disord NOS
SSD	Read2	Eu20y13	[X]Schizophrenifrm psychos NOS
SSD	Read2	Eu20z00	[X]Schizophrenia, unspecified
SSD	Read2	Eu21.00	[X]Schizotypal disorder
SSD	Read2	Eu21.11	[X]Latent schizophrenic reaction
SSD	Read2	Eu21.12	[X]Borderline schizophrenia
SSD	Read2	Eu21.13	[X]Latent schizophrenia
SSD	Read2	Eu21.14	[X]Prepsychotic schizophrenia
SSD	Read2	Eu21.15	[X]Prodromal schizophrenia
SSD	Read2	Eu21.16	[X]Pseudoneurotic schizophrenia
SSD	Read2	Eu21.17	[X]Pseudopsychopathic schizophrenia
SSD	Read2	Eu22.00	[X]Persistent delusional disorders
SSD	Read2	Eu22000	[X]Delusional disorder
SSD	Read2	Eu22011	[X]Paranoid psychosis
SSD	Read2	Eu22012	[X]Paranoid state
SSD	Read2	Eu22013	[X]Paraphrenia - late
SSD	Read2	Eu22014	[X]Sensitiver Beziehungswahn
SSD	Read2	Eu22015	[X]Paranoia
SSD	Read2	Eu22100	[X]Delusional misidentification syndrome
SSD	Read2	Eu22111	[X]Capgras syndrome
SSD	Read2	Eu22200	[X]Cotard syndrome
SSD	Read2	Eu22300	[X]Paranoid state in remission
SSD	Read2	Eu22y00	[X]Other persistent delusional disorders
SSD	Read2	Eu22y11	[X]Delusional dysmorphophobia
SSD	Read2	Eu22y12	[X]Involutional paranoid state
SSD	Read2	Eu22y13	[X]Paranoia querulans
SSD	Read2	Eu22z00	[X]Persistent delusional disorder, unspecified
SSD	Read2	Eu25.00	[X]Schizoaffective disorders
SSD	Read2	Eu25000	[X]Schizoaffective disorder, manic type
SSD	Read2	Eu25011	[X]Schizoaffective psychosis, manic type
SSD	Read2	Eu25012	[X]Schizophreniform psychosis, manic type
SSD	Read2	Eu25100	[X]Schizoaffective disorder, depressive type
SSD	Read2	Eu25111	[X]Schizoaffective psychosis, depressive type
SSD	Read2	Eu25112	[X]Schizophreniform psychosis, depressive type
SSD	Read2	Eu25200	[X]Schizoaffective disorder, mixed type
SSD	Read2	Eu25211	[X]Cyclic schizophrenia
