condition	vocab_id	code	description
alcohol_problems	ICD10	E24.4	Alcohol-induced pseudo-Cushing syndrome
alcohol_problems	ICD10	F10.1	Mental and behavioural disorders due to use of alcohol, Harmful use
alcohol_problems	ICD10	F10.2	Mental and behavioural disorders due to use of alcohol, Dependence syndrome
alcohol_problems	ICD10	F10.3	Mental and behavioural disorders due to use of alcohol, Withdrawal state
alcohol_problems	ICD10	F10.4	Mental and behavioural disorders due to use of alcohol, Withdrawal state with delirium
alcohol_problems	ICD10	F10.5	Mental and behavioural disorders due to use of alcohol, Psychotic disorder
alcohol_problems	ICD10	F10.6	Mental and behavioural disorders due to use of alcohol, Amnesic syndrome
alcohol_problems	ICD10	F10.7	Mental and behavioural disorders due to use of alcohol, Residual and late-onset psychotic disorder
alcohol_problems	ICD10	F10.8	Mental and behavioural disorders due to use of alcohol, Other mental and behavioural disorders
alcohol_problems	ICD10	F10.9	Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder
alcohol_problems	ICD10	G31.2	Degeneration of nervous system due to alcohol
alcohol_problems	ICD10	G62.1	Alcoholic polyneuropathy
alcohol_problems	ICD10	G72.1	Alcoholic myopathy
alcohol_problems	ICD10	I42.6	Alcoholic cardiomyopathy
alcohol_problems	ICD10	K29.2	Alcoholic gastritis
alcohol_problems	ICD10	K70	Alcoholic liver disease
alcohol_problems	ICD10	K85.2	Alcohol-induced acute pancreatitis
alcohol_problems	ICD10	K86.0	Alcohol-induced chronic pancreatitis
alcohol_problems	ICD10	Z50.2	Alcohol rehabilitation
alcohol_problems	ICD10	Z71.4	Alcohol abuse counselling and surveillance
alcohol_problems	ICD10	Z71.41	Alcohol abuse counseling and surveillance of alcoholic
alcohol_problems	Read2	136S.00	Hazardous alcohol use
alcohol_problems	Read2	136T.00	Harmful alcohol use
alcohol_problems	Read2	136W.00	Alcohol misuse
alcohol_problems	Read2	13Y8.00	Alcoholics anonymous
alcohol_problems	Read2	1462.00	H/O: alcoholism
alcohol_problems	Read2	1B1c.00	Alcohol induced hallucinations
alcohol_problems	Read2	66e..00	Alcohol disorder monitoring
alcohol_problems	Read2	66e0.00	Alcohol abuse monitoring
alcohol_problems	Read2	7P22100	Delivery of rehabilitation for alcohol addiction
alcohol_problems	Read2	8BA8.00	Alcohol detoxification
alcohol_problems	Read2	8CAv.00	Advised to contact primary care alcohol worker
alcohol_problems	Read2	8G32.00	Aversion therapy - alcoholism
alcohol_problems	Read2	8H35.00	Admitted to alcohol detoxification centre
alcohol_problems	Read2	8H7p.00	Referral to community alcohol team
alcohol_problems	Read2	8HkG.00	Referral to specialist alcohol treatment service
alcohol_problems	Read2	8HkJ.00	Referral to alcohol brief intervention service
alcohol_problems	Read2	9k1..00	Alcohol misuse - enhanced services administration
alcohol_problems	Read2	9k12.00	Alcohol misuse - enhanced service completed
alcohol_problems	Read2	9k1A.00	Brief intervention for excessive alcohol consumption completed
alcohol_problems	Read2	9k1B.00	Extended intervention for excessive alcohol consumption completed
alcohol_problems	Read2	9NN2.00	Under care of community alcohol team
alcohol_problems	Read2	C150500	Alcohol-induced pseudo-Cushing's syndrome
alcohol_problems	Read2	C251.11	Wernicke's encephalopathy
