condition	vocab_id	code	description
anxiety	ICD10	F40	Phobic anxiety disorders
anxiety	ICD10	F41	Other anxiety disorders
anxiety	Read2	1466.00	H/O: anxiety state
anxiety	Read2	146G.00	H/O: agoraphobia
anxiety	Read2	1B1H.11	Fear
anxiety	Read2	1B1V.00	C/O - panic attack
anxiety	Read2	1Bb..00	Specific fear
anxiety	Read2	225J.00	O/E - panic attack
anxiety	Read2	225K.00	O/E - fearful mood
anxiety	Read2	285..00	Neurotic condition, insight present
anxiety	Read2	286..00	Poor insight into neurotic condition
anxiety	Read2	8G52.00	Antiphobic therapy
anxiety	Read2	8G94.00	Anxiety management training
anxiety	Read2	8HHp.00	Referral for guided self-help for anxiety
anxiety	Read2	9N54.00	Encounter for fear
anxiety	Read2	E20..00	Neurotic disorders
anxiety	Read2	E200.00	Anxiety states
anxiety	Read2	E200000	Anxiety state unspecified
anxiety	Read2	E200100	Panic disorder
anxiety	Read2	E200111	Panic attack
anxiety	Read2	E200200	Generalised anxiety disorder
anxiety	Read2	E200300	Anxiety with depression
anxiety	Read2	E200400	Chronic anxiety
anxiety	Read2	E200500	Recurrent anxiety
anxiety	Read2	E200z00	Anxiety state NOS
anxiety	Read2	E201B00	Compensation neurosis
anxiety	Read2	E202.00	Phobic disorders
anxiety	Read2	E202.11	Social phobic disorders
anxiety	Read2	E202.12	Phobic anxiety
anxiety	Read2	E202000	Phobia unspecified
anxiety	Read2	E202100	Agoraphobia with panic attacks
anxiety	Read2	E202200	Agoraphobia without mention of panic attacks
anxiety	Read2	E202300	Social phobia, fear of eating in public
anxiety	Read2	E202400	Social phobia, fear of public speaking
anxiety	Read2	E202500	Social phobia, fear of public washing
anxiety	Read2	E202600	Acrophobia
anxiety	Read2	E202700	Animal phobia
anxiety	Read2	E202800	Claustrophobia
anxiety	Read2	E202900	Fear of crowds
anxiety	Read2	E202A00	Fear of flying
anxiety	Read2	E202B00	Cancer phobia
anxiety	Read2	E202C00	Dental phobia
anxiety	Read2	E202D00	Fear of death
anxiety	Read2	E202E00	Fear of pregnancy
anxiety	Read2	E202z00	Phobic disorder NOS
anxiety	Read2	E20y.00	Other neurotic disorders
anxiety	Read2	E20y100	Writer's cramp neurosis
anxiety	Read2	E20y200	Other occupational neurosis
anxiety	Read2	E20y300	Psychasthenic neurosis
anxiety	Read2	E20yz00	Other neurotic disorder NOS
anxiety	Read2	E20z.00	Neurotic disorder NOS
anxiety	Read2	Eu34111	[X]Depressive neurosis
anxiety	Read2	Eu34113	[X]Neurotic depression
anxiety	Read2	Eu34114	[X]Persistant anxiety depression
anxiety	Read2	Eu40.00	[X]Phobic anxiety disorders
anxiety	Read2	Eu40000	[X]Agoraphobia
anxiety	Read2	Eu40011	[X]Agoraphobia without history of panic disorder
anxiety	Read2	Eu40012	[X]Panic disorder with agoraphobia
anxiety	Read2	Eu40100	[X]Social phobias
anxiety	Read2	Eu40112	[X]Social neurosis
anxiety	Read2	Eu40200	[X]Specific (isolated) phobias
anxiety	Read2	Eu40211	[X]Acrophobia
anxiety	Read2	Eu40212	[X]Animal phobias
anxiety	Read2	Eu40213	[X]Claustrophobia
anxiety	Read2	Eu40214	[X]Simple phobia
anxiety	Read2	Eu40300	[X]Needle phobia
anxiety	Read2	Eu40y00	[X]Other phobic anxiety disorders
anxiety	Read2	Eu40z00	[X]Phobic anxiety disorder, unspecified
anxiety	Read2	Eu40z11	[X]Phobia NOS
anxiety	Read2	Eu40z12	[X]Phobic state NOS
anxiety	Read2	Eu41.00	[X]Other anxiety disorders
anxiety	Read2	Eu41000	[X]Panic disorder [episodic paroxysmal anxiety]
anxiety	Read2	Eu41011	[X]Panic attack
anxiety	Read2	Eu41012	[X]Panic state
anxiety	Read2	Eu41100	[X]Generalized anxiety disorder
anxiety	Read2	Eu41111	[X]Anxiety neurosis
anxiety	Read2	Eu41112	[X]Anxiety reaction
anxiety	Read2	Eu41113	[X]Anxiety state
anxiety	Read2	Eu41200	[X]Mixed anxiety and depressive disorder
anxiety	Read2	Eu41211	[X]Mild anxiety depression
anxiety	Read2	Eu41300	[X]Other mixed anxiety disorders
anxiety	Read2	Eu41y00	[X]Other specified anxiety disorders
anxiety	Read2	Eu41y11	[X]Anxiety hysteria
anxiety	Read2	Eu41z00	[X]Anxiety disorder, unspecified
anxiety	Read2	Eu41z11	[X]Anxiety NOS
anxiety	Read2	Z481.00	Phobia counselling
anxiety	Read2	Z4L1.00	Anxiety counselling
anxiety	Read2	ZV11200	[V]Personal history of neurosis
anxiety	CTV3	1466.Ya04H	H/O: anxiety state
anxiety	CTV3	XaK2cYanBt	H/O: agoraphobia
anxiety	CTV3	XE0riY7D8h	Fear
anxiety	CTV3	XaIo7YalNU	C/O - panic attack
anxiety	CTV3	X7627Ya0sq	Specific fear
anxiety	CTV3	XaKVAYannE	O/E - panic attack
anxiety	CTV3	XaKVNYannM	O/E - fearful mood
anxiety	CTV3	XE1hkYM0rT	Neurotic condition, insight present
anxiety	CTV3	XE1hlY01Fz	Poor insight into neurotic condition
anxiety	CTV3	8G52.Y75X5	Antiphobic therapy
anxiety	CTV3	Ub0qsYMD7r	Anxiety management training
anxiety	CTV3	XaL0qYao6e	Referral for guided self-help for anxiety
anxiety	CTV3	9N54.Y7ALK	Encounter for fear
anxiety	CTV3	E20..Y01Fy	Neurotic disorder
anxiety	CTV3	E200.Y01Gq	Anxiety state
anxiety	CTV3	E200.Y01GY	Anxiety disorder
anxiety	CTV3	E2000Y01Gb	Anxiety state unspecified
anxiety	CTV3	XE1Y7Y01Gc	Panic disorder
anxiety	CTV3	Ua1qSYMGBI	Panic attack
anxiety	CTV3	E2002Y01Gl	Generalised anxiety disorder
anxiety	CTV3	X00SbY01Gr	Mixed anxiety and depressive disorder
anxiety	CTV3	X00SbY01Gs	Anxiety depression
anxiety	CTV3	E2004YaYAu	Chronic anxiety
anxiety	CTV3	E2005YaYAv	Recurrent anxiety
anxiety	CTV3	E200zY01Ga	Anxiety state NOS
anxiety	CTV3	E201BY01Hx	Compensation neurosis
anxiety	CTV3	XE1YAY01GA	Phobia
anxiety	CTV3	XE1YAYa5am	Phobic anxiety disorder
anxiety	CTV3	X00SWY01GM	Social phobia
anxiety	CTV3	E2020Y01GH	Phobia unspecified
anxiety	CTV3	E2021Y01GL	Agoraphobia with panic attacks
anxiety	CTV3	E2022Y01GK	Agoraphobia without mention of panic attacks
anxiety	CTV3	E2023Y01GQ	Social phobia, fear of eating in public
anxiety	CTV3	E2024Y01GP	Social phobia, fear of public speaking
anxiety	CTV3	E2025Y01GO	Social phobia, fear of public washing
anxiety	CTV3	E2026Y01GG	Acrophobia
anxiety	CTV3	E2027Y01GS	Animal phobia
anxiety	CTV3	E2028Y01GT	Claustrophobia
anxiety	CTV3	E2029Y01GF	Fear of crowds
anxiety	CTV3	X762GY7D9J	Fear of flying
anxiety	CTV3	Xa7ljYaVCF	Cancer phobia
anxiety	CTV3	E202CYaYAy	Dental phobia
anxiety	CTV3	X762TY7D9Y	Fear of death
anxiety	CTV3	E202EYaYB0	Fear of pregnancy
anxiety	CTV3	XE1YBY01GE	Phobic disorder NOS
anxiety	CTV3	E20y.Y01G3	Other neurotic disorders
anxiety	CTV3	E20y1Y01G6	Writer's cramp neurosis
anxiety	CTV3	E20y2Y01G5	Other occupational neurosis
anxiety	CTV3	E20y3Y01G4	Psychasthenic neurosis
anxiety	CTV3	E20yzY01G9	Other neurotic disorder NOS
anxiety	CTV3	XE1YEY01G1	Neurotic disorder NOS
anxiety	CTV3	E2112Y01Fv	Dysthymia
anxiety	CTV3	E2112Y01Fw	Depressive neurosis
anxiety	CTV3	E2112YMBxo	Neurotic depression
anxiety	CTV3	Eu40.YMB4R	[X]Phobic anxiety disorders
anxiety	CTV3	X00SVY01GI	Agoraphobia
anxiety	CTV3	X00SVY01GJ	Phobia of going out
anxiety	CTV3	X00SXY01GR	Simple phobia
anxiety	CTV3	X00SXYa0so	Specific phobia
anxiety	CTV3	X00SYY01GU	Needle phobia
anxiety	CTV3	Eu40yYMB4V	[X]Other phobic anxiety disorders
anxiety	CTV3	Eu40zYMB4W	[X]Phobic anxiety disorder, unspecified
anxiety	CTV3	Eu41.YMB4X	[X]Other anxiety disorders
anxiety	CTV3	Eu410YMB4Y	[X]Panic disorder [episodic paroxysmal anxiety]
anxiety	CTV3	E2002Y01Gp	Anxiety neurosis
anxiety	CTV3	E2002Y01Gq	Anxiety state
anxiety	CTV3	Eu413YMB4b	[X]Other mixed anxiety disorders
anxiety	CTV3	XE1ZjYMB4c	[X]Other specified anxiety disorders
anxiety	CTV3	Eu41zYMB4d	[X]Anxiety disorder, unspecified
anxiety	CTV3	ZV112Ya0e1	[V]Personal history of neurosis
anxiety	medcodeid	56251019	Compensation neurosis
anxiety	medcodeid	65032014	Dental phobia
anxiety	medcodeid	97986013	Acrophobia
anxiety	medcodeid	166341019	Fear of death
anxiety	medcodeid	251630012	H/O: anxiety state
anxiety	medcodeid	283464017	Antiphobic therapy
anxiety	medcodeid	294994012	Social phobia, fear of eating in public
anxiety	medcodeid	294995013	Social phobia, fear of public speaking
anxiety	medcodeid	294998010	Fear of crowds
anxiety	medcodeid	295029017	Writer's cramp neurosis
anxiety	medcodeid	295032019	Psychasthenic neurosis
anxiety	medcodeid	342665019	Anxiety management training
anxiety	medcodeid	370048011	Fear of flying
anxiety	medcodeid	402503018	Neurotic condition, insight present
anxiety	medcodeid	481154010	Generalised anxiety disorder
anxiety	medcodeid	1210253015	Panic disorder
anxiety	medcodeid	1231321013	Animal phobia
anxiety	medcodeid	1488717011	C/O - panic attack
anxiety	medcodeid	2533632018	H/O: agoraphobia
anxiety	medcodeid	2549895012	O/E - panic attack
anxiety	medcodeid	300681000000118	Referral for guided self-help for anxiety
anxiety	medcodeid	294953016	Anxiety state unspecified
anxiety	medcodeid	294993018	Agoraphobia without mention of panic attacks
anxiety	medcodeid	295031014	Other occupational neurosis
anxiety	medcodeid	295033012	Other neurotic disorder NOS
anxiety	medcodeid	296224013	[X]Phobic anxiety disorders
anxiety	medcodeid	296237011	[X]Phobic anxiety disorder, unspecified
anxiety	medcodeid	296238018	[X]Other anxiety disorders
anxiety	medcodeid	138401000006119	Social phobic disorders
anxiety	medcodeid	223631000000113	Phobic disorders
anxiety	medcodeid	362871000006111	[X]Agoraphobia
anxiety	medcodeid	363281000006117	[X]Animal phobias
anxiety	medcodeid	363641000006114	[X]Anxiety hysteria
anxiety	medcodeid	363651000006111	[X]Anxiety neurosis
anxiety	medcodeid	363671000006118	[X]Anxiety reaction
anxiety	medcodeid	376741000006119	[X]Depressive neurosis
anxiety	medcodeid	388071000006116	[X]Generalized anxiety disorder
anxiety	medcodeid	398351000006110	[X]Mild anxiety depression
anxiety	medcodeid	398561000006117	[X]Mixed anxiety and depressive disorder
anxiety	medcodeid	418031000006113	[X]Panic attack
anxiety	medcodeid	418061000006116	[X]Panic state
anxiety	medcodeid	420671000006112	[X]Phobic state NOS
anxiety	medcodeid	427071000006115	[X]Social phobias
anxiety	medcodeid	488211000006112	Anxiety with depression
anxiety	medcodeid	675881000006115	Neurotic disorders
anxiety	medcodeid	980191000006111	[X]Needle phobia
