condition	vocab_id	code	description
b12_def	ICD10	D51	Vitamin B12deficiency anaemia
b12_def	Read2	1452.00	H/O: Anaemia vit.B12 deficient
b12_def	Read2	66E..00	B12 deficiency monitoring
b12_def	Read2	66E1.00	B12 defic. initial assessment
b12_def	Read2	66E2.00	B12 defic.follow-up assessment
b12_def	Read2	66E3.00	B12 injections started
b12_def	Read2	66E4.00	B12 injections - at home
b12_def	Read2	66E5.00	B12 injections - at surgery
b12_def	Read2	66E6.00	Reticulcytosis after B12
b12_def	Read2	66E7.00	B12 def.-dubious diag.criteria
b12_def	Read2	66E8.00	B12 injections stopped
b12_def	Read2	66EZ.00	B12 defic. monitoring NOS
b12_def	Read2	C262100	Vitamin B12 deficiency
b12_def	Read2	D010.00	Pernicious anaemia
b12_def	Read2	D010.11	Addison's anaemia
b12_def	Read2	D010.12	Biermer's congenital pernicious anaemia
b12_def	Read2	D010.13	Congenital deficiency of intrinsic factor
b12_def	Read2	D011.00	Other vitamin B12 deficiency anaemias
b12_def	Read2	D011.11	Vitamin B12 deficiency anaemia
b12_def	Read2	D011000	Vitamin B12 deficiency anaemia due to dietary causes
b12_def	Read2	D011011	Imerslund - Grasbeck syndrome
b12_def	Read2	D011013	Vegan's anaemia
b12_def	Read2	D011100	Vitamin B12 deficiency anaemia due to malabsorption with proteinuria
b12_def	Read2	D011200	Transcobalamin II deficiency
b12_def	Read2	D011X00	Vitamin B12 deficiency anaemia, unspecified
b12_def	Read2	D011z00	Other vitamin B12 deficiency anaemia NOS
b12_def	Read2	D013000	Combined B12 and folate deficiency anaemia
b12_def	Read2	Dyu0100	[X]Other dietary vitamin B12 deficiency anaemia
b12_def	Read2	Dyu0200	[X]Other vitamin B12 deficiency anaemias
b12_def	Read2	Dyu0600	[X]Vitamin B12 deficiency anaemia, unspecified
b12_def	Read2	F11x600	Cerebral degeneration due to vitamin B12 deficiency
b12_def	Read2	F162.00	Subacute combined degeneration of spinal cord
b12_def	Read2	F381500	Myasthenic syndrome due to pernicious anaemia
b12_def	CTV3	1452.Ya044	H/O: Anaemia vit.B12 deficient
b12_def	CTV3	66E..Y79Ye	B12 deficiency monitoring
b12_def	CTV3	66E1.YacA9	B12 deficiency initial assessment
b12_def	CTV3	66E2.YacAA	B12 deficiency follow-up assessment
b12_def	CTV3	66E3.Y79Yh	B12 injections started
b12_def	CTV3	66E4.Y7A1T	B12 injections - at home
b12_def	CTV3	66E5.Y7A1U	B12 injections - at surgery
b12_def	CTV3	66E6.Y7A1V	Reticulcytosis after B12
b12_def	CTV3	66E7.YacSq	B12 deficiency - dubious diagnostic criteria
b12_def	CTV3	66E8.Y79Yi	B12 injections stopped
b12_def	CTV3	66EZ.YacAB	B12 deficiency monitoring NOS
b12_def	CTV3	C2621Y41zo	Vitamin B12 deficiency
b12_def	CTV3	XE2roY20aB	Pernicious anaemia
b12_def	CTV3	XE2roY20aD	PA - Pernicious anaemia
b12_def	CTV3	X20CDY20aF	Biermer's congenital pernicious anaemia
b12_def	CTV3	X20CCY20aE	Congenital deficiency of intrinsic factor
b12_def	CTV3	XE13gY20a6	Other vitamin B12 deficiency anaemias
b12_def	CTV3	Xa9AwY20a4	Vitamin B12-deficient megaloblastic anaemia
b12_def	CTV3	XE13hY20a9	Vitamin B12 deficiency anaemia due to dietary causes
b12_def	CTV3	X20CEY20aG	Selective malabsorption of cyanocobalamin
b12_def	CTV3	X20CEY20aI	Imerslund-Grasbeck syndrome
b12_def	CTV3	X20CBY20aA	Vegan's anaemia
b12_def	CTV3	D0111Y20a8	Vitamin B12 deficiency anaemia due to malabsorption with proteinuria
b12_def	CTV3	X40SUY41jn	Transcobalamin II deficiency
b12_def	CTV3	Dyu06YMAAc	[X]Vitamin B12 deficiency anaemia, unspecified
