condition	vocab_id	code	description
bursitis	ICD10	M70.1	Bursitis of hand
bursitis	ICD10	M70.2	Olecranon bursitis
bursitis	ICD10	M70.3	Other bursitis of elbow
bursitis	ICD10	M70.4	Prepatellar bursitis
bursitis	ICD10	M70.5	Other bursitis of knee
bursitis	ICD10	M70.6	Trochanteric bursitis
bursitis	ICD10	M70.7	Other bursitis of hip
bursitis	ICD10	M71.3	Other bursal cyst
bursitis	ICD10	M71.5	Other bursitis, not elsewhere classified
bursitis	ICD10	M71.8	Other specified bursopathies
bursitis	ICD10	M71.9	Bursopathy, unspecified
bursitis	ICD10	M75.5	Bursitis of shoulder
bursitis	ICD10	M76.4	Tibial collateral bursitis [Pellegrini-Stieda]
bursitis	Read2	N040Q00	Rheumatoid bursitis
bursitis	Read2	N211600	Subacromial bursitis
bursitis	Read2	N211700	Subdeltoid bursitis
bursitis	Read2	N211z12	Subacromial bursitis
bursitis	Read2	N213300	Olecranon bursitis
bursitis	Read2	N214000	Bursitis of wrist
bursitis	Read2	N214100	Bursitis of hand
bursitis	Read2	N215100	Bursitis of hip
bursitis	Read2	N215700	Trochanteric bursitis
bursitis	Read2	N215A00	Ischial bursitis
bursitis	Read2	N216000	Bursitis of the knee NOS
bursitis	Read2	N216011	Semi-membranosus bursitis
bursitis	Read2	N216012	Popliteal bursitis
bursitis	Read2	N216100	Pes anserinus tendinitis and bursitis
bursitis	Read2	N216200	Tibial collateral ligament bursitis
bursitis	Read2	N216300	Fibular collateral ligament bursitis
bursitis	Read2	N216500	Prepatellar bursitis
bursitis	Read2	N216600	Infrapatellar bursitis
bursitis	Read2	N216700	Subpatellar bursitis
bursitis	Read2	N216z11	Suprapatellar bursitis
bursitis	Read2	N217300	Achilles bursitis
bursitis	Read2	N222z00	Specific bursitides NOS
bursitis	Read2	N223.00	Bursitis NOS
bursitis	Read2	N223.11	Postcalcaneal bursitis
bursitis	Read2	N224400	Cyst of bursa
bursitis	Read2	N225112	Rupture of popliteal bursa
bursitis	Read2	NyuA000	[X]Other bursitis of elbow
bursitis	Read2	NyuA100	[X]Other bursitis of knee
bursitis	Read2	NyuA200	[X]Other bursitis of hip
bursitis	Read2	NyuA500	[X]Other bursal cyst
bursitis	Read2	NyuA600	[X]Other bursitis, not elsewhere classified
bursitis	CTV3	N040QYMAqJ	Rheumatoid bursitis
bursitis	CTV3	N2116Y70Sk	Subacromial bursitis
bursitis	CTV3	N2117Y70Sl	Subdeltoid bursitis
bursitis	CTV3	N2133Y70Su	Olecranon bursitis
bursitis	CTV3	N2140Y70TV	Bursitis of wrist
bursitis	CTV3	N2141Y70TW	Bursitis of hand
