condition	vocab_id	code	description
cataract	ICD10	H25	Senile cataract
cataract	ICD10	H26.0	Infantile, juvenile and presenile cataract
cataract	ICD10	H26.2	Complicated cataract
cataract	ICD10	H26.4	After-cataract
cataract	ICD10	H26.8	Other specified cataract
cataract	ICD10	H26.9	Cataract, unspecified
cataract	ICD10	H28	Cataract and other disorders of lens in diseases classified elsewhere
cataract	ICD10	Q12.0	Congenital cataract
cataract	ICD10	E08.36	Diabetes mellitus due to underlying condition with diabetic cataract
cataract	ICD10	E09.36	Drug or chemical induced diabetes mellitus with diabetic cataract
cataract	ICD10	E10.36	Type 1 diabetes mellitus with diabetic cataract
cataract	ICD10	E11.36	Type 2 diabetes mellitus with diabetic cataract
cataract	ICD10	E13.36	Other specified diabetes mellitus with diabetic cataract
cataract	Read2	1483.00	H/O: cataract
cataract	Read2	14N9.00	H/O: R cataract extraction
cataract	Read2	14NA.00	H/O: L cataract extraction
cataract	Read2	14NC.00	H/O: Bilateral cataract extraction
cataract	Read2	22E5.00	O/E - cataract present
cataract	Read2	2BT..00	Cataract observation
cataract	Read2	2BT0.00	O/E - Right cataract present
cataract	Read2	2BT1.00	O/E - Left cataract present
cataract	Read2	7263.12	Extracapsular extraction of cataract
cataract	Read2	7263011	Needling of lens for cataract
cataract	Read2	7264.11	Intracapsular extraction of cataract
cataract	Read2	7266.11	Other extraction of cataract
cataract	Read2	7266100	Discission of cataract
cataract	Read2	7267600	Cataract extraction and insertion of intraocular lens
cataract	Read2	8H5H.00	Referral for cataract extraction
cataract	Read2	8HTV.00	Referral to cataract clinic
cataract	Read2	8LC0.00	Cataract operation planned
cataract	Read2	C108F00	Insulin dependent diabetes mellitus with diabetic cataract
cataract	Read2	C108F11	Type I diabetes mellitus with diabetic cataract
cataract	Read2	C108F12	Type 1 diabetes mellitus with diabetic cataract
cataract	Read2	C109E00	Non-insulin dependent diabetes mellitus with diabetic cataract
cataract	Read2	C109E11	Type II diabetes mellitus with diabetic cataract
cataract	Read2	C109E12	Type 2 diabetes mellitus with diabetic cataract
cataract	Read2	C10EF00	Type 1 diabetes mellitus with diabetic cataract
cataract	Read2	C10EF12	Insulin dependent diabetes mellitus with diabetic cataract
cataract	Read2	C10FE00	Type 2 diabetes mellitus with diabetic cataract
cataract	Read2	C10FE11	Type II diabetes mellitus with diabetic cataract
cataract	Read2	F46..00	Cataract
cataract	Read2	F460.00	Infantile, juvenile and presenile cataracts
cataract	Read2	F460000	Unspecified infantile cataract
cataract	Read2	F460100	Unspecified juvenile cataract
cataract	Read2	F460200	Unspecified presenile cataract
cataract	Read2	F460300	Anterior subcapsular polar cataract
cataract	Read2	F460400	Posterior subcapsular polar cataract
cataract	Read2	F460500	Cortical cataract
cataract	Read2	F460600	Lamellar zonular cataract
cataract	Read2	F460700	Nuclear cataract
cataract	Read2	F460x00	Combined nonsenile cataract
cataract	Read2	F460y00	Other nonsenile cataract
cataract	Read2	F460z00	Nonsenile cataract NOS
cataract	Read2	F461.00	Senile cataract
cataract	Read2	F461000	Unspecified senile cataract
cataract	Read2	F461100	Lens capsule pseudoexfoliation
cataract	Read2	F461200	Coronary cataract
cataract	Read2	F461300	Punctate cataract
cataract	Read2	F461400	Incipient cataract NOS
cataract	Read2	F461500	Immature cataract NOS
cataract	Read2	F461600	Anterior subcapsular polar senile cataract
cataract	Read2	F461700	Posterior subcapsular polar senile cataract
cataract	Read2	F461800	Cortical senile cataract
cataract	Read2	F461900	Nuclear senile cataract
cataract	Read2	F461A00	Total, mature senile cataract
cataract	Read2	F461B00	Hypermature cataract
cataract	Read2	F461B11	Morgagni cataract
cataract	Read2	F461x00	Combined senile cataract
cataract	Read2	F461y00	Other senile cataract
cataract	Read2	F461z00	Senile cataract NOS
cataract	Read2	F463.00	Cataract secondary to ocular disease
cataract	Read2	F463000	Unspecified cataracta complicata
cataract	Read2	F463200	Cataract in eye inflammatory disorder
cataract	Read2	F463300	Cataract with neovascularization
cataract	Read2	F463400	Cataract in degenerative disorder
cataract	Read2	F463z00	Cataract secondary to ocular disorder NOS
cataract	Read2	F464.00	Cataract due to other disorder
cataract	Read2	F464000	Diabetic cataract
cataract	Read2	F464100	Tetanic cataract
cataract	Read2	F464200	Myotonic cataract
cataract	Read2	F464300	Cataract associated with other syndromes
cataract	Read2	F464z00	Cataract due to other disorder NOS
cataract	Read2	F465.00	After cataract
cataract	Read2	F465000	Unspecified secondary cataract
cataract	Read2	F465200	Other after cataract with vision normal
cataract	Read2	F465300	After-cataract with vision obscured
cataract	Read2	F465500	Posterior capsule opacification
cataract	Read2	F465z00	After cataract NOS
cataract	Read2	F466.00	Bilateral cataracts
cataract	Read2	F46y.00	Other cataract
cataract	Read2	F46yz00	Other cataract NOS
cataract	Read2	F46z.00	Cataract NOS
cataract	Read2	F46z000	Immature cortical cataract
cataract	Read2	F4B4B00	Keratopathy following cataract surgery
cataract	Read2	F4B4C00	Bullous aphakic keratopathy following cataract surgery
cataract	Read2	F4K2D00	Vitreous syndrome following cataract surgery
cataract	Read2	FyuE000	[X]Other senile cataract
cataract	Read2	FyuE100	[X]Other specified cataract
cataract	Read2	FyuE400	[X]Cataract in other diseases classified elsewhere
cataract	Read2	P33..00	Congenital cataract and lens anomalies
cataract	Read2	P330.00	Congenital cataract, unspecified
cataract	Read2	P331.00	Capsular and subcapsular cataract
cataract	Read2	P331000	Capsular cataract
cataract	Read2	P331100	Subcapsular cataract
cataract	Read2	P331z00	Capsular or subcapsular cataract NOS
cataract	Read2	P332.00	Cortical and zonular cataract
cataract	Read2	P332000	Cortical cataract - congenital
cataract	Read2	P332100	Zonular cataract
cataract	Read2	P332z00	Cortical or zonular cataract NOS
cataract	Read2	P333.00	Nuclear cataract - congenital
cataract	Read2	P334000	Total congenital cataract
cataract	Read2	P334z00	Total or subtotal congenital cataract NOS
cataract	Read2	P33y.00	Other specified congenital cataract or lens anomaly
cataract	Read2	P33y000	Blue dot cataract
cataract	Read2	P33y100	Congenital membranous cataract
cataract	Read2	P33yz00	Other congenital cataract or lens anomaly NOS
cataract	Read2	P33z.00	Congenital cataract or lens anomaly NOS
cataract	Read2	ZV45611	[V]State following cataract extraction
cataract	CTV3	1483.Ya04Y	H/O: cataract
cataract	CTV3	XaBL5Yaaeq	H/O: R cataract extraction
cataract	CTV3	XaBL6Yaaer	H/O: L cataract extraction
cataract	CTV3	XaIsWYalbp	H/O: Bilateral cataract extraction
cataract	CTV3	22E5.YM02u	O/E - cataract present
cataract	CTV3	X75kWY7CXu	Cataract observation
cataract	CTV3	XaBLOYaaf9	O/E - Right cataract present
cataract	CTV3	XaBLPYaafA	O/E - Left cataract present
cataract	CTV3	7263.Y01ab	Extracapsular extraction of lens
cataract	CTV3	7263.Y01ac	Extracapsular cataract extraction
cataract	CTV3	72661Y01bD	Needling of lens for cataract
cataract	CTV3	7264.Y01ak	Intracapsular extraction of cataract
cataract	CTV3	XM1I0Y01b8	Other extraction of cataract
cataract	CTV3	72661Y01bC	Discission of cataract
cataract	CTV3	X00XHY01aW	Cataract extraction and insertion of intraocular lens
cataract	CTV3	XaJLZYamLJ	Referral for cataract extraction
cataract	CTV3	XaJtvYan2G	Referral to cataract clinic
cataract	CTV3	XaNkoYaqk8	Cataract operation planned
cataract	CTV3	XaFm8YagvO	Insulin dependent diabetes mellitus with diabetic cataract
cataract	CTV3	XaFm8YajRO	Type 1 diabetes mellitus with diabetic cataract
cataract	CTV3	XaFm8YagvN	Type I diabetes mellitus with diabetic cataract
cataract	CTV3	XaFmAYagvX	Non-insulin dependent diabetes mellitus with diabetic cataract
cataract	CTV3	XaFmAYajRl	Type 2 diabetes mellitus with diabetic cataract
cataract	CTV3	XaFmAYagvW	Type II diabetes mellitus with diabetic cataract
cataract	CTV3	F46..Y01sc	Cataract
cataract	CTV3	F460.Y01sg	Infantile, juvenile and presenile cataracts
cataract	CTV3	F4600Y01sv	Unspecified infantile cataract
cataract	CTV3	F4601Y01sw	Unspecified juvenile cataract
cataract	CTV3	F4602Y01t1	Unspecified presenile cataract
cataract	CTV3	F4603Y01tJ	Anterior subcapsular polar cataract
cataract	CTV3	F4604Y01tL	Posterior subcapsular polar cataract
cataract	CTV3	F4605Y01tG	Cortical cataract
cataract	CTV3	F4606Y01sx	Lamellar zonular cataract
cataract	CTV3	F4607Y01tB	Nuclear cataract
cataract	CTV3	F460xY01sh	Combined nonsenile cataract
cataract	CTV3	F460yY01si	Other nonsenile cataract
cataract	CTV3	F460zY01sj	Nonsenile cataract NOS
cataract	CTV3	F461.Y01sz	Senile cataract
cataract	CTV3	F4610Y01t2	Unspecified senile cataract
cataract	CTV3	F4611Y01u4	Pseudoexfoliation of lens capsule
cataract	CTV3	F4611Y7CXs	PXF - Pseudoexfoliation of lens capsule
cataract	CTV3	F4612Y01tO	Coronary cataract
cataract	CTV3	F4613Y01tN	Punctate cataract
cataract	CTV3	F4614Y01t3	Incipient cataract NOS
cataract	CTV3	F4615Y01t4	Immature cataract NOS
cataract	CTV3	F4616Y01tK	Anterior subcapsular polar senile cataract
cataract	CTV3	F4617Y01tM	Posterior subcapsular polar senile cataract
cataract	CTV3	F4618Y01tH	Cortical senile cataract
cataract	CTV3	F4619Y01tF	Nuclear senile cataract
cataract	CTV3	F461AY01t5	Total, mature senile cataract
cataract	CTV3	XE16GY01t6	Hypermature cataract
cataract	CTV3	F461BY01t7	Morgagni cataract
cataract	CTV3	F461xY01t8	Combined senile cataract
cataract	CTV3	F461yY01t9	Other senile cataract
cataract	CTV3	F461zY01tA	Senile cataract NOS
cataract	CTV3	F463.Y01te	Cataract secondary to ocular disease
cataract	CTV3	F4630Y01th	Unspecified cataracta complicata
cataract	CTV3	F4632Y01tj	Cataract in eye inflammatory disorder
cataract	CTV3	F4633Yadxd	Cataract with neovascularisation
cataract	CTV3	F4634Y01tl	Cataract in degenerative disorder
cataract	CTV3	F463zY01tm	Cataract secondary to ocular disorder NOS
cataract	CTV3	F464.Y01sk	Cataract due to other disorder
cataract	CTV3	F4640Y01tp	Diabetic cataract
cataract	CTV3	F4641Y01to	Tetanic cataract
cataract	CTV3	F4642Y01ts	Myotonic cataract
cataract	CTV3	F4643Y01sl	Cataract associated with other syndromes
cataract	CTV3	F464zY01sn	Cataract due to other disorder NOS
cataract	CTV3	F465.Y01tu	After-cataract
cataract	CTV3	F4650Y01tw	Unspecified secondary cataract
cataract	CTV3	F4652Y01tx	Other after cataract with vision normal
cataract	CTV3	F4653Y01ty	After-cataract with vision obscured
cataract	CTV3	X00cHYa3VC	Posterior capsule opacification
cataract	CTV3	F465zY01tz	After cataract NOS
cataract	CTV3	F466.YaYBE	Bilateral cataracts
cataract	CTV3	F46y.Y01so	Other cataract
cataract	CTV3	F46yzY01sq	Other cataract NOS
cataract	CTV3	F46z.Y01sr	Cataract NOS
cataract	CTV3	XaD2aYad41	Immature cortical cataract
cataract	CTV3	XaYiRYav1D	Keratopathy following cataract surgery
cataract	CTV3	XaYiQYav1C	Bullous aphakic keratopathy following cataract surgery
cataract	CTV3	F4K2DYMAii	Vitreous syndrome following cataract surgery
cataract	CTV3	FyuE0YMAFN	[X]Other senile cataract
cataract	CTV3	FyuE1YMAFO	[X]Other specified cataract
cataract	CTV3	FyuE4YMAFR	[X]Cataract in other diseases classified elsewhere
cataract	CTV3	XE1JuY7HZt	Congenital cataract and lens anomalies
cataract	CTV3	P330.Y7HZs	Congenital cataract, unspecified
cataract	CTV3	P331.Y01sd	Capsular and subcapsular cataract
cataract	CTV3	P3310Y01se	Capsular cataract
cataract	CTV3	P3311Y01tI	Subcapsular cataract
cataract	CTV3	P331zY01sf	Capsular or subcapsular cataract NOS
cataract	CTV3	P332.Y7HZx	Cortical and zonular cataract
cataract	CTV3	P3320Y7HZr	Cortical cataract - congenital
cataract	CTV3	P3321Y7Ha7	Zonular cataract
cataract	CTV3	P332zY7Ha8	Cortical or zonular cataract NOS
cataract	CTV3	P333.Y7Ha5	Congenital nuclear cataract
cataract	CTV3	P3340Y7HaA	Congenital total cataract
cataract	CTV3	P334zY7HaD	Total or subtotal congenital cataract NOS
cataract	CTV3	P33y.Y7HZv	Other specified congenital cataract or lens anomaly
cataract	CTV3	P33y0Y7Ha4	Congenital blue dot cataract
cataract	CTV3	P33y1Y7HaE	Congenital membranous cataract
cataract	CTV3	P33yzY7HZw	Other congenital cataract or lens anomaly NOS
cataract	CTV3	P33z.Y7HZu	Congenital cataract or lens anomaly NOS
cataract	CTV3	ZV456Ya0jg	[V]State following cataract extraction
cataract	medcodeid	3463017	Anterior subcapsular polar cataract
cataract	medcodeid	21000016	Coronary cataract
cataract	medcodeid	107602013	Myotonic cataract
cataract	medcodeid	178759010	Anterior subcapsular polar senile cataract
cataract	medcodeid	251654019	H/O: cataract
cataract	medcodeid	298076010	Cataract
cataract	medcodeid	298078011	Infantile, juvenile and presenile cataracts
cataract	medcodeid	298083015	Cortical cataract
cataract	medcodeid	298084014	Lamellar zonular cataract
cataract	medcodeid	298096019	Nuclear senile cataract
cataract	medcodeid	313009012	Capsular and subcapsular cataract
cataract	medcodeid	313010019	Capsular cataract
cataract	medcodeid	313012010	Cortical and zonular cataract
