condition	vocab_id	code	description
cholelithiasis	ICD10	K80	Cholelithiasis
cholelithiasis	Read2	14CE.00	H/O: gall stones
cholelithiasis	Read2	1965.00	Biliary colic
cholelithiasis	Read2	1965.11	Biliary colic symptom
cholelithiasis	Read2	4775.00	Faeces: gall stones present
cholelithiasis	Read2	4G2..00	O/E: gall stone
cholelithiasis	Read2	4G21.00	O/E: cholesterol gall stone
cholelithiasis	Read2	4G22.00	O/E: pigment gall stone
cholelithiasis	Read2	4G2Z.00	O/E: gall stone NOS
cholelithiasis	Read2	7648700	Enterotomy and removal of gallstone
cholelithiasis	Read2	8CMWD00	On gallstone care pathway
cholelithiasis	Read2	J503000	Gallstone ileus
cholelithiasis	Read2	J64..00	Cholelithiasis
cholelithiasis	Read2	J64..11	Bile duct calculus
cholelithiasis	Read2	J64..12	Calculus - biliary
cholelithiasis	Read2	J64..13	Cystic duct calculus
cholelithiasis	Read2	J64..14	Gallbladder calculus
cholelithiasis	Read2	J64..15	Gallstones
cholelithiasis	Read2	J64..16	Stone - biliary
cholelithiasis	Read2	J640.00	Gallbladder calculus with acute cholecystitis
cholelithiasis	Read2	J640000	Gallbladder calculus with acute cholecystitis and no obstruction
cholelithiasis	Read2	J640100	Gallbladder calculus with acute cholecystitis and obstruction
cholelithiasis	Read2	J640z00	Gallbladder calculus with acute cholecystitis and obstruction NOS
cholelithiasis	Read2	J641.00	Gallbladder calculus with other cholecystitis
cholelithiasis	Read2	J641000	Gallbladder calculus with other cholecystitis and no obstruction
cholelithiasis	Read2	J641100	Gallbladder calculus with other cholecystitis and obstruction
cholelithiasis	Read2	J641z00	Gallbladder calculus with other cholecystitis and obstruction NOS
cholelithiasis	Read2	J642.00	Gallbladder calculus without mention of cholecystitis
cholelithiasis	Read2	J642.11	Gallbladder calculus without mention of cholecystitis
cholelithiasis	Read2	J642000	Gallbladder calculus without mention of cholecystitis and no obstruction
cholelithiasis	Read2	J642100	Gallbladder calculus without mention of cholecystitis and with obstruction
cholelithiasis	Read2	J642200	Biliary colic
cholelithiasis	Read2	J642z00	Gallbladder calculus without mention of cholecystitis and obstruction NOS
cholelithiasis	Read2	J643.00	Bile duct calculus with acute cholecystitis
cholelithiasis	Read2	J643000	Bile duct calculus with acute cholecystitis and no obstruction
cholelithiasis	Read2	J643100	Bile duct calculus + acute cholecystitis and obstruction
cholelithiasis	Read2	J643z00	Bile duct calculus with acute cholecystitis and obstruction NOS
