condition	vocab_id	code	description
coronary_heart	ICD10	I20	Angina pectoris
coronary_heart	ICD10	I21	Acute myocardial infarction
coronary_heart	ICD10	I22	Subsequent myocardial infarction
coronary_heart	ICD10	I23	Certain current complications following acute myocardial infarction
coronary_heart	ICD10	I24.1	Dressler syndrome
coronary_heart	ICD10	I25	Chronic ischaemic heart disease
coronary_heart	Read2	14A3.00	H/O: myocardial infarct <60
coronary_heart	Read2	14A4.00	H/O: myocardial infarct >60
coronary_heart	Read2	14A5.00	H/O: angina pectoris
coronary_heart	Read2	14AH.00	H/O: Myocardial infarction in last year
coronary_heart	Read2	14AJ.00	H/O: Angina in last year
coronary_heart	Read2	14AL.00	H/O: Treatment for ischaemic heart disease
coronary_heart	Read2	3213100	Exercise ECG abnormal
coronary_heart	Read2	3213111	Positive exercise ECG test
coronary_heart	Read2	322..00	ECG: myocardial ischaemia
coronary_heart	Read2	3222.00	ECG:shows myocardial ischaemia
coronary_heart	Read2	322Z.00	ECG: myocardial ischaemia NOS
coronary_heart	Read2	323..00	ECG: myocardial infarction
coronary_heart	Read2	3233.00	ECG: antero-septal infarct.
coronary_heart	Read2	3234.00	ECG:posterior/inferior infarct
coronary_heart	Read2	3235.00	ECG: subendocardial infarct
coronary_heart	Read2	3236.00	ECG: lateral infarction
coronary_heart	Read2	323Z.00	ECG: myocardial infarct NOS
coronary_heart	Read2	32E4.00	ECG: S-T depression
coronary_heart	Read2	32F2.00	ECG: T wave abnormal
coronary_heart	Read2	32F3.00	ECG: T wave flattened
coronary_heart	Read2	32F4.00	ECG: T wave inverted
coronary_heart	Read2	33B9500	Exercise tolerance test abnormal
coronary_heart	Read2	5543.00	Coronary arteriograph.abnormal
coronary_heart	Read2	5C11.00	Radionuclide heart study abnormal
coronary_heart	Read2	662K.00	Angina control
coronary_heart	Read2	662K000	Angina control - good
coronary_heart	Read2	662K100	Angina control - poor
coronary_heart	Read2	662K200	Angina control - improving
coronary_heart	Read2	662K300	Angina control - worsening
coronary_heart	Read2	662Kz00	Angina control NOS
coronary_heart	Read2	6A2..00	Coronary heart disease annual review
coronary_heart	Read2	6A4..00	Coronary heart disease review
coronary_heart	Read2	792..11	Coronary artery bypass graft operations
coronary_heart	Read2	7920.00	Saphenous vein graft replacement of coronary artery
coronary_heart	Read2	7920.11	Saphenous vein graft bypass of coronary artery
coronary_heart	Read2	7920000	Saphenous vein graft replacement of one coronary artery
coronary_heart	Read2	7920100	Saphenous vein graft replacement of two coronary arteries
coronary_heart	Read2	7920200	Saphenous vein graft replacement of three coronary arteries
coronary_heart	Read2	7920300	Saphenous vein graft replacement of four or more coronary arteries
coronary_heart	Read2	7920y00	Other specified saphenous vein graft replacement of coronary artery
coronary_heart	Read2	7920z00	Saphenous vein graft replacement coronary artery NOS
coronary_heart	Read2	7921.00	Other autograft replacement of coronary artery
coronary_heart	Read2	7921.11	Other autograft bypass of coronary artery
coronary_heart	Read2	7921000	Autograft replacement of one coronary artery NEC
coronary_heart	Read2	7921100	Autograft replacement of two coronary arteries NEC
coronary_heart	Read2	7921200	Autograft replacement of three coronary arteries NEC
coronary_heart	Read2	7921300	Autograft replacement of four of more coronary arteries NEC
coronary_heart	Read2	7921y00	Other specified other autograft replacement of coronary artery
coronary_heart	Read2	7921z00	Other autograft replacement of coronary artery NOS
coronary_heart	Read2	7922.00	Allograft replacement of coronary artery
coronary_heart	Read2	7922.11	Allograft bypass of coronary artery
coronary_heart	Read2	7922000	Allograft replacement of one coronary artery
coronary_heart	Read2	7922100	Allograft replacement of two coronary arteries
coronary_heart	Read2	7922200	Allograft replacement of three coronary arteries
coronary_heart	Read2	7922300	Allograft replacement of four or more coronary arteries
coronary_heart	Read2	7922y00	Other specified allograft replacement of coronary artery
coronary_heart	Read2	7922z00	Allograft replacement of coronary artery NOS
coronary_heart	Read2	7923.00	Prosthetic replacement of coronary artery
coronary_heart	Read2	7923.11	Prosthetic bypass of coronary artery
coronary_heart	Read2	7923000	Prosthetic replacement of one coronary artery
coronary_heart	Read2	7923100	Prosthetic replacement of two coronary arteries
coronary_heart	Read2	7923200	Prosthetic replacement of three coronary arteries
coronary_heart	Read2	7923300	Prosthetic replacement of four or more coronary arteries
coronary_heart	Read2	7923z00	Prosthetic replacement of coronary artery NOS
coronary_heart	Read2	7925.00	Connection of mammary artery to coronary artery
coronary_heart	Read2	7925.11	Creation of bypass from mammary artery to coronary artery
coronary_heart	Read2	7925000	Double anastomosis of mammary arteries to coronary arteries
coronary_heart	Read2	7925100	Double implantation of mammary arteries into coronary arteries
coronary_heart	Read2	7925300	Single anastomosis of mammary artery to coronary artery NEC
coronary_heart	Read2	7925311	LIMA single anastomosis
coronary_heart	Read2	7925312	RIMA single anastomosis
coronary_heart	Read2	7925400	Single implantation of mammary artery into coronary artery
coronary_heart	Read2	7925y00	Other specified connection of mammary artery to coronary artery
coronary_heart	Read2	7925z00	Connection of mammary artery to coronary artery NOS
coronary_heart	Read2	7926.00	Connection of other thoracic artery to coronary artery
coronary_heart	Read2	7926000	Double anastomosis of thoracic arteries to coronary arteries NEC
coronary_heart	Read2	7926200	Single anastomosis of thoracic artery to coronary artery NEC
coronary_heart	Read2	7926300	Single implantation of thoracic artery into coronary artery NEC
coronary_heart	Read2	7926z00	Connection of other thoracic artery to coronary artery NOS
coronary_heart	Read2	7927500	Open angioplasty of coronary artery
coronary_heart	Read2	7928.11	Percutaneous balloon coronary angioplasty
coronary_heart	Read2	7928000	Percutaneous transluminal balloon angioplasty of one coronary artery
coronary_heart	Read2	7928100	Percutaneous transluminal balloon angioplasty of multiple coronary arteries
coronary_heart	Read2	7928200	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery
coronary_heart	Read2	7928300	Percutaneous transluminal cutting balloon angioplasty of coronary artery
coronary_heart	Read2	7928y00	Other specified transluminal balloon angioplasty of coronary artery
coronary_heart	Read2	7928z00	Transluminal balloon angioplasty of coronary artery NOS
coronary_heart	Read2	7929000	Percutaneous transluminal laser coronary angioplasty
coronary_heart	Read2	7929300	Rotary blade coronary angioplasty
coronary_heart	Read2	7929400	Insertion of coronary artery stent
coronary_heart	Read2	7929500	Insertion of drug-eluting coronary artery stent
coronary_heart	Read2	7929600	Percutaneous transluminal atherectomy of coronary artery
coronary_heart	Read2	792B000	Endarterectomy of coronary artery NEC
coronary_heart	Read2	792C.00	Other replacement of coronary artery
coronary_heart	Read2	792C000	Replacement of coronary arteries using multiple methods
coronary_heart	Read2	792Cy00	Other specified replacement of coronary artery
coronary_heart	Read2	792Cz00	Replacement of coronary artery NOS
coronary_heart	Read2	792D.00	Other bypass of coronary artery
coronary_heart	Read2	792Dy00	Other specified other bypass of coronary artery
coronary_heart	Read2	792Dz00	Other bypass of coronary artery NOS
coronary_heart	Read2	793G.00	Percutaneous transluminal balloon angioplasty and stenting of coronary artery
coronary_heart	Read2	793G000	Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug eluting stents into coronary artery
coronary_heart	Read2	793G100	Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug eluting stents into coronary artery
coronary_heart	Read2	793G200	Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
coronary_heart	Read2	793G300	Percutaneous coronary balloon angioplasty and 3 or more stents into coronary artery NEC
