condition	vocab_id	code	description
dementia	ICD10	F00	Dementia in Alzheimer disease
dementia	ICD10	F01	Vascular dementia
dementia	ICD10	F03	Unspecified dementia
dementia	ICD10	F05.1	Delirium superimposed on dementia
dementia	ICD10	G30	Alzheimer disease
dementia	Read2	1461.00	H/O: dementia
dementia	Read2	66h..00	Dementia monitoring
dementia	Read2	6AB..00	Dementia annual review
dementia	Read2	8CMZ.00	Dementia care plan
dementia	Read2	9hD..00	Exception reporting: dementia quality indicators
dementia	Read2	9hD0.00	Excepted from dementia quality indicators: Patient unsuitable
dementia	Read2	9hD1.00	Excepted from dementia quality indicators: Informed dissent
dementia	Read2	9Ou..00	Dementia monitoring administration
dementia	Read2	9Ou1.00	Dementia monitoring first letter
dementia	Read2	9Ou2.00	Dementia monitoring second letter
dementia	Read2	9Ou3.00	Dementia monitoring third letter
dementia	Read2	9Ou4.00	Dementia monitoring verbal invite
dementia	Read2	9Ou5.00	Dementia monitoring telephone invite
dementia	Read2	E00..00	Senile and presenile organic psychotic conditions
dementia	Read2	E00..11	Senile dementia
dementia	Read2	E00..12	Senile/presenile dementia
dementia	Read2	E000.00	Uncomplicated senile dementia
dementia	Read2	E001.00	Presenile dementia
dementia	Read2	E001000	Uncomplicated presenile dementia
dementia	Read2	E001100	Presenile dementia with delirium
dementia	Read2	E001200	Presenile dementia with paranoia
dementia	Read2	E001300	Presenile dementia with depression
dementia	Read2	E001z00	Presenile dementia NOS
dementia	Read2	E002.00	Senile dementia with depressive or paranoid features
dementia	Read2	E002000	Senile dementia with paranoia
dementia	Read2	E002100	Senile dementia with depression
dementia	Read2	E002z00	Senile dementia with depressive or paranoid features NOS
dementia	Read2	E003.00	Senile dementia with delirium
dementia	Read2	E004.00	Arteriosclerotic dementia
dementia	Read2	E004.11	Multi infarct dementia
dementia	Read2	E004000	Uncomplicated arteriosclerotic dementia
dementia	Read2	E004100	Arteriosclerotic dementia with delirium
dementia	Read2	E004200	Arteriosclerotic dementia with paranoia
dementia	Read2	E004300	Arteriosclerotic dementia with depression
dementia	Read2	E004z00	Arteriosclerotic dementia NOS
dementia	Read2	E00y.00	Other senile and presenile organic psychoses
dementia	Read2	E00y.11	Presbyophrenic psychosis
dementia	Read2	E00z.00	Senile or presenile psychoses NOS
dementia	Read2	E041.00	Dementia in conditions EC
dementia	Read2	Eu00.00	[X]Dementia in Alzheimer's disease
dementia	Read2	Eu00000	[X]Dementia in Alzheimer's disease with early onset
dementia	Read2	Eu00011	[X]Presenile dementia,Alzheimer's type
dementia	Read2	Eu00012	[X] Primary degenerative dementia of Alzheimer's type, presenile onset
dementia	Read2	Eu00013	[X]Alzheimer's disease type 2
dementia	Read2	Eu00100	[X]Dementia in Alzheimer's disease with late onset
dementia	Read2	Eu00111	[X]Alzheimer's disease type 1
dementia	Read2	Eu00112	[X]Senile dementia,Alzheimer's type
dementia	Read2	Eu00113	[X]Primary degenerative dementia of Alzheimer's type, senile onset
dementia	Read2	Eu00200	[X]Dementia in Alzheimer's dis, atypical or mixed type
dementia	Read2	Eu00z00	[X]Dementia in Alzheimer's disease, unspecified
dementia	Read2	Eu00z11	[X]Alzheimer's dementia unspec
dementia	Read2	Eu01.00	[X]Vascular dementia
dementia	Read2	Eu01.11	[X]Arteriosclerotic dementia
dementia	Read2	Eu01000	[X]Vascular dementia of acute onset
dementia	Read2	Eu01100	[X]Multi-infarct dementia
dementia	Read2	Eu01111	[X]Predominantly cortical dementia
dementia	Read2	Eu01200	[X]Subcortical vascular dementia
dementia	Read2	Eu01300	[X]Mixed cortical and subcortical vascular dementia
dementia	Read2	Eu01y00	[X]Other vascular dementia
dementia	Read2	Eu01z00	[X]Vascular dementia, unspecified
dementia	Read2	Eu02z00	[X] Unspecified dementia
dementia	Read2	Eu02z11	[X] Presenile dementia NOS
dementia	Read2	Eu02z12	[X] Presenile psychosis NOS
dementia	Read2	Eu02z13	[X] Primary degenerative dementia NOS
dementia	Read2	Eu02z14	[X] Senile dementia NOS
dementia	Read2	Eu02z15	[X] Senile psychosis NOS
dementia	Read2	Eu02z16	[X] Senile dementia, depressed or paranoid type
dementia	Read2	Eu04100	[X]Delirium superimposed on dementia
dementia	Read2	F110.00	Alzheimer's disease
dementia	Read2	F110000	Alzheimer's disease with early onset
dementia	Read2	F110100	Alzheimer's disease with late onset
dementia	Read2	Fyu3000	[X]Other Alzheimer's disease
dementia	Read2	ZS7C500	Language disorder of dementia
dementia	CTV3	1461.Ya04C	H/O: dementia
dementia	CTV3	XaMJCYapUB	Dementia monitoring
dementia	CTV3	XaMGFYapQZ	Dementia annual review
dementia	CTV3	XaaBZYaw3t	Dementia care plan
dementia	CTV3	XaLFfYaoJD	Exception reporting: dementia quality indicators
dementia	CTV3	XaLFoYaoJV	Excepted from dementia quality indicators: Patient unsuitable
dementia	CTV3	XaLFpYaoJX	Excepted from dementia quality indicators: Informed dissent
dementia	CTV3	XaMFyYapQG	Dementia monitoring administration
dementia	CTV3	XaMG0YapQK	Dementia monitoring first letter
dementia	CTV3	XaMGGYapQa	Dementia monitoring second letter
dementia	CTV3	XaMGIYapQe	Dementia monitoring third letter
dementia	CTV3	XaMGJYapQg	Dementia monitoring verbal invite
dementia	CTV3	XaMGKYapQi	Dementia monitoring telephone invite
dementia	CTV3	XE1XrY016M	Senile and presenile organic psychotic conditions
dementia	CTV3	X00R2Y016Y	Senile dementia
dementia	CTV3	X002wY00Gv	Dementia
dementia	CTV3	E000.Y016e	Uncomplicated senile dementia
dementia	CTV3	E001.Y016S	Presenile dementia
dementia	CTV3	E0010Y016T	Uncomplicated presenile dementia
dementia	CTV3	E0011Y016U	Presenile dementia with delirium
dementia	CTV3	E0012Y016V	Presenile dementia with paranoia
dementia	CTV3	E0013Y016W	Presenile dementia with depression
dementia	CTV3	E001zY016X	Presenile dementia NOS
dementia	CTV3	E002.Y016a	Senile dementia with depressive or paranoid features
dementia	CTV3	E0020Y016b	Senile dementia with paranoia
dementia	CTV3	E0021Y016c	Senile dementia with depression
dementia	CTV3	E002zY016d	Senile dementia with depressive or paranoid features NOS
dementia	CTV3	E003.Y016Z	Senile dementia with delirium
dementia	CTV3	XE1XsY00Hw	Arteriosclerotic dementia
dementia	CTV3	Xa0lHYadT0	Multi-infarct dementia
dementia	CTV3	E0040Y0170	Uncomplicated arteriosclerotic dementia
dementia	CTV3	E0041Y016z	Arteriosclerotic dementia with delirium
dementia	CTV3	E0042Y016w	Arteriosclerotic dementia with paranoia
dementia	CTV3	E0043Y016x	Arteriosclerotic dementia with depression
dementia	CTV3	E004zY016y	Arteriosclerotic dementia NOS
dementia	CTV3	XE1XtY016O	Other senile and presenile organic psychoses
dementia	CTV3	X00R0Y016P	Presbyophrenic psychosis
dementia	CTV3	E00z.Y016N	Senile or presenile psychoses NOS
dementia	CTV3	E041.Y016f	Dementia in conditions EC
dementia	CTV3	Eu00.YMB0i	[X]Dementia in Alzheimer's disease
dementia	CTV3	X002xY00H0	Dementia in Alzheimer's disease with early onset
dementia	CTV3	X002xY00H2	Presenile dementia, Alzheimer's type
dementia	CTV3	X0030Y00H5	Dementia in Alzheimer's disease with late onset
dementia	CTV3	X0030Y00H7	SDAT - Senile dementia, Alzheimer's type
dementia	CTV3	Eu002YMB0l	[X]Dementia in Alzheimer's dis, atypical or mixed type
dementia	CTV3	Eu00zYMB0m	[X]Dementia in Alzheimer's disease, unspecified
dementia	CTV3	XE1XsY00Hv	Vascular dementia
dementia	CTV3	X003RY00Hx	Vascular dementia of acute onset
dementia	CTV3	Xa0lHY00dJ	MID - Multi-infarct dementia
dementia	CTV3	X003TY00Hz	Subcortical vascular dementia
dementia	CTV3	X003VY00I1	Mixed cortical and subcortical vascular dementia
dementia	CTV3	Eu01yYMB0s	[X]Other vascular dementia
dementia	CTV3	Eu01zYMB0t	[X]Vascular dementia, unspecified
dementia	CTV3	XE1Z6YMB11	[X]Unspecified dementia
dementia	CTV3	E00z.YMBwl	[X]Presenile psychosis NOS
dementia	CTV3	Eu02zYMK1N	[X] Primary degenerative dementia NOS
dementia	CTV3	Xa1GBYa2nk	Cerebral degeneration presenting primarily with dementia
dementia	CTV3	Eu02zYMK1O	[X] Senile dementia NOS
dementia	CTV3	Eu02zYMK1P	[X] Senile psychosis NOS
dementia	CTV3	Eu041YMB15	[X]Delirium superimposed on dementia
dementia	CTV3	F110.Y00Gw	Alzheimer's disease
dementia	CTV3	XaIKBYMAhP	Alzheimer's disease with early onset
dementia	CTV3	XaIKCYMAhQ	Alzheimer's disease with late onset
dementia	CTV3	Fyu30YMADH	[X]Other Alzheimer's disease
dementia	medcodeid	26545010	Senile dementia
dementia	medcodeid	294637017	Uncomplicated presenile dementia
dementia	medcodeid	294646011	Senile dementia with depression
dementia	medcodeid	294648012	Senile dementia with delirium
dementia	medcodeid	294652012	Uncomplicated arteriosclerotic dementia
dementia	medcodeid	294653019	Arteriosclerotic dementia with delirium
dementia	medcodeid	294654013	Arteriosclerotic dementia with paranoia
dementia	medcodeid	294655014	Arteriosclerotic dementia with depression
dementia	medcodeid	346897015	Presbyophrenic psychosis
dementia	medcodeid	401757012	Senile and presenile organic psychotic conditions
dementia	medcodeid	406841000000115	Dementia monitoring administration
dementia	medcodeid	407461000000119	Dementia monitoring
dementia	medcodeid	408401000000119	Dementia annual review
dementia	medcodeid	497559016	Arteriosclerotic dementia
dementia	medcodeid	294647019	Senile dementia with depressive or paranoid features NOS
dementia	medcodeid	295680015	[X]Other vascular dementia
dementia	medcodeid	299325013	[X]Other Alzheimer's disease
dementia	medcodeid	401759010	Other senile and presenile organic psychoses
dementia	medcodeid	294111000000119	Exception reporting: dementia quality indicators
dementia	medcodeid	294321000000111	Excepted from dementia quality indicators: Informed dissent
dementia	medcodeid	359141000006111	[X] Senile dementia NOS
dementia	medcodeid	359161000006110	[X] Senile psychosis NOS
dementia	medcodeid	376531000006119	[X]Dementia in Alzheimer's disease with early onset
dementia	medcodeid	398571000006112	[X]Mixed cortical and subcortical vascular dementia
dementia	medcodeid	399031000006111	[X]Multi-infarct dementia
