condition	vocab_id	code	description
depression	ICD10	F32	Depressive episode
depression	ICD10	F33	Recurrent depressive disorder
depression	ICD10	F34.1	Dysthymia
depression	Read2	1465.00	H/O: depression
depression	Read2	212S.00	Depression resolved
depression	Read2	8BK0.00	Depression management programme
depression	Read2	8CAa.00	Patient given advice about management of depression
depression	Read2	8HHq.00	Referral for guided self-help for depression
depression	Read2	9H90.00	Depression annual review
depression	Read2	9H91.00	Depression medication review
depression	Read2	9H92.00	Depression interim review
depression	Read2	9HA0.00	On depression register
depression	Read2	9k4..00	Depression - enhanced services administration
depression	Read2	9k40.00	Depression - enhanced service completed
depression	Read2	9kQ..00	On full dose long term treatment for depression - enhanced services administration
depression	Read2	9Ov..00	Depression monitoring administration
depression	Read2	9Ov0.00	Depression monitoring first letter
depression	Read2	9Ov1.00	Depression monitoring second letter
depression	Read2	9Ov2.00	Depression monitoring third letter
depression	Read2	9Ov3.00	Depression monitoring verbal invite
depression	Read2	9Ov4.00	Depression monitoring telephone invite
depression	Read2	E001300	Presenile dementia with depression
depression	Read2	E002100	Senile dementia with depression
depression	Read2	E004300	Arteriosclerotic dementia with depression
depression	Read2	E11..12	Depressive psychoses
depression	Read2	E112.11	Agitated depression
depression	Read2	E112.12	Endogenous depression first episode
depression	Read2	E112.13	Endogenous depression first episode
depression	Read2	E112.14	Endogenous depression
depression	Read2	E113.00	Recurrent major depressive episode
depression	Read2	E113.11	Endogenous depression - recurrent
depression	Read2	E113000	Recurrent major depressive episodes, unspecified
depression	Read2	E113100	Recurrent major depressive episodes, mild
depression	Read2	E113200	Recurrent major depressive episodes, moderate
depression	Read2	E113300	Recurrent major depressive episodes, severe, without mention of psychosis
depression	Read2	E113400	Recurrent major depressive episodes, severe, with psychosis
depression	Read2	E113500	Recurrent major depressive episodes, in partial or unspecified remission
depression	Read2	E113600	Recurrent major depressive episodes, in full remission
depression	Read2	E113700	Recurrent depression
depression	Read2	E113z00	Recurrent major depressive episode NOS
depression	Read2	E118.00	Seasonal affective disorder
depression	Read2	E11y200	Atypical depressive disorder
depression	Read2	E11z200	Masked depression
depression	Read2	E130.00	Reactive depressive psychosis
depression	Read2	E130.11	Psychotic reactive depression
depression	Read2	E135.00	Agitated depression
depression	Read2	E200300	Anxiety with depression
depression	Read2	E291.00	Prolonged depressive reaction
depression	Read2	E2B..00	Depressive disorder NEC
depression	Read2	E2B1.00	Chronic depression
depression	Read2	Eu20400	[X]Post-schizophrenic depression
depression	Read2	Eu25100	[X]Schizoaffective disorder, depressive type
depression	Read2	Eu25111	[X]Schizoaffective psychosis, depressive type
depression	Read2	Eu25112	[X]Schizophreniform psychosis, depressive type
depression	Read2	Eu32.00	[X]Depressive episode
depression	Read2	Eu32000	[X]Mild depressive episode
depression	Read2	Eu32100	[X]Moderate depressive episode
