condition	vocab_id	code	description
diabetes_type_2	ICD10	E11	Type 2 diabetes mellitus
diabetes_type_2	Read2	C109.12	Type 2 diabetes mellitus
diabetes_type_2	Read2	C109.13	Type II diabetes mellitus
diabetes_type_2	Read2	C109011	Type II diabetes mellitus with renal complications
diabetes_type_2	Read2	C109012	Type 2 diabetes mellitus with renal complications
diabetes_type_2	Read2	C109111	Type II diabetes mellitus with ophthalmic complications
diabetes_type_2	Read2	C109112	Type 2 diabetes mellitus with ophthalmic complications
diabetes_type_2	Read2	C109211	Type II diabetes mellitus with neurological complications
diabetes_type_2	Read2	C109212	Type 2 diabetes mellitus with neurological complications
diabetes_type_2	Read2	C109411	Type II diabetes mellitus with ulcer
diabetes_type_2	Read2	C109412	Type 2 diabetes mellitus with ulcer
diabetes_type_2	Read2	C109511	Type II diabetes mellitus with gangrene
diabetes_type_2	Read2	C109512	Type 2 diabetes mellitus with gangrene
diabetes_type_2	Read2	C109611	Type II diabetes mellitus with retinopathy
diabetes_type_2	Read2	C109612	Type 2 diabetes mellitus with retinopathy
diabetes_type_2	Read2	C109711	Type II diabetes mellitus - poor control
diabetes_type_2	Read2	C109712	Type 2 diabetes mellitus - poor control
diabetes_type_2	Read2	C109A11	Type II diabetes mellitus with mononeuropathy
diabetes_type_2	Read2	C109B11	Type II diabetes mellitus with polyneuropathy
diabetes_type_2	Read2	C109B12	Type 2 diabetes mellitus with polyneuropathy
diabetes_type_2	Read2	C109C11	Type II diabetes mellitus with nephropathy
diabetes_type_2	Read2	C109C12	Type 2 diabetes mellitus with nephropathy
diabetes_type_2	Read2	C109D11	Type II diabetes mellitus with hypoglycaemic coma
diabetes_type_2	Read2	C109D12	Type 2 diabetes mellitus with hypoglycaemic coma
diabetes_type_2	Read2	C109E11	Type II diabetes mellitus with diabetic cataract
diabetes_type_2	Read2	C109E12	Type 2 diabetes mellitus with diabetic cataract
diabetes_type_2	Read2	C109F11	Type II diabetes mellitus with peripheral angiopathy
diabetes_type_2	Read2	C109F12	Type 2 diabetes mellitus with peripheral angiopathy
diabetes_type_2	Read2	C109G11	Type II diabetes mellitus with arthropathy
diabetes_type_2	Read2	C109G12	Type 2 diabetes mellitus with arthropathy
diabetes_type_2	Read2	C109H11	Type II diabetes mellitus with neuropathic arthropathy
diabetes_type_2	Read2	C109H12	Type 2 diabetes mellitus with neuropathic arthropathy
diabetes_type_2	Read2	C109J00	Insulin treated Type 2 diabetes mellitus
diabetes_type_2	Read2	C109J12	Insulin treated Type II diabetes mellitus
diabetes_type_2	Read2	C109K00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus
diabetes_type_2	Read2	C10F.00	Type 2 diabetes mellitus
diabetes_type_2	Read2	C10F.11	Type II diabetes mellitus
diabetes_type_2	Read2	C10F000	Type 2 diabetes mellitus with renal complications
diabetes_type_2	Read2	C10F011	Type II diabetes mellitus with renal complications
diabetes_type_2	Read2	C10F100	Type 2 diabetes mellitus with ophthalmic complications
diabetes_type_2	Read2	C10F111	Type II diabetes mellitus with ophthalmic complications
diabetes_type_2	Read2	C10F200	Type 2 diabetes mellitus with neurological complications
diabetes_type_2	Read2	C10F211	Type II diabetes mellitus with neurological complications
diabetes_type_2	Read2	C10F300	Type 2 diabetes mellitus with multiple complications
diabetes_type_2	Read2	C10F311	Type II diabetes mellitus with multiple complications
diabetes_type_2	Read2	C10F400	Type 2 diabetes mellitus with ulcer
diabetes_type_2	Read2	C10F411	Type II diabetes mellitus with ulcer
diabetes_type_2	Read2	C10F500	Type 2 diabetes mellitus with gangrene
diabetes_type_2	Read2	C10F600	Type 2 diabetes mellitus with retinopathy
diabetes_type_2	Read2	C10F611	Type II diabetes mellitus with retinopathy
diabetes_type_2	Read2	C10F700	Type 2 diabetes mellitus - poor control
diabetes_type_2	Read2	C10F711	Type II diabetes mellitus - poor control
diabetes_type_2	Read2	C10F900	Type 2 diabetes mellitus without complication
