condition	vocab_id	code	description
enthesopathy_shoulder	ICD10	M65.21	Calcific tendinitis, Shoulder region
enthesopathy_shoulder	ICD10	M65.22	Calcific tendinitis, Upper arm
enthesopathy_shoulder	ICD10	M75	Shoulder lesions
enthesopathy_shoulder	Read2	N210.11	Bursitis - shoulder
enthesopathy_shoulder	Read2	N210.12	Frozen shoulder
enthesopathy_shoulder	Read2	N211.00	Rotator cuff shoulder syndrome and allied disorders
enthesopathy_shoulder	Read2	N211000	Rotator cuff syndrome, unspecified
enthesopathy_shoulder	Read2	N211011	Supraspinatus syndrome
enthesopathy_shoulder	Read2	N211100	Calcifying tendinitis of the shoulder
enthesopathy_shoulder	Read2	N211200	Bicipital tenosynovitis
enthesopathy_shoulder	Read2	N211300	Supraspinatus tendinitis
enthesopathy_shoulder	Read2	N211400	Partial thickness rotator cuff tear
enthesopathy_shoulder	Read2	N211500	Full thickness rotator cuff tear
enthesopathy_shoulder	Read2	N211600	Subacromial bursitis
enthesopathy_shoulder	Read2	N211700	Subdeltoid bursitis
enthesopathy_shoulder	Read2	N211800	Bursitis of shoulder
enthesopathy_shoulder	Read2	N211z00	Rotator cuff syndrome NOS
enthesopathy_shoulder	Read2	N211z11	Painful arc syndrome
enthesopathy_shoulder	Read2	N211z12	Subacromial bursitis
enthesopathy_shoulder	Read2	N212.00	Other shoulder affections NEC
enthesopathy_shoulder	Read2	N212000	Periarthritis of shoulder
enthesopathy_shoulder	Read2	N212100	Scapulohumeral fibrositis
enthesopathy_shoulder	Read2	N212200	Subacromial impingement
enthesopathy_shoulder	Read2	N212300	Coracoid impingement
enthesopathy_shoulder	Read2	N212400	Impingement syndrome of shoulder
enthesopathy_shoulder	Read2	N212500	Shoulder tendonitis
enthesopathy_shoulder	Read2	N212z00	Other shoulder affections NEC, NOS
enthesopathy_shoulder	Read2	N213400	Biceps tendinitis
enthesopathy_shoulder	Read2	N226100	Rotator cuff complete rupture
enthesopathy_shoulder	CTV3	X706IY70Sj	Bursitis of shoulder
enthesopathy_shoulder	CTV3	XE1FLY70SH	Frozen shoulder
