condition	vocab_id	code	description
enthesopathy_upper	ICD10	M65.21	Calcific tendinitis, Shoulder region
enthesopathy_upper	ICD10	M65.22	Calcific tendinitis, Upper arm
enthesopathy_upper	ICD10	M65.23	Calcific tendinitis, Forearm
enthesopathy_upper	ICD10	M65.24	Calcific tendinitis, Hand
enthesopathy_upper	ICD10	M65.3	Trigger finger
enthesopathy_upper	ICD10	M65.4	Radial styloid tenosynovitis [de Quervain]
enthesopathy_upper	ICD10	M66.2	Spontaneous rupture of extensor tendons
enthesopathy_upper	ICD10	M66.3	Spontaneous rupture of flexor tendons
enthesopathy_upper	ICD10	M70.0	Chronic crepitant synovitis of hand and wrist
enthesopathy_upper	ICD10	M70.1	Bursitis of hand
enthesopathy_upper	ICD10	M70.2	Olecranon bursitis
enthesopathy_upper	ICD10	M70.3	Other bursitis of elbow
enthesopathy_upper	ICD10	M75	Shoulder lesions
enthesopathy_upper	ICD10	M77.0	Medial epicondylitis
enthesopathy_upper	ICD10	M77.1	Lateral epicondylitis
enthesopathy_upper	ICD10	M77.2	Periarthritis of wrist
enthesopathy_upper	Read2	N210.00	Adhesive capsulitis of the shoulder
enthesopathy_upper	Read2	N210.11	Bursitis - shoulder
enthesopathy_upper	Read2	N210.12	Frozen shoulder
enthesopathy_upper	Read2	N211.00	Rotator cuff shoulder syndrome and allied disorders
enthesopathy_upper	Read2	N211000	Rotator cuff syndrome, unspecified
enthesopathy_upper	Read2	N211011	Supraspinatus syndrome
enthesopathy_upper	Read2	N211100	Calcifying tendinitis of the shoulder
enthesopathy_upper	Read2	N211200	Bicipital tenosynovitis
enthesopathy_upper	Read2	N211300	Supraspinatus tendinitis
enthesopathy_upper	Read2	N211400	Partial thickness rotator cuff tear
enthesopathy_upper	Read2	N211500	Full thickness rotator cuff tear
enthesopathy_upper	Read2	N211600	Subacromial bursitis
enthesopathy_upper	Read2	N211700	Subdeltoid bursitis
enthesopathy_upper	Read2	N211800	Bursitis of shoulder
enthesopathy_upper	Read2	N211z00	Rotator cuff syndrome NOS
enthesopathy_upper	Read2	N211z11	Painful arc syndrome
enthesopathy_upper	Read2	N211z12	Subacromial bursitis
enthesopathy_upper	Read2	N212.00	Other shoulder affections NEC
enthesopathy_upper	Read2	N212000	Periarthritis of shoulder
enthesopathy_upper	Read2	N212100	Scapulohumeral fibrositis
enthesopathy_upper	Read2	N212200	Subacromial impingement
enthesopathy_upper	Read2	N212300	Coracoid impingement
enthesopathy_upper	Read2	N212400	Impingement syndrome of shoulder
enthesopathy_upper	Read2	N212500	Shoulder tendonitis
enthesopathy_upper	Read2	N212z00	Other shoulder affections NEC, NOS
enthesopathy_upper	Read2	N213.00	Enthesopathy of the elbow region
enthesopathy_upper	Read2	N213000	Elbow enthesopathy unspecified
enthesopathy_upper	Read2	N213100	Medial epicondylitis of the elbow
enthesopathy_upper	Read2	N213111	Golfer's elbow
enthesopathy_upper	Read2	N213200	Lateral epicondylitis of the elbow
enthesopathy_upper	Read2	N213211	Tennis elbow
enthesopathy_upper	Read2	N213300	Olecranon bursitis
enthesopathy_upper	Read2	N213400	Biceps tendinitis
enthesopathy_upper	Read2	N213500	Triceps tendinitis
enthesopathy_upper	Read2	N213z00	Elbow enthesopathy NOS
