condition	vocab_id	code	description
female_genital_prolapse	ICD10	N81	Female genital prolapse
female_genital_prolapse	Read2	1594.00	H/O: genital prolapse
female_genital_prolapse	Read2	7D17.00	Repair of vaginal prolapse and amputation of cervix uteri
female_genital_prolapse	Read2	7D17.11	Colporrhaphy and amputation of cervix uteri
female_genital_prolapse	Read2	7D17000	Anterior and posterior colporrhaphy and amputation of cervix uteri
female_genital_prolapse	Read2	7D17100	Anterior colporrhaphy and amputation of cervix uteri NEC
female_genital_prolapse	Read2	7D17111	Fothergill anterior colporrhaphy and amputation of cervix uteri
female_genital_prolapse	Read2	7D17200	Posterior colporrhaphy and amputation of cervix uteri NEC
female_genital_prolapse	Read2	7D17y00	Other specified repair of vaginal prolapse and amputation of cervix uteri
female_genital_prolapse	Read2	7D17z00	Repair of vaginal prolapse and amputation of cervix uteri NOS
female_genital_prolapse	Read2	7D17z11	Manchester repair
female_genital_prolapse	Read2	7D18.00	Other repair of vaginal prolapse
female_genital_prolapse	Read2	7D18.11	Colporrhaphy
female_genital_prolapse	Read2	7D18000	Anterior and posterior colporrhaphy NEC
female_genital_prolapse	Read2	7D18011	Anterior and posterior repair
female_genital_prolapse	Read2	7D18100	Anterior colporrhaphy NEC
female_genital_prolapse	Read2	7D18111	Anterior repair
female_genital_prolapse	Read2	7D18200	Posterior colporrhaphy NEC
female_genital_prolapse	Read2	7D18211	Posterior repair
female_genital_prolapse	Read2	7D18300	Repair of enterocele NEC
female_genital_prolapse	Read2	7D18311	McCall repair of enterocele
female_genital_prolapse	Read2	7D18312	Moschowitz repair of enterocele
female_genital_prolapse	Read2	7D18400	Colporrhaphy NEC
female_genital_prolapse	Read2	7D18500	Anterior mesh vaginal repair
female_genital_prolapse	Read2	7D18600	Paravaginal repair
female_genital_prolapse	Read2	7D18700	Anterior colporrhaphy with mesh reinforcement
female_genital_prolapse	Read2	7D18800	Posterior colporrhaphy with mesh reinforcement
female_genital_prolapse	Read2	7D18y00	Other specified other repair of vaginal prolapse
female_genital_prolapse	Read2	7D18z00	Other repair of vaginal prolapse NOS
female_genital_prolapse	Read2	7D19.00	Repair of vault of vagina
female_genital_prolapse	Read2	7D19000	Repair of vault of vagina using combined abdominal and vaginal approach
female_genital_prolapse	Read2	7D19100	Repair of vault of vagina using abdominal approach NEC
