condition	vocab_id	code	description
gastritis_duodenitis	ICD10	K29.3	Chronic superficial gastritis
gastritis_duodenitis	ICD10	K29.4	Chronic atrophic gastritis
gastritis_duodenitis	ICD10	K29.5	Chronic gastritis, unspecified
gastritis_duodenitis	ICD10	K29.6	Other gastritis
gastritis_duodenitis	ICD10	K29.7	Gastritis, unspecified
gastritis_duodenitis	ICD10	K29.8	Duodenitis
gastritis_duodenitis	ICD10	K29.9	Gastroduodenitis, unspecified
gastritis_duodenitis	Read2	A074313	Helicobacter gastritis
gastritis_duodenitis	Read2	J11z.11	Gastric erosions
gastritis_duodenitis	Read2	J123.00	Duodenal erosion
gastritis_duodenitis	Read2	J15..00	Gastritis and duodenitis
gastritis_duodenitis	Read2	J151.00	Chronic gastritis
gastritis_duodenitis	Read2	J151000	Chronic atrophic gastritis
gastritis_duodenitis	Read2	J151100	Chronic inflammatory gastritis
gastritis_duodenitis	Read2	J151200	Chronic superficial gastritis
gastritis_duodenitis	Read2	J151z00	Chronic gastritis NOS
gastritis_duodenitis	Read2	J152.00	Gastric mucosal hypertrophy
gastritis_duodenitis	Read2	J154.00	Other specified gastritis
gastritis_duodenitis	Read2	J154000	Allergic gastritis
gastritis_duodenitis	Read2	J154100	Bile induced gastritis
gastritis_duodenitis	Read2	J154200	Irritant gastritis
gastritis_duodenitis	Read2	J154400	Helicobacter gastritis
gastritis_duodenitis	Read2	J154z00	Other specified gastritis NOS
gastritis_duodenitis	Read2	J155.00	Gastritis unspecified
gastritis_duodenitis	Read2	J156.00	Gastroduodenitis unspecified
gastritis_duodenitis	Read2	J157.00	Duodenitis
gastritis_duodenitis	Read2	J15z.00	Gastritis and duodenitis NOS
gastritis_duodenitis	Read2	J4z0.00	Non-infective gastritis NOS
gastritis_duodenitis	Read2	Jyu1300	[X]Other gastritis
gastritis_duodenitis	Read2	ZV65316	[V]Dietary counselling in gastritis
gastritis_duodenitis	CTV3	X301RY71Fk	Helicobacter gastritis
gastritis_duodenitis	CTV3	X301MY3040	Gastric erosions
gastritis_duodenitis	CTV3	X302GY3079	Duodenal erosion
gastritis_duodenitis	CTV3	J15..Y300N	Gastritis and duodenitis
gastritis_duodenitis	CTV3	J151.Y304L	Chronic gastritis
gastritis_duodenitis	CTV3	J1510Y304T	Chronic atrophic gastritis
gastritis_duodenitis	CTV3	J1511Y304N	Chronic inflammatory gastritis
gastritis_duodenitis	CTV3	J1512YMAlJ	Chronic superficial gastritis
gastritis_duodenitis	CTV3	J151zY304M	Chronic gastritis NOS
gastritis_duodenitis	CTV3	J152.Y304s	Gastric mucosal hypertrophy
gastritis_duodenitis	CTV3	J154.Y304B	Other specified gastritis
gastritis_duodenitis	CTV3	J1540Y304K	Allergic gastritis
gastritis_duodenitis	CTV3	XE0aTY304b	Biliary gastritis
gastritis_duodenitis	CTV3	XE0aTY304X	Alkaline reflux gastritis
gastritis_duodenitis	CTV3	J1542YM1i5	Irritant gastritis
gastritis_duodenitis	CTV3	J154zY304A	Other specified gastritis NOS
gastritis_duodenitis	CTV3	J155.Y3049	Gastritis unspecified
gastritis_duodenitis	CTV3	J156.Y300P	Gastroduodenitis unspecified
gastritis_duodenitis	CTV3	J157.Y307A	Duodenitis
gastritis_duodenitis	CTV3	J15z.Y300O	Gastritis and duodenitis NOS
