condition	vocab_id	code	description
gout	ICD10	M10	Gout
gout	ICD10	M1A	Chronic gout
gout	Read2	1443.00	H/O: gout
gout	Read2	2D52.00	O/E - auricle of ear - tophi
gout	Read2	669..00	Gout monitoring
gout	Read2	6691.00	Initial gout assessment
gout	Read2	6692.00	Follow-up gout assessment
gout	Read2	6693.00	Joints gout affected
gout	Read2	6695.00	Date gout treatment started
gout	Read2	6696.00	Date of last gout attack
gout	Read2	6697.00	Gout associated problems
gout	Read2	669Z.00	Gout monitoring NOS
gout	Read2	C34..00	Gout
gout	Read2	C340.00	Gouty arthropathy
gout	Read2	C341.00	Gouty nephropathy
gout	Read2	C341z00	Gouty nephropathy NOS
gout	Read2	C342.00	Idiopathic gout
gout	Read2	C344.00	Drug-induced gout
gout	Read2	C345.00	Gout due to impairment of renal function
gout	Read2	C34y.00	Other specified gouty manifestation
gout	Read2	C34y000	Gouty tophi of ear
gout	Read2	C34y100	Gouty tophi of heart
gout	Read2	C34y200	Gouty tophi of other sites
gout	Read2	C34y300	Gouty iritis
gout	Read2	C34y400	Gouty neuritis
gout	Read2	C34y500	Gouty tophi of hand
gout	Read2	C34yz00	Other specified gouty manifestation NOS
gout	Read2	C34z.00	Gout NOS
gout	Read2	G557300	Gouty tophi of heart
gout	Read2	N023.00	Gouty arthritis
gout	Read2	N023100	Gouty arthritis of the shoulder region
gout	Read2	N023200	Gouty arthritis of the upper arm
gout	Read2	N023300	Gouty arthritis of the forearm
gout	Read2	N023400	Gouty arthritis of the hand
gout	Read2	N023600	Gouty arthritis of the lower leg
gout	Read2	N023700	Gouty arthritis of the ankle and foot
gout	Read2	N023800	Gouty arthritis of toe
gout	Read2	N023x00	Gouty arthritis of multiple sites
gout	Read2	N023y00	Gouty arthritis of other specified site
gout	Read2	N023z00	Gouty arthritis NOS
gout	Read2	Nyu1700	[X]Other secondary gout
gout	CTV3	1443.Ya03z	H/O: gout
gout	CTV3	2D52.YM0Pm	O/E - auricle of ear - tophi
gout	CTV3	669..Y79Xy	Gout monitoring
gout	CTV3	6691.Y79Xz	Initial gout assessment
gout	CTV3	6692.Y79Y0	Follow-up gout assessment
gout	CTV3	6693.Y7A0f	Joints gout affected
gout	CTV3	6695.Y7A0h	Date gout treatment started
gout	CTV3	6696.Y7A0i	Date of last gout attack
gout	CTV3	6697.Y7A0j	Gout associated problems
gout	CTV3	669Z.Y79Y3	Gout monitoring NOS
gout	CTV3	C34z.YM0kQ	Gout NOS
gout	CTV3	N023.Y70Jw	NA
gout	CTV3	X40PQY70Jw	Gout
gout	CTV3	C340.Y70Jx	Gouty arthropathy
gout	CTV3	C341.Y31jK	Gouty nephropathy
gout	CTV3	C341zY31jL	Gouty nephropathy NOS
gout	CTV3	X40UWY41pl	Idiopathic gout
gout	CTV3	X702qYMJzv	Drug-induced gout
gout	CTV3	X702pYadvk	Gout due to impairment of renal function
gout	CTV3	C34y.Y70K0	Other specified gouty manifestation
gout	CTV3	C34y0Y02HU	Gouty tophus of pinna
gout	CTV3	C34y1Y206i	Gouty tophi of heart
gout	CTV3	C34y2Y70Xv	Gouty tophi of other sites
gout	CTV3	C34y3Y41P3	Gouty iritis
gout	CTV3	C34y4Y00F0	Gouty neuritis
gout	CTV3	C34y5Y70Xu	Gouty tophi of hand
gout	CTV3	C34yzY70Jz	Other specified gouty manifestation NOS
gout	CTV3	N023.Y70Jy	Gouty arthritis
gout	CTV3	N0231Y70KA	Gouty arthritis of the shoulder region
gout	CTV3	N0232Y70K9	Gouty arthritis of the upper arm
gout	CTV3	N0233Y70K8	Gouty arthritis of the forearm
gout	CTV3	N0234Y70K7	Gouty arthritis of the hand
gout	CTV3	N0236Y70K5	Gouty arthritis of the lower leg
