condition	vocab_id	code	description
hearing_loss	ICD10	H90	Conductive and sensorineural hearing loss
hearing_loss	ICD10	H91	Other hearing loss
hearing_loss	ICD10	Z45.3	Adjustment and management of implanted hearing device
hearing_loss	ICD10	Z45.32	Encounter for adjustment and management of implanted hearing device
hearing_loss	ICD10	Z46.1	Fitting and adjustment of hearing aid
hearing_loss	ICD10	Z97.4	Presence of external hearing-aid
hearing_loss	Read2	1493.00	H/O: hearing problem
hearing_loss	Read2	1C13.00	Deafness
hearing_loss	Read2	1C13.11	Deafness symptom
hearing_loss	Read2	1C13100	Unilateral deafness
hearing_loss	Read2	1C13200	Partial deafness
hearing_loss	Read2	1C13300	Bilateral deafness
hearing_loss	Read2	1C17.00	Hearing aid problem
hearing_loss	Read2	2BL..11	O/E - deaf
hearing_loss	Read2	2BL3.00	O/E - significantly deaf
hearing_loss	Read2	2BL4.00	O/E - very deaf
hearing_loss	Read2	2BL5.00	O/E - completely deaf
hearing_loss	Read2	2BM2.11	O/E - conductive deafness
hearing_loss	Read2	2BM3.11	O/E - perceptive deafness
hearing_loss	Read2	2DG..00	Hearing aid worn
hearing_loss	Read2	2DH0.00	Uses hearing loop
hearing_loss	Read2	7308400	Placement of hearing implant in external ear
hearing_loss	Read2	7308500	Attention to hearing implant in external ear
hearing_loss	Read2	7308600	Removal of hearing implant from external ear
hearing_loss	Read2	7311A00	Insertion of bone anchors for subcutaneous bone anchored hearing aid
hearing_loss	Read2	7317.00	Other operations on middle ear
hearing_loss	Read2	7317C00	Placement of hearing implant in middle ear
hearing_loss	Read2	7317D00	Attention to hearing implant in middle ear
hearing_loss	Read2	7319.00	Attachment of bone anchored hearing prosthesis
hearing_loss	Read2	7319000	Insertion of fixtures for bone anchored hearing prosthesis Stage 1
hearing_loss	Read2	7319100	Insertion of fixtures for bone anchored hearing prosthesis Stage 2
hearing_loss	Read2	7319200	Reduction of soft tissue for bone anchored hearing prosthesis
hearing_loss	Read2	7319300	Attention to fixtures for bone anchored hearing prosthesis
hearing_loss	Read2	7319400	One stage insertion of fixtures for bone anchored hearing prosthesis
hearing_loss	Read2	7319500	Fitting of external hearing prosthesis to bone anchored fixtures
hearing_loss	Read2	7319600	First stage insertion of fixtures for bone anchored hearing prosthesis
hearing_loss	Read2	7319700	Second stage insertion of fixtures for bone anchored hearing prosthesis
hearing_loss	Read2	7319y00	Other specified attachment of bone anchored hearing prosthesis
