condition	vocab_id	code	description
hypertension	ICD10	I10	Essential (primary) hypertension
hypertension	ICD10	I11	Hypertensive heart disease
hypertension	ICD10	I12	Hypertensive renal disease
hypertension	ICD10	I13	Hypertensive heart and renal disease
hypertension	ICD10	I15	Secondary hypertension
hypertension	Read2	14A2.00	H/O: hypertension
hypertension	Read2	2126100	Hypertension resolved
hypertension	Read2	212K.00	Hypertension resolved
hypertension	Read2	6146200	Hypertension induced by oral contraceptive pill
hypertension	Read2	6624.00	Borderline hyperten:yearly obs
hypertension	Read2	6627.00	Good hypertension control
hypertension	Read2	6628.00	Poor hypertension control
hypertension	Read2	662b.00	Moderate hypertension control
hypertension	Read2	662c.00	Hypertension six month review
hypertension	Read2	662d.00	Hypertension annual review
hypertension	Read2	662F.00	Hypertension treatm. started
hypertension	Read2	662G.00	Hypertensive treatm.changed
hypertension	Read2	662O.00	On treatment for hypertension
hypertension	Read2	662r.00	Trial withdrawal of antihypertensive therapy
hypertension	Read2	7Q01.00	High cost hypertension drugs
hypertension	Read2	8B26.00	Antihypertensive therapy
hypertension	Read2	8BL0.00	Patient on maximal tolerated antihypertensive therapy
hypertension	Read2	8I3N.00	Hypertension treatment refused
hypertension	Read2	9OI9.00	Hypertens.monitor deleted
hypertension	Read2	F404200	Blind hypertensive eye
hypertension	Read2	F421300	Hypertensive retinopathy
hypertension	Read2	G2...00	Hypertensive disease
hypertension	Read2	G2...11	BP - hypertensive disease
hypertension	Read2	G20..00	Essential hypertension
hypertension	Read2	G200.00	Malignant essential hypertension
hypertension	Read2	G201.00	Benign essential hypertension
hypertension	Read2	G202.00	Systolic hypertension
hypertension	Read2	G203.00	Diastolic hypertension
hypertension	Read2	G20z.00	Essential hypertension NOS
hypertension	Read2	G20z.11	Hypertension NOS
hypertension	Read2	G21..00	Hypertensive heart disease
hypertension	Read2	G210.00	Malignant hypertensive heart disease
hypertension	Read2	G210000	Malignant hypertensive heart disease without congestive cardiac failure
hypertension	Read2	G210100	Malignant hypertensive heart disease with congestive cardiac failure
hypertension	Read2	G211.00	Benign hypertensive heart disease
hypertension	Read2	G211000	Benign hypertensive heart disease without congestive cardiac failure
hypertension	Read2	G211100	Benign hypertensive heart disease with congestive cardiac failure
hypertension	Read2	G21z.00	Hypertensive heart disease NOS
