condition	vocab_id	code	description
intervert_disc	ICD10	M50	Cervical disc disorders
intervert_disc	ICD10	M51	Other intervertebral disc disorders
intervert_disc	Read2	7J20.00	Primary excision of cervical intervertebral disc
intervert_disc	Read2	7J20000	Primary laminectomy excision of cervical intervertebral disc
intervert_disc	Read2	7J20100	Primary hemilaminectomy excision of cervical intervertebral disc
intervert_disc	Read2	7J20200	Primary fenestration excision of cervical intervertebral disc
intervert_disc	Read2	7J20300	Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
intervert_disc	Read2	7J20400	Primary posterior excision of cervical intervertebral disc
intervert_disc	Read2	7J20600	Primary anterior excision of cervical intervertebral disc NEC
intervert_disc	Read2	7J20700	Primary microdiscectomy of cervical intervertebral disc
intervert_disc	Read2	7J20800	Primary laser excision of cervical intervertebral disc
intervert_disc	Read2	7J20y00	Other specified primary excision of cervical intervertebral disc
intervert_disc	Read2	7J20z00	Primary excision of cervical intervertebral disc NOS
intervert_disc	Read2	7J21.00	Revisional excision of cervical intervertebral disc operations
intervert_disc	Read2	7J21000	Revisional laminectomy excision of cervical intervertebral disc
intervert_disc	Read2	7J21100	Revisional hemilaminectomy excision of cervical intervertebral disc
intervert_disc	Read2	7J21200	Revisional fenestration excision of cervical intervertebral disc
intervert_disc	Read2	7J21300	Revision anterior excision cervical disc and fusion
intervert_disc	Read2	7J21400	Revisional posterior excision of cervical intervertebral disc NEC
intervert_disc	Read2	7J21600	Revisional anterior excision of cervical intervertebral disc NEC
intervert_disc	Read2	7J21700	Revisional microdiscectomy of cervical intervertebral disc
intervert_disc	Read2	7J21y00	Other specified revisional excision of cervical intervertebral disc
intervert_disc	Read2	7J21z00	Revisional excision of cervical intervertebral disc NOS
intervert_disc	Read2	7J23000	Primary anterior excision thoracic disc and fusion
intervert_disc	Read2	7J23100	Primary anterolateral excision of thoracic intervertebral disc NEC
intervert_disc	Read2	7J23200	Primary costotransversectomy of thoracic intervertebral disc
intervert_disc	Read2	7J23300	Primary posterior decompression of thoracic disc
intervert_disc	Read2	7J23400	Primary anterolateral biopsy of thoracic intervertebral disc
intervert_disc	Read2	7J23900	Excision of thoracic intervertebral disc NEC
intervert_disc	Read2	7J23w00	Other specified primary excision of thoracic intervertebral disc
intervert_disc	Read2	7J23x00	Primary excision of thoracic intervertebral disc NOS
intervert_disc	Read2	7J24600	Revisional excision of thoracic intervertebral disc NEC
intervert_disc	Read2	7J24A00	Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
intervert_disc	Read2	7J24B00	Revisional percutaneous endoscopic excision of thoracic intervertebral disc
intervert_disc	Read2	7J24x00	Revisional excision thoracic intervertebral disc NOS
intervert_disc	Read2	7J27000	Prosthetic replacement of cervical intervertebral disc
intervert_disc	Read2	7J27200	Prosthetic replacement of lumbar intervertebral disc
intervert_disc	Read2	7J32.00	Primary lumbar discectomy
intervert_disc	Read2	7J32.11	Primary excision of lumbar intervertebral disc
intervert_disc	Read2	7J32.12	Primary removal of lumbar intervertebral disc
intervert_disc	Read2	7J32000	Primary laminectomy excision of lumbar intervertebral disc
intervert_disc	Read2	7J32100	Primary fenestration excision of lumbar disc
intervert_disc	Read2	7J32111	Primary fenestration of lumbar intervertebral disc
intervert_disc	Read2	7J32200	Primary anterior excision of lumbar disc and fusion
intervert_disc	Read2	7J32211	Freebody anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
intervert_disc	Read2	7J32300	Primary anterior excision of lumbar disc NEC
intervert_disc	Read2	7J32400	Primary anterior excision of lumbar disc and posterior fusion
intervert_disc	Read2	7J32500	Primary anterior excision of lumbar disc and posterior instrumentation
intervert_disc	Read2	7J32600	Primary lumbar microdiscectomy
intervert_disc	Read2	7J32700	Primary posterior excision of lumbar disc
intervert_disc	Read2	7J32800	Primary laser excision of lumbar intervertebral disc
intervert_disc	Read2	7J32900	Primary percutaneous intradiscal lumbar discectomy
intervert_disc	Read2	7J32y00	Other specified primary lumbar discectomy
intervert_disc	Read2	7J32z00	Primary excision of lumbar intervertebral disc NOS
intervert_disc	Read2	7J33.00	Revisional lumbar discectomy
intervert_disc	Read2	7J33.11	Revisional excision of lumbar intervertebral disc
intervert_disc	Read2	7J33.12	Revisional removal of lumbar intervertebral disc
intervert_disc	Read2	7J33000	Revisional laminectomy excision of lumbar intervertebral disc
intervert_disc	Read2	7J33100	Revisional fenestration excision of lumbar intervertebral disc
intervert_disc	Read2	7J33200	Revisional anterior excision of lumbar disc and fusion
intervert_disc	Read2	7J33400	Revisional anterior excision of lumbar disc and posterior fusion
intervert_disc	Read2	7J33411	Revisional anterior excision of lumbar disc and posterior fusion with graft
intervert_disc	Read2	7J33600	Revisional lumbar microdiscectomy
intervert_disc	Read2	7J33700	Revisional posterior excision of lumbar disc
intervert_disc	Read2	7J33y00	Other specified revisional lumbar discectomy
intervert_disc	Read2	7J33z00	Revisional excision of lumbar intervertebral disc NOS
intervert_disc	Read2	7J4H000	Primary automated percutaneous mechanical excision of cervical intervertebral disc
intervert_disc	Read2	7J4J000	Revisional automated percutaneous mechanical excision of cervical intervertebral disc
intervert_disc	Read2	7J4K000	Primary percutaneous decompression using coblation to cervical intervertebral disc
intervert_disc	Read2	7J4L000	Revisional percutaneous decompression using coblation to cervical intervertebral disc
intervert_disc	Read2	7J4M000	Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
intervert_disc	Read2	F163000	Myelopathy due to intervertebral disc disease
intervert_disc	Read2	F337100	Nerve root and plexus compressions in intervertebral disc disorders
intervert_disc	Read2	N12..00	Intervertebral disc disorders
intervert_disc	Read2	N120.00	Cervical disc displacement without myelopathy
intervert_disc	Read2	N120.11	Prolapsed cervical intervertebral disc without myelopathy
intervert_disc	Read2	N120.12	Cervical disc displacement
intervert_disc	Read2	N121.00	Thoracic disc displacement without myelopathy
intervert_disc	Read2	N121.11	Prolapsed thoracic intervertebral disc without myelopathy
intervert_disc	Read2	N122.00	Lumbar disc displacement
intervert_disc	Read2	N122.11	Prolapsed lumbar intervertebral disc
intervert_disc	Read2	N123.00	Disc displacement, site unspecified, without myelopathy
intervert_disc	Read2	N123.11	Intervertebral disc prolapse NOS
intervert_disc	Read2	N123.12	Prolapsed intervertebral disc without myelopathy
intervert_disc	Read2	N124.00	Schmorl's nodes
intervert_disc	Read2	N124000	Schmorl's nodes of unspecified region
intervert_disc	Read2	N124100	Schmorl's nodes of the thoracic region
intervert_disc	Read2	N124200	Schmorl's nodes of the lumbar region
intervert_disc	Read2	N124z00	Schmorl's nodes, region NOS
intervert_disc	Read2	N125.00	Cervical disc degeneration
intervert_disc	Read2	N126.00	Thoracic disc degeneration
intervert_disc	Read2	N127.00	Lumbar disc degeneration
intervert_disc	Read2	N128.00	Degenerative disc disease NOS
intervert_disc	Read2	N129.00	Disc disorder with myelopathy
intervert_disc	Read2	N129.11	Prolapsed intervertebral disc with associated myelopathy
intervert_disc	Read2	N129000	Unspecified disc disorder with myelopathy
intervert_disc	Read2	N129100	Cervical disc disorder with myelopathy
intervert_disc	Read2	N129200	Thoracic disc disorder with myelopathy
intervert_disc	Read2	N129300	Lumbar disc disorder with myelopathy
intervert_disc	Read2	N129z00	Disc disorder with myelopathy NOS
intervert_disc	Read2	N12B.00	Disc prolapse with myelopathy
intervert_disc	Read2	N12B000	Cervical disc prolapse with myelopathy
intervert_disc	Read2	N12B100	Thoracic disc prolapse with myelopathy
intervert_disc	Read2	N12B200	Lumbar disc prolapse with myelopathy
intervert_disc	Read2	N12C.00	Disc prolapse with radiculopathy
intervert_disc	Read2	N12C000	Cervical disc prolapse with radiculopathy
intervert_disc	Read2	N12C100	Thoracic disc prolapse with radiculopathy
intervert_disc	Read2	N12C200	Lumbar disc prolapse with radiculopathy
intervert_disc	Read2	N12C300	Lumbar disc prolapse with cauda equina compression
intervert_disc	Read2	N12C400	Prolapsed lumbar intervertebral disc with sciatica
intervert_disc	Read2	N12z.00	Other and unspecified disc disorders
intervert_disc	Read2	N12z000	Other disc disorders of unspecified site
intervert_disc	Read2	N12z100	Other cervical disc disorders
intervert_disc	Read2	N12z200	Other thoracic disc disorders
intervert_disc	Read2	N12z300	Other lumbar disc disorders
intervert_disc	Read2	N12z500	Annular tear of cervical disc
intervert_disc	Read2	N12z600	Resorption of cervical disc
intervert_disc	Read2	N12z700	Calcification of cervical disc
intervert_disc	Read2	N12z900	Annular tear of thoracic disc
intervert_disc	Read2	N12zB00	Calcification of thoracic disc
intervert_disc	Read2	N12zD00	Annular tear of lumbar disc
intervert_disc	Read2	N12zE00	Resorption of lumbar disc
intervert_disc	Read2	N12zF00	Calcification of lumbar disc
intervert_disc	Read2	N12zH00	Cervical disc disorder with radiculopathy
intervert_disc	Read2	N12zz00	Disc disorders NOS
intervert_disc	Read2	Nyu7000	[X]Other cervical disc displacement
intervert_disc	Read2	Nyu7100	[X]Other cervical disc degeneration
intervert_disc	Read2	Nyu7200	[X]Other cervical disc disorders
intervert_disc	Read2	Nyu7300	[X]Lumbar and other intervertebral disc disorders with myelopathy
intervert_disc	Read2	Nyu7400	[X]Lumbar and other intervertebral disc disorders with radiculopathy
