condition	vocab_id	code	description
isch_stroke	ICD10	I63.0	Cerebral infarction due to thrombosis of precerebral arteries
isch_stroke	ICD10	I63.1	Cerebral infarction due to embolism of precerebral arteries
isch_stroke	ICD10	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
isch_stroke	ICD10	I63.3	Cerebral infarction due to thrombosis of cerebral arteries
isch_stroke	ICD10	I63.4	Cerebral infarction due to embolism of cerebral arteries
isch_stroke	ICD10	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
isch_stroke	ICD10	I63.8	Other cerebral infarction
isch_stroke	ICD10	I63.9	Cerebral infarction, unspecified
isch_stroke	ICD10	I69.3	Sequelae of cerebral infarction
isch_stroke	Read2	G63..11	Infarction - precerebral
isch_stroke	Read2	G63y000	Cerebral infarct due to thrombosis of precerebral arteries
isch_stroke	Read2	G63y100	Cerebral infarction due to embolism of precerebral arteries
isch_stroke	Read2	G64..00	Cerebral arterial occlusion
isch_stroke	Read2	G64..11	CVA - cerebrovascular accident due to cerebral artery occlusion
isch_stroke	Read2	G64..12	Infarction - cerebral
isch_stroke	Read2	G64..13	Stroke due to cerebral arterial occlusion
isch_stroke	Read2	G640.00	Cerebral thrombosis
isch_stroke	Read2	G640000	Cerebral infarction due to thrombosis of cerebral arteries
isch_stroke	Read2	G641.00	Cerebral embolism
isch_stroke	Read2	G641.11	Cerebral embolus
isch_stroke	Read2	G641000	Cerebral infarction due to embolism of cerebral arteries
isch_stroke	Read2	G64z.00	Cerebral infarction NOS
isch_stroke	Read2	G64z.11	Brainstem infarction NOS
isch_stroke	Read2	G64z.12	Cerebellar infarction
isch_stroke	Read2	G64z000	Brainstem infarction
isch_stroke	Read2	G64z100	Wallenberg syndrome
isch_stroke	Read2	G64z111	Lateral medullary syndrome
isch_stroke	Read2	G64z200	Left sided cerebral infarction
isch_stroke	Read2	G64z300	Right sided cerebral infarction
isch_stroke	Read2	G64z400	Infarction of basal ganglia
isch_stroke	Read2	G683.00	Sequelae of cerebral infarction
isch_stroke	Read2	G6W..00	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
isch_stroke	Read2	G6X..00	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
