condition	vocab_id	code	description
isch_stroke_tia	ICD10	G45	Transient cerebral ischaemic attacks and related syndromes
isch_stroke_tia	ICD10	G46.0	Middle cerebral artery syndrome
isch_stroke_tia	ICD10	G46.1	Anterior cerebral artery syndrome
isch_stroke_tia	ICD10	G46.2	Posterior cerebral artery syndrome
isch_stroke_tia	ICD10	I63.0	Cerebral infarction due to thrombosis of precerebral arteries
isch_stroke_tia	ICD10	I63.1	Cerebral infarction due to embolism of precerebral arteries
isch_stroke_tia	ICD10	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
isch_stroke_tia	ICD10	I63.3	Cerebral infarction due to thrombosis of cerebral arteries
isch_stroke_tia	ICD10	I63.4	Cerebral infarction due to embolism of cerebral arteries
isch_stroke_tia	ICD10	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
isch_stroke_tia	ICD10	I63.8	Other cerebral infarction
isch_stroke_tia	ICD10	I63.9	Cerebral infarction, unspecified
isch_stroke_tia	ICD10	I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
isch_stroke_tia	ICD10	I66	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
isch_stroke_tia	ICD10	I69.3	Sequelae of cerebral infarction
isch_stroke_tia	Read2	14AB.00	H/O: TIA
isch_stroke_tia	Read2	14AB000	H/O amaurosis fugax
isch_stroke_tia	Read2	1B1S.00	Transient global amnesia
isch_stroke_tia	Read2	8CRB.00	Transient ischaemic attack clinical management plan
isch_stroke_tia	Read2	F423600	Amaurosis fugax
isch_stroke_tia	Read2	Fyu5500	[X]Other transient cerebral ischaemic attacks and related syndromes
isch_stroke_tia	Read2	G63..11	Infarction - precerebral
isch_stroke_tia	Read2	G63y000	Cerebral infarct due to thrombosis of precerebral arteries
isch_stroke_tia	Read2	G63y100	Cerebral infarction due to embolism of precerebral arteries
isch_stroke_tia	Read2	G64..00	Cerebral arterial occlusion
isch_stroke_tia	Read2	G64..11	CVA - cerebrovascular accident due to cerebral artery occlusion
isch_stroke_tia	Read2	G64..12	Infarction - cerebral
isch_stroke_tia	Read2	G64..13	Stroke due to cerebral arterial occlusion
isch_stroke_tia	Read2	G640.00	Cerebral thrombosis
isch_stroke_tia	Read2	G640000	Cerebral infarction due to thrombosis of cerebral arteries
isch_stroke_tia	Read2	G641.00	Cerebral embolism
isch_stroke_tia	Read2	G641.11	Cerebral embolus
isch_stroke_tia	Read2	G641000	Cerebral infarction due to embolism of cerebral arteries
isch_stroke_tia	Read2	G64z.00	Cerebral infarction NOS
isch_stroke_tia	Read2	G64z.11	Brainstem infarction NOS
isch_stroke_tia	Read2	G64z.12	Cerebellar infarction
isch_stroke_tia	Read2	G64z000	Brainstem infarction
isch_stroke_tia	Read2	G64z100	Wallenberg syndrome
isch_stroke_tia	Read2	G64z111	Lateral medullary syndrome
isch_stroke_tia	Read2	G64z200	Left sided cerebral infarction
isch_stroke_tia	Read2	G64z300	Right sided cerebral infarction
isch_stroke_tia	Read2	G64z400	Infarction of basal ganglia
isch_stroke_tia	Read2	G65..00	Transient cerebral ischaemia
isch_stroke_tia	Read2	G65..12	Transient ischaemic attack
isch_stroke_tia	Read2	G65..13	Vertebro-basilar insufficiency
isch_stroke_tia	Read2	G650.11	Insufficiency - basilar artery
isch_stroke_tia	Read2	G655.00	Transient global amnesia
isch_stroke_tia	Read2	G656.00	Vertebrobasilar insufficiency
isch_stroke_tia	Read2	G657.00	Carotid territory transient ischaemic attack
isch_stroke_tia	Read2	G65y.00	Other transient cerebral ischaemia
isch_stroke_tia	Read2	G65z.00	Transient cerebral ischaemia NOS
isch_stroke_tia	Read2	G65z100	Intermittent cerebral ischaemia
