condition	vocab_id	code	description
migraine	ICD10	G43	Migraine
migraine	Read2	1474.00	H/O: migraine
migraine	Read2	1474000	H/O migraine with aura
migraine	Read2	8B6N.00	Migraine prophylaxis
migraine	Read2	F26..00	Migraine
migraine	Read2	F260.00	Classical migraine
migraine	Read2	F260.11	Migraine with aura
migraine	Read2	F261.00	Common migraine
migraine	Read2	F261.11	Migraine without aura
migraine	Read2	F261000	Atypical migraine
migraine	Read2	F261z00	Common migraine NOS
migraine	Read2	F262.00	Migraine variants
migraine	Read2	F262200	Abdominal migraine
migraine	Read2	F262300	Basilar migraine
migraine	Read2	F262400	Ophthalmic migraine
migraine	Read2	F262800	Migraine induced by oestrogen contraceptive
migraine	Read2	F262z00	Migraine variant NOS
migraine	Read2	F26y.00	Other forms of migraine
migraine	Read2	F26y000	Hemiplegic migraine
migraine	Read2	F26y100	Ophthalmoplegic migraine
migraine	Read2	F26y111	Moebius' ophthalmoplegic migraine
migraine	Read2	F26y200	Status migrainosus
migraine	Read2	F26y300	Complicated migraine
migraine	Read2	F26yz00	Other forms of migraine NOS
migraine	Read2	F26z.00	Migraine NOS
migraine	Read2	Fyu5300	[X]Other migraine
migraine	Read2	K584.11	Migraine - menstrual
migraine	CTV3	1474.Ya04R	H/O: migraine
migraine	CTV3	XaXkvYauUp	H/O migraine with aura
migraine	CTV3	XaJLOYamL6	Migraine prophylaxis
migraine	CTV3	F26..Y00Q4	Migraine
migraine	CTV3	F260.Y00QF	Classical migraine
migraine	CTV3	X007JY00QH	Migraine with typical aura
migraine	CTV3	F260.Y00QE	Migraine with aura
migraine	CTV3	F261.Y00QC	Common migraine
migraine	CTV3	F261.Y00QB	Migraine without aura
migraine	CTV3	F2610Y00QA	Atypical migraine
migraine	CTV3	F261zY00QD	Common migraine NOS
migraine	CTV3	F262.Y00Q8	Migraine variants
migraine	CTV3	F2622Y00QV	Abdominal migraine
migraine	CTV3	F2623Y00QM	Basilar migraine
migraine	CTV3	F2624Y00QG	Ophthalmic migraine
migraine	CTV3	XaXkrYauUn	Migraine induced by oestrogen contraceptive
migraine	CTV3	F262zY00Q9	Migraine variant NOS
migraine	CTV3	F26y.Y00Q6	Other forms of migraine
migraine	CTV3	F26y0Y00QJ	Hemiplegic migraine
migraine	CTV3	F26y1Y00QQ	Ophthalmoplegic migraine
migraine	CTV3	X007RY00QW	Status migrainosus
migraine	CTV3	F26y3YMAhW	Complicated migraine
migraine	CTV3	F26yzY00Q7	Other forms of migraine NOS
migraine	CTV3	F26z.Y00Q5	Migraine NOS
migraine	CTV3	Fyu53YMADT	[X]Other migraine
migraine	CTV3	Xa07HYa15V	Migraine - menstrual
migraine	medcodeid	7595017	Migraine with aura
migraine	medcodeid	82623012	Ophthalmoplegic migraine
migraine	medcodeid	93294013	Migraine without aura
migraine	medcodeid	98501012	Hemiplegic migraine
migraine	medcodeid	158460019	Ophthalmic migraine
migraine	medcodeid	251645017	H/O: migraine
migraine	medcodeid	2159945013	Migraine prophylaxis
migraine	medcodeid	1746951000000114	Migraine induced by oestrogen contraceptive
migraine	medcodeid	7596016	Classical migraine
migraine	medcodeid	297355013	Other forms of migraine NOS
migraine	medcodeid	299338017	[X]Other migraine
migraine	medcodeid	221281000000113	Migraine - menstrual
migraine	medcodeid	1747081000000119	H/O migraine with aura
migraine	medcodeid	297351016	Migraine variant NOS
