condition	vocab_id	code	description
obesity	ICD10	E66	Obesity
obesity	ICD10	E66.0	Obesity due to excess calories
obesity	ICD10	E66.1	Drug-induced obesity
obesity	ICD10	E66.2	Extreme obesity with alveolar hypoventilation
obesity	ICD10	E66.8	Other obesity
obesity	ICD10	E66.9	Obesity, unspecified
obesity	Read2	1444.00	H/O: obesity
obesity	Read2	212Q.00	Obesity resolved
obesity	Read2	222A.00	O/E - obese
obesity	Read2	22A5.11	O/E - obese
obesity	Read2	22K5.00	Body mass index 30+ - obesity
obesity	Read2	22K7.00	Body mass index 40+ - severely obese
obesity	Read2	66C..00	Obesity monitoring
obesity	Read2	66C1.00	Initial obesity assessment
obesity	Read2	66C2.00	Follow-up obesity assessment
obesity	Read2	66C4.00	Has seen dietician - obesity
obesity	Read2	66C5.00	Treatment of obesity changed
obesity	Read2	66C6.00	Treatment of obesity started
obesity	Read2	66CE.00	Reason for obesity therapy - occupational
obesity	Read2	66CZ.00	Obesity monitoring NOS
obesity	Read2	7611400	Sleeve gastrectomy and duodenal switch
obesity	Read2	7611500	Sleeve gastrectomy NEC
obesity	Read2	7611600	Laparoscopic sleeve gastrectomy
obesity	Read2	7613100	Partitioning of stomach
obesity	Read2	7613111	Mason vertical banded gastroplasty
obesity	Read2	7613200	Laparoscopic adjustable gastric banding
obesity	Read2	7613300	Partitioning of stomach using band
obesity	Read2	7613400	Partitioning of stomach using staples
obesity	Read2	7613500	Partitioning of stomach NEC
obesity	Read2	7613600	Maintenance of gastric band
obesity	Read2	7614100	Bypass of stomach by anastomosis of stomach to duodenum
obesity	Read2	7615000	Bypass of stomach by anastomosis of stomach to transposed jejunum
obesity	Read2	7616000	Bypass of stomach by anastomosis of stomach to jejunum NEC
obesity	Read2	7616013	Mason high gastric bypass
obesity	Read2	7616015	Printer high gastric bypass
obesity	Read2	7616600	Laparoscopic gastric bypass
obesity	Read2	761A500	Removal of gastric band
obesity	Read2	7633.00	Bypass of jejunum
obesity	Read2	7633000	Bypass of jejunum by anastomosis of jejunum to jejunum
obesity	Read2	7633100	Bypass of jejunum by anastomosis of jejunum to ileum
obesity	Read2	7633200	Bypass of jejunum by anastomosis of jejunum to colon
obesity	Read2	7633y00	Other specified bypass of jejunum
obesity	Read2	7633z00	Bypass of jejunum NOS
obesity	Read2	7642500	Duodenal switch
obesity	Read2	9OK..00	Obesity monitoring admin.
obesity	Read2	9OK..11	Obesity clinic administration
obesity	Read2	9OK1.00	Attends obesity monitoring
obesity	Read2	9OK2.00	Refuses obesity monitoring
obesity	Read2	9OK3.00	Obesity monitoring default
obesity	Read2	9OK4.00	Obesity monitoring 1st letter
obesity	Read2	9OK5.00	Obesity monitoring 2nd letter
obesity	Read2	9OK6.00	Obesity monitoring 3rd letter
obesity	Read2	9OK7.00	Obesity monitoring verbal inv.
obesity	Read2	9OK8.00	Obesity monitor phone invite
obesity	Read2	9OKA.00	Obesity monitoring check done
obesity	Read2	9OKZ.00	Obesity monitoring admin.NOS
obesity	Read2	C38..00	Obesity and other hyperalimentation
obesity	Read2	C380.00	Obesity
obesity	Read2	C380000	Obesity due to excess calories
obesity	Read2	C380100	Drug-induced obesity
obesity	Read2	C380200	Extreme obesity with alveolar hypoventilation
obesity	Read2	C380300	Morbid obesity
obesity	Read2	C380400	Central obesity
obesity	Read2	C380500	Generalised obesity
obesity	Read2	C380600	Adult-onset obesity
obesity	Read2	C380700	Lifelong obesity
obesity	Read2	C38y.11	Pickwickian syndrome
obesity	Read2	C38y000	Pickwickian syndrome
obesity	Read2	C38y011	Obesity hypoventilation syndrome
obesity	Read2	C38z.00	Obesity and other hyperalimentation NOS
obesity	Read2	C38z000	Simple obesity NOS
obesity	Read2	Cyu7.00	[X]Obesity and other hyperalimentation
obesity	Read2	Cyu7000	[X]Other obesity
obesity	Read2	ZC2CM00	Dietary advice for obesity
obesity	Read2	ZV45P00	[V]Presence of gastric bypass
obesity	Read2	ZV65319	[V]Dietary counselling in obesity
obesity	CTV3	1444.Ya040	H/O: obesity
obesity	CTV3	XaKkoYao0Y	Obesity resolved
obesity	CTV3	222A.YM00g	O/E - obese
obesity	CTV3	22K5.Y7DRi	Body mass index 30+ - obesity
obesity	CTV3	XaJJHYamHz	Body mass index 40+ - severely obese
obesity	CTV3	XE1T6Y79YM	Obesity monitoring
obesity	CTV3	66C1.Y79YO	Initial obesity assessment
obesity	CTV3	66C2.Y79YP	Follow-up obesity assessment
obesity	CTV3	66C4.Y7A1K	Has seen dietician - obesity
obesity	CTV3	66C5.Y79YQ	Treatment of obesity changed
obesity	CTV3	66C6.Y79YR	Treatment of obesity started
obesity	CTV3	66CE.YaaCt	Reason for obesity therapy - occupational
obesity	CTV3	66CZ.Y79YV	Obesity monitoring NOS
obesity	CTV3	XaLd7YaoiN	Sleeve gastrectomy and duodenal switch
