condition	vocab_id	code	description
osteoporosis	ICD10	M80	Osteoporosis with pathological fracture
osteoporosis	ICD10	M81	Osteoporosis without pathological fracture
osteoporosis	ICD10	M82	Osteoporosis in diseases classified elsewhere
osteoporosis	Read2	14GB.00	History of osteoporosis
osteoporosis	Read2	58EG.00	Hip DXA scan result osteoporotic
osteoporosis	Read2	58EM.00	Lumbar DXA scan result osteoporotic
osteoporosis	Read2	58EV.00	Femoral neck DEXA scan result osteoporotic
osteoporosis	Read2	66a..00	Osteoporosis monitoring
osteoporosis	Read2	9kj..00	Osteoporosis - enhanced services administration
osteoporosis	Read2	9kj0.00	Bone sparing drug treatment offered for osteoporosis - enhanced services administration
osteoporosis	Read2	9Od..00	Osteoporosis monitoring administration
osteoporosis	Read2	9Od0.00	Attends osteoporosis monitoring
osteoporosis	Read2	9Od2.00	Osteoporosis monitoring default
osteoporosis	Read2	9Od3.00	Osteoporosis monitoring first letter
osteoporosis	Read2	9Od4.00	Osteoporosis monitoring second letter
osteoporosis	Read2	9Od5.00	Osteoporosis monitoring third letter
osteoporosis	Read2	9Od6.00	Osteoporosis monitoring verbal invitation
osteoporosis	Read2	9Od7.00	Osteoporosis monitoring telephone invitation
osteoporosis	Read2	9Od8.00	Osteoporosis monitoring deleted
osteoporosis	Read2	9Od9.00	Osteoporosis monitoring check done
osteoporosis	Read2	N330.00	Osteoporosis
osteoporosis	Read2	N330000	Osteoporosis, unspecified
osteoporosis	Read2	N330100	Senile osteoporosis
osteoporosis	Read2	N330200	Postmenopausal osteoporosis
osteoporosis	Read2	N330300	Idiopathic osteoporosis
osteoporosis	Read2	N330400	Dissuse osteoporosis
osteoporosis	Read2	N330500	Drug-induced osteoporosis
osteoporosis	Read2	N330600	Postoophorectomy osteoporosis
osteoporosis	Read2	N330700	Postsurgical malabsorption osteoporosis
osteoporosis	Read2	N330A00	Osteoporosis in endocrine disorders
osteoporosis	Read2	N330B00	Vertebral osteoporosis
osteoporosis	Read2	N330C00	Osteoporosis localized to spine
osteoporosis	Read2	N330D00	Osteoporosis due to corticosteroids
osteoporosis	Read2	N330z00	Osteoporosis NOS
osteoporosis	Read2	N331200	Postoophorectomy osteoporosis with pathological fracture
osteoporosis	Read2	N331300	Osteoporosis of disuse with pathological fracture
osteoporosis	Read2	N331400	Postsurgical malabsorption osteoporosis with pathological fracture
osteoporosis	Read2	N331500	Drug-induced osteoporosis with pathological fracture
osteoporosis	Read2	N331600	Idiopathic osteoporosis with pathological fracture
osteoporosis	Read2	N331800	Osteoporosis + pathological fracture lumbar vertebrae
osteoporosis	Read2	N331900	Osteoporosis + pathological fracture thoracic vertebrae
osteoporosis	Read2	N331A00	Osteoporosis + pathological fracture cervical vertebrae
osteoporosis	Read2	N331B00	Postmenopausal osteoporosis with pathological fracture
osteoporosis	Read2	N331H00	Collapse of cervical vertebra due to osteoporosis
osteoporosis	Read2	N331J00	Collapse of lumbar vertebra due to osteoporosis
osteoporosis	Read2	N331K00	Collapse of thoracic vertebra due to osteoporosis
osteoporosis	Read2	N331L00	Collapse of vertebra due to osteoporosis NOS
osteoporosis	Read2	N331M00	Fragility fracture due to unspecified osteoporosis
osteoporosis	Read2	N331M11	Minimal trauma fracture due to unspecified osteoporosis
osteoporosis	Read2	N331N00	Fragility fracture
osteoporosis	Read2	N331N11	Minimal trauma fracture
osteoporosis	Read2	N374600	Osteoporotic kyphosis
osteoporosis	Read2	NyuB000	[X]Other osteoporosis with pathological fracture
osteoporosis	Read2	NyuB100	[X]Other osteoporosis
osteoporosis	Read2	NyuB200	[X]Osteoporosis in other disorders classified elsewhere
osteoporosis	Read2	NyuB800	[X]Unspecified osteoporosis with pathological fracture
osteoporosis	CTV3	XaQgTYatET	History of osteoporosis
osteoporosis	CTV3	XaITWYakvR	Hip DXA scan result osteoporotic
osteoporosis	CTV3	XaITbYakvW	Lumbar DXA scan result osteoporotic
osteoporosis	CTV3	XaPE2YarqN	Femoral neck DEXA scan result osteoporotic
osteoporosis	CTV3	XaISdYakuY	Osteoporosis monitoring
osteoporosis	CTV3	XaQR9Yat1i	NA
osteoporosis	CTV3	XaQR9YatUv	Osteoporosis enhanced services administration
osteoporosis	CTV3	XaQRTYat22	NA
osteoporosis	CTV3	XaQRTYatUw	Bone sparing drug treatment offered for osteoporosis
osteoporosis	CTV3	XaISPYakuK	Osteoporosis monitoring administration
osteoporosis	CTV3	XaISQYakuL	Attends osteoporosis monitoring
osteoporosis	CTV3	XaISSYakuN	Osteoporosis monitoring default
osteoporosis	CTV3	XaISTYakuO	Osteoporosis monitoring first letter
osteoporosis	CTV3	XaISUYakuP	Osteoporosis monitoring second letter
osteoporosis	CTV3	XaISVYakuQ	Osteoporosis monitoring third letter
osteoporosis	CTV3	XaISWYakuR	Osteoporosis monitoring verbal invitation
osteoporosis	CTV3	XaISXYakuS	Osteoporosis monitoring telephone invitation
osteoporosis	CTV3	XaISYYakuT	Osteoporosis monitoring deleted
osteoporosis	CTV3	XaISZYakuU	Osteoporosis monitoring check done
osteoporosis	CTV3	N330.Y70hE	Osteoporosis
osteoporosis	CTV3	N3300Y70hG	Osteoporosis, unspecified
osteoporosis	CTV3	N3301Y70hJ	Senile osteoporosis
osteoporosis	CTV3	N3302YM0iL	Postmenopausal osteoporosis
osteoporosis	CTV3	N3303Y70hM	Idiopathic generalised osteoporosis
osteoporosis	CTV3	N3304Y70hZ	Disuse osteoporosis
osteoporosis	CTV3	N3305YMKCj	Drug-induced osteoporosis
osteoporosis	CTV3	N3306YMAqq	Postoophorectomy osteoporosis
osteoporosis	CTV3	N3307YadY1	Post-surgical malabsorption osteoporosis
osteoporosis	CTV3	N330AYMAqp	Osteoporosis in endocrine disorders
osteoporosis	CTV3	N330BYaY8i	Vertebral osteoporosis
osteoporosis	CTV3	XaC12YadaC	Osteoporosis localised to spine
osteoporosis	CTV3	XaIP4Yakpp	Osteoporosis due to corticosteroids
osteoporosis	CTV3	N330zY70hF	Osteoporosis NOS
osteoporosis	CTV3	N3312YMAqr	Postoophorectomy osteoporosis with pathological fracture
osteoporosis	CTV3	N3313YMAr4	Osteoporosis of disuse with pathological fracture
osteoporosis	CTV3	N3314YadY2	Post-surgical malabsorption osteoporosis with pathological fracture
osteoporosis	CTV3	N3315YMAr6	Drug-induced osteoporosis with pathological fracture
osteoporosis	CTV3	N3316YMAr7	Idiopathic osteoporosis with pathological fracture
osteoporosis	CTV3	N3318Yae6M	Osteoporosis with pathological fracture of lumbar vertebrae
osteoporosis	CTV3	N3319Yae6N	Osteoporosis with pathological fracture of thoracic vertebrae
osteoporosis	CTV3	N331AYa3y3	Osteoporosis with pathological fracture of cervical vertebrae
osteoporosis	CTV3	N331BYaYn4	Postmenopausal osteoporosis with pathological fracture
osteoporosis	CTV3	XaD2sYad4c	Collapse of cervical vertebra due to osteoporosis
osteoporosis	CTV3	XaD4IYad6r	Collapse of lumbar vertebra due to osteoporosis
osteoporosis	CTV3	XaD4JYad6s	Collapse of thoracic vertebra due to osteoporosis
osteoporosis	CTV3	XaD4KYad6u	Collapse of vertebra due to osteoporosis NOS
osteoporosis	CTV3	XaIIpYakhL	Fragility fracture due to unspecified osteoporosis
osteoporosis	CTV3	XaIIpYaqWZ	Minimal trauma fracture due to unspecified osteoporosis
osteoporosis	CTV3	XaNSPYaqTz	Fragility fracture
osteoporosis	CTV3	XaNSPYaqWa	Minimal trauma fracture
osteoporosis	CTV3	N3746Y70rR	Osteoporotic kyphosis
osteoporosis	CTV3	NyuB0YMAOo	[X]Other osteoporosis with pathological fracture
osteoporosis	CTV3	NyuB1YMAOp	[X]Other osteoporosis
osteoporosis	CTV3	NyuB2YMAOq	[X]Osteoporosis in other disorders classified elsewhere
osteoporosis	CTV3	NyuB8YMAOw	[X]Unspecified osteoporosis with pathological fracture
osteoporosis	medcodeid	24883018	Drug-induced osteoporosis
osteoporosis	medcodeid	312133010	Postoophorectomy osteoporosis
osteoporosis	medcodeid	312156018	Postoophorectomy osteoporosis with pathological fracture
osteoporosis	medcodeid	312165013	Postmenopausal osteoporosis with pathological fracture
osteoporosis	medcodeid	455535019	Collapse of thoracic vertebra due to osteoporosis
osteoporosis	medcodeid	1485032011	Osteoporosis monitoring administration
osteoporosis	medcodeid	1485033018	Attends osteoporosis monitoring
osteoporosis	medcodeid	1485035013	Osteoporosis monitoring default
osteoporosis	medcodeid	1485037017	Osteoporosis monitoring second letter
osteoporosis	medcodeid	1485038010	Osteoporosis monitoring third letter
osteoporosis	medcodeid	1485039019	Osteoporosis monitoring verbal invitation
