condition	vocab_id	code	description
periph_neuro	ICD10	E85.1	Neuropathic heredofamilial amyloidosis
periph_neuro	ICD10	G56.1	Other lesions of median nerve
periph_neuro	ICD10	G56.2	Lesion of ulnar nerve
periph_neuro	ICD10	G56.3	Lesion of radial nerve
periph_neuro	ICD10	G56.4	Causalgia
periph_neuro	ICD10	G56.8	Other mononeuropathies of upper limb
periph_neuro	ICD10	G56.9	Mononeuropathy of upper limb, unspecified
periph_neuro	ICD10	G57	Mononeuropathies of lower limb
periph_neuro	ICD10	G58	Other mononeuropathies
periph_neuro	ICD10	G59	Mononeuropathy in diseases classified elsewhere
periph_neuro	ICD10	G60	Hereditary and idiopathic neuropathy
periph_neuro	ICD10	G61	Inflammatory polyneuropathy
periph_neuro	ICD10	G62	Other polyneuropathies
periph_neuro	ICD10	G63	Polyneuropathy in diseases classified elsewhere
periph_neuro	ICD10	G64	Other disorders of peripheral nervous system
periph_neuro	ICD10	M14.6	Neuropathic arthropathy
periph_neuro	ICD10	M49.4	Neuropathic spondylopathy
periph_neuro	Read2	A531300	Postherpetic polyneuropathy
periph_neuro	Read2	A72x100	Mumps polyneuropathy
periph_neuro	Read2	C106.12	Diabetes mellitus with neuropathy
periph_neuro	Read2	C106.13	Diabetes mellitus with polyneuropathy
periph_neuro	Read2	C108B00	Insulin dependent diabetes mellitus with mononeuropathy
periph_neuro	Read2	C108B11	Type I diabetes mellitus with mononeuropathy
periph_neuro	Read2	C108C00	Insulin dependent diabetes mellitus with polyneuropathy
periph_neuro	Read2	C108J00	Insulin dependent diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C108J11	Type I diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C108J12	Type 1 diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C109A00	Non-insulin dependent diabetes mellitus with mononeuropathy
periph_neuro	Read2	C109A11	Type II diabetes mellitus with mononeuropathy
periph_neuro	Read2	C109B00	Non-insulin dependent diabetes mellitus with polyneuropathy
periph_neuro	Read2	C109B11	Type II diabetes mellitus with polyneuropathy
periph_neuro	Read2	C109B12	Type 2 diabetes mellitus with polyneuropathy
periph_neuro	Read2	C109H00	Non-insulin dependent diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C109H11	Type II diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C109H12	Type 2 diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C10EB00	Type 1 diabetes mellitus with mononeuropathy
periph_neuro	Read2	C10EC00	Type 1 diabetes mellitus with polyneuropathy
periph_neuro	Read2	C10EC11	Type I diabetes mellitus with polyneuropathy
periph_neuro	Read2	C10EC12	Insulin dependent diabetes mellitus with polyneuropathy
periph_neuro	Read2	C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C10FA00	Type 2 diabetes mellitus with mononeuropathy
periph_neuro	Read2	C10FA11	Type II diabetes mellitus with mononeuropathy
periph_neuro	Read2	C10FB00	Type 2 diabetes mellitus with polyneuropathy
periph_neuro	Read2	C10FB11	Type II diabetes mellitus with polyneuropathy
periph_neuro	Read2	C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C10FH11	Type II diabetes mellitus with neuropathic arthropathy
periph_neuro	Read2	C34y400	Gouty neuritis
periph_neuro	Read2	C373200	Familial neuropathic amyloid
periph_neuro	Read2	C373K13	Familial amyloid polyneuropathy type III
periph_neuro	Read2	E011100	Korsakov's alcoholic psychosis with peripheral neuritis
periph_neuro	Read2	F34..00	Mononeuritis of upper limb and mononeuritis multiplex
periph_neuro	Read2	F341.00	Other median nerve lesions
periph_neuro	Read2	F341000	Median nerve neuritis
periph_neuro	Read2	F341100	Median nerve compression in forearm
periph_neuro	Read2	F341z00	Median nerve lesions NOS
periph_neuro	Read2	F342.00	Ulnar nerve lesions
periph_neuro	Read2	F342.11	Neuritis ulnar nerve
periph_neuro	Read2	F342000	Cubital tunnel syndrome
periph_neuro	Read2	F342100	Tardy ulnar nerve palsy
periph_neuro	Read2	F342200	Canal of Guyon compression
periph_neuro	Read2	F342300	Ulnar nerve entrapment
periph_neuro	Read2	F342400	Ulnar neuropathy
periph_neuro	Read2	F342z00	Ulnar nerve lesion NOS
periph_neuro	Read2	F343.00	Radial nerve lesions
periph_neuro	Read2	F343000	Acute radial nerve palsy
periph_neuro	Read2	F343100	Sensory branch of radial nerve lesion
periph_neuro	Read2	F343200	Posterior interosseous nerve lesion
periph_neuro	Read2	F343z00	Radial nerve lesion NOS
periph_neuro	Read2	F344.00	Causalgia
periph_neuro	Read2	F345.00	Mononeuritis multiplex
periph_neuro	Read2	F345000	Diabetic mononeuritis multiplex
periph_neuro	Read2	F346.00	Median nerve entrapment
periph_neuro	Read2	F34y.00	Other upper limb mononeuritis
periph_neuro	Read2	F34z.00	Mononeuritis upper limb NOS
periph_neuro	Read2	F35..00	Mononeuritis lower limb
periph_neuro	Read2	F350.00	Sciatic nerve lesion
periph_neuro	Read2	F351.00	Meralgia paraesthetica
periph_neuro	Read2	F352.00	Femoral nerve lesions
periph_neuro	Read2	F353.00	Common peroneal nerve lesion
periph_neuro	Read2	F353.11	Lateral popliteal nerve lesion
periph_neuro	Read2	F354.00	Tibial nerve lesion
periph_neuro	Read2	F354.11	Medial popliteal nerve lesion
periph_neuro	Read2	F355.00	Tarsal tunnel syndrome
periph_neuro	Read2	F356.00	Plantar nerve lesion
periph_neuro	Read2	F356000	Morton's metatarsalgia
periph_neuro	Read2	F356100	Morton's neuralgia
periph_neuro	Read2	F356z00	Plantar nerve lesion NOS
periph_neuro	Read2	F357.00	Superficial peroneal nerve lesion
periph_neuro	Read2	F358.00	Deep peroneal nerve lesion
periph_neuro	Read2	F35x.00	Other mononeuritis lower limb
periph_neuro	Read2	F35y.00	Unspecified mononeuritis lower limb
periph_neuro	Read2	F35z.00	Mononeuritis of unspecified site NOS
periph_neuro	Read2	F35z.11	Peripheral neuropathy - hereditary or idiopathic
periph_neuro	Read2	F35z000	Diabetic mononeuritis NOS
periph_neuro	Read2	F36..00	Hereditary and idiopathic peripheral neuropathy
periph_neuro	Read2	F360.00	Hereditary peripheral neuropathy
periph_neuro	Read2	F360000	Dejerine-Sottas disease
periph_neuro	Read2	F360z00	Hereditary peripheral neuropathy NOS
periph_neuro	Read2	F361.00	Peroneal muscular atrophy
periph_neuro	Read2	F361000	Charcot-Marie-Tooth disease
periph_neuro	Read2	F361011	Charcot's atrophy
periph_neuro	Read2	F361012	Charcot-Marie-Tooth syndrome
periph_neuro	Read2	F361z00	Peroneal muscular atrophy NOS
periph_neuro	Read2	F362.00	Hereditary sensory neuropathy
periph_neuro	Read2	F363.00	Refsum's disease
periph_neuro	Read2	F364.00	Idiopathic progressive polyneuropathy
periph_neuro	Read2	F365.00	Neuropathy in association with hereditary ataxia
periph_neuro	Read2	F366.00	Polyneuropathy
periph_neuro	Read2	F367.00	Peripheral neuropathy
periph_neuro	Read2	F368.00	Hereditary motor and sensory neuropathy
periph_neuro	Read2	F368000	Hereditary motor and sensory neuropathy type I
periph_neuro	Read2	F368100	Hereditary motor and sensory neuropathy type II
periph_neuro	Read2	F368200	Hereditary motor and sensory neuropathy type III
periph_neuro	Read2	F36y.00	Other idiopathic peripheral neuropathy
periph_neuro	Read2	F36yz00	Other idiopathic peripheral neuropathy NOS
periph_neuro	Read2	F36z.00	Hereditary or idiopathic peripheral neuropathy NOS
periph_neuro	Read2	F37..00	Inflammatory and toxic neuropathy
periph_neuro	Read2	F37..11	Toxic neuropathy
periph_neuro	Read2	F370.00	Acute infective polyneuritis
periph_neuro	Read2	F370000	Guillain-Barre syndrome
periph_neuro	Read2	F370100	Postinfectious polyneuritis
periph_neuro	Read2	F370200	Miller-Fisher syndrome
periph_neuro	Read2	F370z00	Acute infective polyneuritis NOS
periph_neuro	Read2	F371.00	Polyneuropathy in collagen vascular disease
periph_neuro	Read2	F371000	Polyneuropathy in disseminated lupus erythematosus
periph_neuro	Read2	F371100	Polyneuropathy in polyarteritis nodosa
periph_neuro	Read2	F371200	Polyneuropathy in rheumatoid arthritis
periph_neuro	Read2	F371z00	Polyneuropathy in collagen vascular disease NOS
periph_neuro	Read2	F372.00	Polyneuropathy in diabetes
periph_neuro	Read2	F372.11	Diabetic polyneuropathy
periph_neuro	Read2	F372.12	Diabetic neuropathy
periph_neuro	Read2	F372000	Acute painful diabetic neuropathy
periph_neuro	Read2	F372100	Chronic painful diabetic neuropathy
periph_neuro	Read2	F372200	Asymptomatic diabetic neuropathy
periph_neuro	Read2	F373.00	Polyneuropathy in malignant disease
periph_neuro	Read2	F374.00	Polyneuropathy in disease EC
periph_neuro	Read2	F374000	Polyneuropathy in amyloidosis
periph_neuro	Read2	F374100	Polyneuropathy in beriberi
periph_neuro	Read2	F374200	Polyneuropathy in vitamin B deficiency
periph_neuro	Read2	F374300	Polyneuropathy in diphtheria
periph_neuro	Read2	F374400	Polyneuropathy in herpes zoster
periph_neuro	Read2	F374500	Polyneuropathy in hypoglycaemia
periph_neuro	Read2	F374600	Polyneuropathy in mumps
periph_neuro	Read2	F374800	Polyneuropathy in porphyria
periph_neuro	Read2	F374900	Polyneuropathy in sarcoidosis
periph_neuro	Read2	F374A00	Polyneuropathy in uraemia
periph_neuro	Read2	F374z00	Polyneuropathy in disease NOS
periph_neuro	Read2	F375.00	Alcoholic polyneuropathy
periph_neuro	Read2	F376.00	Polyneuropathy due to drugs
periph_neuro	Read2	F377.00	Other toxic agent polyneuropathy
periph_neuro	Read2	F378.00	Intercostal neuropathy
periph_neuro	Read2	F37X.00	Inflammatory polyneuropathy, unspecified
periph_neuro	Read2	F37y.00	Other toxic or inflammatory neuropathy
periph_neuro	Read2	F37y000	Serum neuropathy
periph_neuro	Read2	F37y100	Axonal sensorimotor neuropathy
periph_neuro	Read2	F37z.00	Toxic or inflammatory neuropathy NOS
periph_neuro	Read2	F37z.11	Polyneuropathy unspecified
periph_neuro	Read2	F3y..00	Other specified disorders of peripheral nervous system
periph_neuro	Read2	F3y0.00	Diabetic mononeuropathy
periph_neuro	Read2	F3z..00	Peripheral nervous system disorder NOS
periph_neuro	Read2	Fyu1300	[X]Paraneoplastic neuromyopathy and neuropathy
periph_neuro	Read2	Fyu6900	[X]Other lesions of median nerve
periph_neuro	Read2	Fyu6A00	[X]Other mononeuropathies of upper limb
periph_neuro	Read2	Fyu6B00	[X]Other mononeuropathies of lower limb
periph_neuro	Read2	Fyu6C00	[X]Other specified mononeuropathies
periph_neuro	Read2	Fyu6D00	[X]Other mononeuropathies in diseases classified elsewhere
periph_neuro	Read2	Fyu7.00	[X]Polyneuropathies and other disorders of the peripheral nervous system
periph_neuro	Read2	Fyu7000	[X]Other hereditary and idiopathic neuropathies
periph_neuro	Read2	Fyu7100	[X]Other inflammatory polyneuropathies
periph_neuro	Read2	Fyu7200	[X]Other specified polyneuropathies
periph_neuro	Read2	Fyu7500	[X]Polyneuropathy in other endocrine and metabolic diseases classified elsewhere
periph_neuro	Read2	Fyu7800	[X]Polyneuropathy in other musculoskeletal disorders classified elsewhere
periph_neuro	Read2	Fyu7B00	[X]Inflammatory polyneuropathy, unspecified
periph_neuro	Read2	Fyu7C00	[X] Polyneuropathy, unspecified
periph_neuro	Read2	M271100	Neuropathic diabetic ulcer - foot
periph_neuro	Read2	M271700	Neuropathic foot ulcer
periph_neuro	Read2	N035.00	Neuropathic arthropathy
periph_neuro	Read2	N035.12	Neuropathic arthritis
periph_neuro	Read2	N11y200	Neuropathic spondylopathy
periph_neuro	Read2	N134.14	Ulnar neuritis
periph_neuro	Read2	SD72200	Neuropathic foot blister
periph_neuro	CTV3	A5313YadXu	Post-herpetic polyneuropathy
periph_neuro	CTV3	A72x1Y71Xx	Mumps polyneuropathy
periph_neuro	CTV3	X00AgY00Xb	Diabetes mellitus with neuropathy
periph_neuro	CTV3	XE15kY00Xg	Diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaEnnYafOa	Insulin dependent diabetes mellitus with mononeuropathy
periph_neuro	CTV3	XaEnnYagvJ	Type I diabetes mellitus with mononeuropathy
periph_neuro	CTV3	XaEnoYafOb	Insulin dependent diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaFmMYagvs	Insulin dependent diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaFmMYajRR	Type 1 diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaFmMYagvr	Type I diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaEnpYafOc	Non-insulin dependent diabetes mellitus with mononeuropathy
periph_neuro	CTV3	XaEnpYagvw	Type II diabetes mellitus with mononeuropathy
periph_neuro	CTV3	XaEnqYafOd	Non-insulin dependent diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaEnqYajRi	Type 2 diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaEnqYagvy	Type II diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaFn9Yagx0	Non-insulin dependent diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaFn9YajRo	Type 2 diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaFn9Yagwz	Type II diabetes mellitus with neuropathic arthropathy
periph_neuro	CTV3	XaEnnYajRK	Type 1 diabetes mellitus with mononeuropathy
periph_neuro	CTV3	XaEnoYajRL	Type 1 diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaEnoYagvK	Type I diabetes mellitus with polyneuropathy
periph_neuro	CTV3	XaEnpYajRh	Type 2 diabetes mellitus with mononeuropathy
periph_neuro	CTV3	C34y4Y00F0	Gouty neuritis
periph_neuro	CTV3	C3732Y41d6	Familial neuropathic amyloidosis
periph_neuro	CTV3	X40PqY41dI	Familial amyloid polyneuropathy type III
periph_neuro	CTV3	E0111Y017F	Korsakov's alcoholic psychosis with peripheral neuritis
periph_neuro	CTV3	F34..Y00Vl	Mononeuritis of upper limb and mononeuritis multiplex
periph_neuro	CTV3	F341.Y00Vm	Other median nerve lesions
periph_neuro	CTV3	F3410Y00Vn	Median nerve neuritis
periph_neuro	CTV3	F3411Y00Zq	Median nerve compression in forearm
periph_neuro	CTV3	F341zY00Vo	Median nerve lesions NOS
periph_neuro	CTV3	XE15hY00Vp	Ulnar nerve lesions
periph_neuro	CTV3	X00A7Y00Vq	Neuritis ulnar nerve
periph_neuro	CTV3	F3420Y00a0	Cubital tunnel syndrome
periph_neuro	CTV3	F3421Y00Vr	Tardy ulnar nerve palsy
periph_neuro	CTV3	F3422Y00Zi	Canal of Guyon compression
periph_neuro	CTV3	Xa0KsYa1TE	Ulnar nerve entrapment
periph_neuro	CTV3	XaIrgYab2x	Ulnar neuropathy
periph_neuro	CTV3	F342zY00Vs	Ulnar nerve lesion NOS
periph_neuro	CTV3	F343.Y00Vt	Radial nerve lesions
periph_neuro	CTV3	F3430Y00Vu	Acute radial nerve palsy
periph_neuro	CTV3	F3431Y00Vv	Sensory branch of radial nerve lesion
periph_neuro	CTV3	F3432Y00a5	Posterior interosseous nerve lesion
periph_neuro	CTV3	F343zY00Vw	Radial nerve lesion NOS
periph_neuro	CTV3	F344.Y00b8	Causalgia
periph_neuro	CTV3	F345.Y00Yl	Mononeuritis multiplex
periph_neuro	CTV3	F3450YM0lE	Diabetic mononeuritis multiplex
periph_neuro	CTV3	X75atY00Zp	Median nerve entrapment
periph_neuro	CTV3	F34y.Y00Vx	Other upper limb mononeuritis
periph_neuro	CTV3	F34z.Y00Vy	Mononeuritis upper limb NOS
periph_neuro	CTV3	F35..Y00Vz	Mononeuritis lower limb
periph_neuro	CTV3	F350.YM0lF	Sciatic nerve lesion
periph_neuro	CTV3	F351.Y00aD	Meralgia paraesthetica
periph_neuro	CTV3	F352.YM0lG	Femoral nerve lesions
periph_neuro	CTV3	F353.YM0lH	Common peroneal nerve lesion
periph_neuro	CTV3	F353.YM0lI	Lateral popliteal nerve lesion
periph_neuro	CTV3	F354.YM0lJ	Tibial nerve lesion
periph_neuro	CTV3	F354.YaU1f	Tibial nerve palsy
periph_neuro	CTV3	F355.Y00aH	Tarsal tunnel syndrome
periph_neuro	CTV3	F356.YM0lL	Plantar nerve lesion
periph_neuro	CTV3	F3560Y00aL	Morton metatarsalgia
periph_neuro	CTV3	F3560Y00aM	Interdigital neuralgia
periph_neuro	CTV3	F3560Y00aK	Morton's neuralgia
periph_neuro	CTV3	F356zYM0lM	Plantar nerve lesion NOS
periph_neuro	CTV3	F357.YM0lN	Superficial peroneal nerve lesion
periph_neuro	CTV3	F358.YM0lO	Deep peroneal nerve lesion
periph_neuro	CTV3	F35x.Y00W0	Other mononeuritis lower limb
periph_neuro	CTV3	F35y.Y00W1	Unspecified mononeuritis lower limb
periph_neuro	CTV3	XE15iY00W2	Mononeuritis of unspecified site NOS
periph_neuro	CTV3	X00A8Y00W3	Peripheral neuropathy - hereditary or idiopathic
periph_neuro	CTV3	F35z0YM0lP	Diabetic mononeuritis NOS
periph_neuro	CTV3	F36..Y00W4	Hereditary and idiopathic peripheral neuropathy
periph_neuro	CTV3	F3610Y00WC	Hereditary peripheral neuropathy
periph_neuro	CTV3	F3600Y00WU	Dejerine-Sottas disease
periph_neuro	CTV3	F360zY00WK	Hereditary peripheral neuropathy NOS
periph_neuro	CTV3	F3610Y00WE	Peroneal muscular atrophy
periph_neuro	CTV3	F3610Y00WH	Charcot-Marie-Tooth disease
periph_neuro	CTV3	F3610YavYx	Charcot-Marie-Tooth syndrome
periph_neuro	CTV3	F3610Y00WB	Hereditary motor and sensory neuropathy
periph_neuro	CTV3	F361zY00WJ	Peroneal muscular atrophy NOS
periph_neuro	CTV3	F362.YM0lQ	Hereditary sensory neuropathy
periph_neuro	CTV3	F363.Y00WV	Refsum's disease
periph_neuro	CTV3	F364.Y00am	Idiopathic progressive polyneuropathy
periph_neuro	CTV3	F365.YMAi5	Neuropathy in association with hereditary ataxia
periph_neuro	CTV3	F366.YMH2A	Polyneuropathy
periph_neuro	CTV3	Xa3fBYa64a	Other peripheral neuropathy
periph_neuro	CTV3	XC0eJYa1nH	Peripheral neuropathy
periph_neuro	CTV3	X00A9Y00WL	Hereditary motor and sensory neuropathy type I
periph_neuro	CTV3	X00AAY00WO	Hereditary motor and sensory neuropathy type II
periph_neuro	CTV3	F3600Y00WR	Hereditary motor and sensory neuropathy type III
periph_neuro	CTV3	F36y.Y00an	Other idiopathic peripheral neuropathy
periph_neuro	CTV3	F36yzY00ao	Other idiopathic peripheral neuropathy NOS
periph_neuro	CTV3	F36z.Y00W5	Hereditary or idiopathic peripheral neuropathy NOS
periph_neuro	CTV3	XE15jY00W6	Inflammatory and toxic neuropathy
periph_neuro	CTV3	X00BGY00Yo	Toxic neuropathy
periph_neuro	CTV3	F370.Y00X5	Acute infective polyneuritis
periph_neuro	CTV3	F3700Y00X8	Guillain-Barre syndrome
periph_neuro	CTV3	F3701YadYp	Post-infectious polyneuritis
periph_neuro	CTV3	X00AVY00Vf	Miller-Fisher syndrome
periph_neuro	CTV3	F370zY00X7	Acute infective polyneuritis NOS
periph_neuro	CTV3	F371.Y00Ya	Polyneuropathy in collagen vascular disease
periph_neuro	CTV3	F3710Y00Yb	Polyneuropathy in disseminated lupus erythematosus
periph_neuro	CTV3	F3711Y00Yc	Polyneuropathy in polyarteritis nodosa
periph_neuro	CTV3	F3712Y00Yd	Polyneuropathy in rheumatoid arthritis
periph_neuro	CTV3	F371zY00Ye	Polyneuropathy in collagen vascular disease NOS
