condition	vocab_id	code	description
peripheral_arterial	ICD10	I73.8	Other specified peripheral vascular diseases
peripheral_arterial	ICD10	I73.9	Peripheral vascular disease, unspecified
peripheral_arterial	Read2	14F7.00	H/O: arterial lower limb ulcer
peripheral_arterial	Read2	14NB.00	H/O: Peripheral vascular disease procedure
peripheral_arterial	Read2	2G63.00	Ischaemic toe
peripheral_arterial	Read2	A3A0F00	Gas gangrene-foot
peripheral_arterial	Read2	C107.00	Diabetes mellitus with peripheral circulatory disorder
peripheral_arterial	Read2	C107000	Diabetes mellitus, juvenile type, with peripheral circulatory disorder
peripheral_arterial	Read2	C107100	Diabetes mellitus, adult onset, with peripheral circulatory disorder
peripheral_arterial	Read2	C107300	IDDM with peripheral circulatory disorder
peripheral_arterial	Read2	C107400	NIDDM with peripheral circulatory disorder
peripheral_arterial	Read2	C107z00	Diabetes mellitus NOS with peripheral circulatory disorder
peripheral_arterial	Read2	C108G00	Insulin dependent diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	C109F00	Non-insulin-dependent diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	C109F11	Type II diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	C109F12	Type 2 diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	C10EG00	Type 1 diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	C10FF00	Type 2 diabetes mellitus with peripheral angiopathy
peripheral_arterial	Read2	G700.11	Aorto-iliac disease
peripheral_arterial	Read2	G702.00	Extremity artery atheroma
peripheral_arterial	Read2	G702z00	Extremity artery atheroma NOS
peripheral_arterial	Read2	G73..00	Other peripheral vascular disease
peripheral_arterial	Read2	G73..11	Peripheral ischaemic vascular disease
peripheral_arterial	Read2	G73..12	Ischaemia of legs
peripheral_arterial	Read2	G73..13	Peripheral ischaemia
peripheral_arterial	Read2	G732.00	Peripheral gangrene
peripheral_arterial	Read2	G732000	Gangrene of toe
peripheral_arterial	Read2	G732100	Gangrene of foot
peripheral_arterial	Read2	G733.00	Ischaemic foot
peripheral_arterial	Read2	G73y.00	Other specified peripheral vascular disease
peripheral_arterial	Read2	G73y000	Diabetic peripheral angiopathy
peripheral_arterial	Read2	G73y100	Peripheral angiopathic disease EC NOS
peripheral_arterial	Read2	G73y200	Acrocyanosis
peripheral_arterial	Read2	G73y400	Acroparaesthesia - Schultze's type
peripheral_arterial	Read2	G73y500	Acroparaesthesia - Nothnagel's type
peripheral_arterial	Read2	G73y511	Nothnagel's vasomotor acroparaesthesia
peripheral_arterial	Read2	G73y600	Acroparaesthesia - unspecified
peripheral_arterial	Read2	G73y700	Erythrocyanosis
peripheral_arterial	Read2	G73y800	Erythromelalgia
peripheral_arterial	Read2	G73yz00	Other specified peripheral vascular disease NOS
peripheral_arterial	Read2	G73z.00	Peripheral vascular disease NOS
peripheral_arterial	Read2	G73z000	Intermittent claudication
peripheral_arterial	Read2	G73z011	Claudication
peripheral_arterial	Read2	G73zz00	Peripheral vascular disease NOS
peripheral_arterial	Read2	G740.12	Aortoiliac obstruction
peripheral_arterial	Read2	G742z00	Peripheral arterial embolism and thrombosis NOS
peripheral_arterial	Read2	Gyu7400	[X]Other specified peripheral vascular diseases
peripheral_arterial	Read2	M271.12	Ischaemic leg ulcer
peripheral_arterial	Read2	M271000	Ischaemic ulcer diabetic foot
peripheral_arterial	Read2	M271300	Arterial leg ulcer
peripheral_arterial	Read2	M271400	Mixed venous and arterial leg ulcer
peripheral_arterial	Read2	R054200	[D]Gangrene of toe in diabetic
peripheral_arterial	Read2	R054300	[D]Widespread diabetic foot gangrene
peripheral_arterial	Read2	R055000	[D]Failure of peripheral circulation
peripheral_arterial	Read2	R055011	[D]Peripheral circulatory failure
peripheral_arterial	CTV3	Xaa0JYavtb	H/O: arterial lower limb ulcer
peripheral_arterial	CTV3	XaBL7Yaaes	H/O: Peripheral vascular disease procedure
peripheral_arterial	CTV3	XaB5XYaaIs	Ischaemic toe
peripheral_arterial	CTV3	A3A0FY71Pq	Gas gangrene-foot
peripheral_arterial	CTV3	XE10IY41P7	Diabetes mellitus with peripheral circulatory disorder
peripheral_arterial	CTV3	C1070Y41PA	Diabetes mellitus, juvenile type, with peripheral circulatory disorder
peripheral_arterial	CTV3	C1071Y41PB	Diabetes mellitus, adult onset, with peripheral circulatory disorder
peripheral_arterial	CTV3	C1073Ya3xw	IDDM with peripheral circulatory disorder
peripheral_arterial	CTV3	C1074Ya3xx	NIDDM with peripheral circulatory disorder
peripheral_arterial	CTV3	C107zY41PD	Diabetes mellitus NOS with peripheral circulatory disorder
peripheral_arterial	CTV3	XaFmKYagvo	Insulin dependent diabetes mellitus with peripheral angiopathy
peripheral_arterial	CTV3	XaFn7Yagww	Non-insulin-dependent diabetes mellitus with peripheral angiopathy
peripheral_arterial	CTV3	XaFn7YajRm	Type 2 diabetes mellitus with peripheral angiopathy
peripheral_arterial	CTV3	XaFn7Yagwv	Type II diabetes mellitus with peripheral angiopathy
peripheral_arterial	CTV3	XaFmKYajRP	Type 1 diabetes mellitus with peripheral angiopathy
peripheral_arterial	CTV3	X203LYadvw	Aortoiliac disease
peripheral_arterial	CTV3	X203LYae75	Aortoiliac atherosclerosis
peripheral_arterial	CTV3	G702.Ya265	Extremity artery atheroma
peripheral_arterial	CTV3	G702zY20Eh	Extremity artery atheroma NOS
peripheral_arterial	CTV3	XE0VPY20EX	Other peripheral vascular disease
peripheral_arterial	CTV3	X203TY20Eq	Lower limb ischaemia
peripheral_arterial	CTV3	X203TY20Et	Ischaemic leg
peripheral_arterial	CTV3	X203QY20Em	Peripheral ischaemia
peripheral_arterial	CTV3	X203QY20En	Peripheral ischaemic vascular disease
peripheral_arterial	CTV3	G732.Ya3DP	Peripheral gangrene
peripheral_arterial	CTV3	G7320Ya3DQ	Gangrene of toe
peripheral_arterial	CTV3	G7321Ya3E6	Gangrene of foot
peripheral_arterial	CTV3	Xa84UYaVdQ	Ischaemic foot
peripheral_arterial	CTV3	G73y.Y20Eb	Other specified peripheral vascular disease
peripheral_arterial	CTV3	G73y0Y20Ec	Diabetic peripheral angiopathy
peripheral_arterial	CTV3	G73y1Y20Ed	Peripheral angiopathic disease EC NOS
peripheral_arterial	CTV3	G73y2Y20Jn	Acrocyanosis
peripheral_arterial	CTV3	G73y4Y20Jq	Schultze's simple acroparaesthesia
