condition	vocab_id	code	description
pri_breast	ICD10	C50	Malignant neoplasm of breast
pri_breast	ICD10	D05	Carcinoma in situ of breast
pri_breast	Read2	B34..00	Malignant neoplasm of female breast
pri_breast	Read2	B34..11	Ca female breast
pri_breast	Read2	B340.00	Malignant neoplasm of nipple and areola of female breast
pri_breast	Read2	B340000	Malignant neoplasm of nipple of female breast
pri_breast	Read2	B340100	Malignant neoplasm of areola of female breast
pri_breast	Read2	B340z00	Malignant neoplasm of nipple or areola of female breast NOS
pri_breast	Read2	B341.00	Malignant neoplasm of central part of female breast
pri_breast	Read2	B342.00	Malignant neoplasm of upper-inner quadrant of female breast
pri_breast	Read2	B343.00	Malignant neoplasm of lower-inner quadrant of female breast
pri_breast	Read2	B344.00	Malignant neoplasm of upper-outer quadrant of female breast
pri_breast	Read2	B345.00	Malignant neoplasm of lower-outer quadrant of female breast
pri_breast	Read2	B346.00	Malignant neoplasm of axillary tail of female breast
pri_breast	Read2	B347.00	Malignant neoplasm, overlapping lesion of breast
pri_breast	Read2	B34y.00	Malignant neoplasm of other site of female breast
pri_breast	Read2	B34y000	Malignant neoplasm of ectopic site of female breast
pri_breast	Read2	B34yz00	Malignant neoplasm of other site of female breast NOS
pri_breast	Read2	B34z.00	Malignant neoplasm of female breast NOS
pri_breast	Read2	B35..00	Malignant neoplasm of male breast
pri_breast	Read2	B350.00	Malignant neoplasm of nipple and areola of male breast
pri_breast	Read2	B350000	Malignant neoplasm of nipple of male breast
pri_breast	Read2	B350100	Malignant neoplasm of areola of male breast
pri_breast	Read2	B35z.00	Malignant neoplasm of other site of male breast
pri_breast	Read2	B35z000	Malignant neoplasm of ectopic site of male breast
pri_breast	Read2	B35zz00	Malignant neoplasm of male breast NOS
pri_breast	Read2	B36..00	Local recurrence of malignant tumour of breast
pri_breast	Read2	B830.00	Carcinoma in situ of breast
pri_breast	Read2	B830000	Lobular carcinoma in situ of breast
pri_breast	Read2	B830100	Intraductal carcinoma in situ of breast
pri_breast	Read2	BB91.00	[M]Infiltrating duct carcinoma
pri_breast	Read2	BB91.11	[M]Duct carcinoma NOS
pri_breast	Read2	BB91000	[M]Intraductal papillary adenocarcinoma with invasion
pri_breast	Read2	BB91100	[M]Infiltrating duct and lobular carcinoma
pri_breast	Read2	BB92.00	[M]Comedocarcinoma, noninfiltrating
pri_breast	Read2	BB93.00	[M]Comedocarcinoma NOS
pri_breast	Read2	BB94.00	[M]Juvenile breast carcinoma
pri_breast	Read2	BB94.11	[M]Secretory breast carcinoma
pri_breast	Read2	BB96.00	[M]Noninfiltrating intraductal papillary adenocarcinoma
pri_breast	Read2	BB9J.00	[M]Paget's disease, mammary
pri_breast	Read2	BB9J.11	[M]Paget's disease, breast
pri_breast	Read2	BB9K.00	[M]Paget's disease and infiltrating breast duct carcinoma
pri_breast	Read2	BB9K000	[M]Paget's disease and intraductal carcinoma of breast
pri_breast	Read2	BB9M.00	[M]Intracystic carcinoma NOS
pri_breast	Read2	Byu6.00	[X]Malignant neoplasm of breast
pri_breast	Read2	ByuFG00	[X]Other carcinoma in situ of breast
pri_breast	Read2	ZV10300	[V]Personal history of malignant neoplasm of breast
pri_breast	CTV3	B34..Y7JhJ	Malignant neoplasm of female breast
pri_breast	CTV3	B340.Y7JhK	Malignant neoplasm of nipple and areola of female breast
pri_breast	CTV3	B3400Y7JhL	Malignant neoplasm of nipple of female breast
pri_breast	CTV3	B3401Y7JhM	Malignant neoplasm of areola of female breast
