condition	vocab_id	code	description
pri_colorectal	ICD10	C18	Malignant neoplasm of colon
pri_colorectal	ICD10	C19	Malignant neoplasm of rectosigmoid junction
pri_colorectal	ICD10	C20	Malignant neoplasm of rectum
pri_colorectal	Read2	B13..00	Malignant neoplasm of colon
pri_colorectal	Read2	B130.00	Malignant neoplasm of hepatic flexure of colon
pri_colorectal	Read2	B131.00	Malignant neoplasm of transverse colon
pri_colorectal	Read2	B132.00	Malignant neoplasm of descending colon
pri_colorectal	Read2	B133.00	Malignant neoplasm of sigmoid colon
pri_colorectal	Read2	B134.00	Malignant neoplasm of caecum
pri_colorectal	Read2	B134.11	Carcinoma of caecum
pri_colorectal	Read2	B135.00	Malignant neoplasm of appendix
pri_colorectal	Read2	B136.00	Malignant neoplasm of ascending colon
pri_colorectal	Read2	B137.00	Malignant neoplasm of splenic flexure of colon
pri_colorectal	Read2	B138.00	Malignant neoplasm, overlapping lesion of colon
pri_colorectal	Read2	B139.00	Hereditary nonpolyposis colon cancer
pri_colorectal	Read2	B13y.00	Malignant neoplasm of other specified sites of colon
pri_colorectal	Read2	B13z.00	Malignant neoplasm of colon NOS
pri_colorectal	Read2	B13z.11	Colonic cancer
pri_colorectal	Read2	B140.00	Malignant neoplasm of rectosigmoid junction
pri_colorectal	Read2	B141.00	Malignant neoplasm of rectum
pri_colorectal	Read2	B141.11	Carcinoma of rectum
pri_colorectal	Read2	B141.12	Rectal carcinoma
pri_colorectal	Read2	B1z0.11	Cancer of bowel
pri_colorectal	CTV3	B13..Y7JYs	Malignant neoplasm of colon
pri_colorectal	CTV3	B130.Y7JYy	Malignant neoplasm of hepatic flexure of colon
pri_colorectal	CTV3	B131.Y7JZ0	Malignant neoplasm of transverse colon
pri_colorectal	CTV3	B132.Y7JZ4	Malignant neoplasm of descending colon
pri_colorectal	CTV3	B133.Y7JZ6	Malignant neoplasm of sigmoid colon
pri_colorectal	CTV3	XE1vUY7JYk	Malignant neoplasm of caecum
pri_colorectal	CTV3	X78gMY7JYl	Carcinoma of caecum
pri_colorectal	CTV3	B135.Y7JYn	Malignant neoplasm of appendix
pri_colorectal	CTV3	B136.Y7JYw	Malignant neoplasm of ascending colon
pri_colorectal	CTV3	B137.Y7JZ2	Malignant neoplasm of splenic flexure of colon
pri_colorectal	CTV3	B138.YMAyZ	Malignant neoplasm, overlapping lesion of colon
