condition	vocab_id	code	description
pri_melanoma	ICD10	C43	Malignant melanoma of skin
pri_melanoma	Read2	1425000	H/O Malignant melanoma
pri_melanoma	Read2	4M3..00	Breslow depth staging for melanoma
pri_melanoma	Read2	4M70.00	Clark melanoma level 1
pri_melanoma	Read2	4M71.00	Clark melanoma level 2
pri_melanoma	Read2	4M72.00	Clark melanoma level 3
pri_melanoma	Read2	4M73.00	Clark melanoma level 4
pri_melanoma	Read2	4M74.00	Clark melanoma level 5
pri_melanoma	Read2	7G03J00	Excision of melanoma
pri_melanoma	Read2	B32..00	Malignant melanoma of skin
pri_melanoma	Read2	B320.00	Malignant melanoma of lip
pri_melanoma	Read2	B321.00	Malignant melanoma of eyelid including canthus
pri_melanoma	Read2	B322.00	Malignant melanoma of ear and external auricular canal
pri_melanoma	Read2	B322000	Malignant melanoma of auricle (ear)
pri_melanoma	Read2	B322100	Malignant melanoma of external auditory meatus
pri_melanoma	Read2	B322z00	Malignant melanoma of ear and external auricular canal NOS
pri_melanoma	Read2	B323.00	Malignant melanoma of other and unspecified parts of face
pri_melanoma	Read2	B323000	Malignant melanoma of external surface of cheek
pri_melanoma	Read2	B323100	Malignant melanoma of chin
pri_melanoma	Read2	B323200	Malignant melanoma of eyebrow
pri_melanoma	Read2	B323300	Malignant melanoma of forehead
pri_melanoma	Read2	B323400	Malignant melanoma of external surface of nose
pri_melanoma	Read2	B323500	Malignant melanoma of temple
pri_melanoma	Read2	B323z00	Malignant melanoma of face NOS
pri_melanoma	Read2	B324.00	Malignant melanoma of scalp and neck
pri_melanoma	Read2	B324000	Malignant melanoma of scalp
pri_melanoma	Read2	B324100	Malignant melanoma of neck
pri_melanoma	Read2	B324z00	Malignant melanoma of scalp and neck NOS
pri_melanoma	Read2	B325.00	Malignant melanoma of trunk (excluding scrotum)
pri_melanoma	Read2	B325000	Malignant melanoma of axilla
pri_melanoma	Read2	B325100	Malignant melanoma of breast
pri_melanoma	Read2	B325200	Malignant melanoma of buttock
pri_melanoma	Read2	B325300	Malignant melanoma of groin
pri_melanoma	Read2	B325400	Malignant melanoma of perianal skin
