condition	vocab_id	code	description
pri_skin	ICD10	C44	Other malignant neoplasms of skin
pri_skin	Read2	7G05600	Excision biopsy of rodent ulcer
pri_skin	Read2	7G05D00	Excision biopsy of basal cell carcinoma
pri_skin	Read2	B33..00	Other malignant neoplasm of skin
pri_skin	Read2	B33..11	Basal cell carcinoma
pri_skin	Read2	B33..13	Rodent ulcer
pri_skin	Read2	B33..14	Malignant neoplasm of sebaceous gland
pri_skin	Read2	B33..15	Malignant neoplasm of sweat gland
pri_skin	Read2	B33..16	Epithelioma basal cell
pri_skin	Read2	B330.00	Malignant neoplasm of skin of lip
pri_skin	Read2	B331.00	Malignant neoplasm of eyelid including canthus
pri_skin	Read2	B331000	Malignant neoplasm of canthus
pri_skin	Read2	B331100	Malignant neoplasm of upper eyelid
pri_skin	Read2	B331200	Malignant neoplasm of lower eyelid
pri_skin	Read2	B332.00	Malignant neoplasm of skin of ear and external auricular canal
pri_skin	Read2	B332000	Malignant neoplasm of skin of auricle (ear)
pri_skin	Read2	B332100	Malignant neoplasm of skin of external auditory meatus
pri_skin	Read2	B332200	Malignant neoplasm of pinna NEC
pri_skin	Read2	B332z00	Malignant neoplasm of skin of ear and external auricular canal NOS
pri_skin	Read2	B333.00	Malignant neoplasm of skin of other and unspecified parts of face
pri_skin	Read2	B333000	Malignant neoplasm of skin of cheek, external
pri_skin	Read2	B333100	Malignant neoplasm of skin of chin
pri_skin	Read2	B333200	Malignant neoplasm of skin of eyebrow
pri_skin	Read2	B333300	Malignant neoplasm of skin of forehead
pri_skin	Read2	B333400	Malignant neoplasm of skin of nose (external)
pri_skin	Read2	B333500	Malignant neoplasm of skin of temple
pri_skin	Read2	B333z00	Malignant neoplasm of skin of other and unspecified part of face NOS
pri_skin	Read2	B334.00	Malignant neoplasm of scalp and skin of neck
pri_skin	Read2	B334000	Malignant neoplasm of scalp
pri_skin	Read2	B334100	Malignant neoplasm of skin of neck
pri_skin	Read2	B334z00	Malignant neoplasm of scalp or skin of neck NOS
pri_skin	Read2	B335.00	Malignant neoplasm of skin of trunk, excluding scrotum
pri_skin	Read2	B335000	Malignant neoplasm of skin of axillary fold
pri_skin	Read2	B335100	Malignant neoplasm of skin of chest, excluding breast
pri_skin	Read2	B335200	Malignant neoplasm of skin of breast
pri_skin	Read2	B335300	Malignant neoplasm of skin of abdominal wall
pri_skin	Read2	B335400	Malignant neoplasm of skin of umbilicus
pri_skin	Read2	B335500	Malignant neoplasm of skin of groin
pri_skin	Read2	B335600	Malignant neoplasm of skin of perineum
pri_skin	Read2	B335700	Malignant neoplasm of skin of back
pri_skin	Read2	B335800	Malignant neoplasm of skin of buttock
pri_skin	Read2	B335900	Malignant neoplasm of perianal skin
pri_skin	Read2	B335A00	Malignant neoplasm of skin of scapular region
pri_skin	Read2	B335z00	Malignant neoplasm of skin of trunk, excluding scrotum, NOS
pri_skin	Read2	B336.00	Malignant neoplasm of skin of upper limb and shoulder
pri_skin	Read2	B336000	Malignant neoplasm of skin of shoulder
pri_skin	Read2	B336100	Malignant neoplasm of skin of upper arm
pri_skin	Read2	B336200	Malignant neoplasm of skin of fore-arm
pri_skin	Read2	B336300	Malignant neoplasm of skin of hand
pri_skin	Read2	B336400	Malignant neoplasm of skin of finger
