condition	vocab_id	code	description
psoriasis	ICD10	L40	Psoriasis
psoriasis	ICD10	M07.0	Distal interphalangeal psoriatic arthropathy
psoriasis	ICD10	M07.1	Arthritis mutilans
psoriasis	ICD10	M07.2	Psoriatic spondylitis
psoriasis	ICD10	M07.3	Other psoriatic arthropathies
psoriasis	ICD10	M09.0	Juvenile arthritis in psoriasis
psoriasis	Read2	14F2.00	H/O: psoriasis
psoriasis	Read2	M16..00	Psoriasis and similar disorders
psoriasis	Read2	M160.00	Psoriatic arthropathy
psoriasis	Read2	M160.11	Psoriatic arthritis
psoriasis	Read2	M160000	Psoriasis spondylitica
psoriasis	Read2	M160100	Distal interphalangeal psoriatic arthropathy
psoriasis	Read2	M160200	Arthritis mutilans
psoriasis	Read2	M160z00	Psoriatic arthropathy NOS
psoriasis	Read2	M161.00	Other psoriasis
psoriasis	Read2	M161000	Psoriasis unspecified
psoriasis	Read2	M161100	Psoriasis annularis
psoriasis	Read2	M161200	Psoriasis circinata
psoriasis	Read2	M161300	Psoriasis diffusa
psoriasis	Read2	M161400	Psoriasis discoidea
psoriasis	Read2	M161500	Psoriasis geographica
psoriasis	Read2	M161600	Guttate psoriasis
psoriasis	Read2	M161700	Psoriasis gyrata
psoriasis	Read2	M161800	Psoriasis inveterata
psoriasis	Read2	M161900	Psoriasis ostracea
psoriasis	Read2	M161A00	Psoriasis palmaris
psoriasis	Read2	M161B00	Psoriasis plantaris
psoriasis	Read2	M161C00	Psoriasis punctata
psoriasis	Read2	M161D00	Pustular psoriasis
psoriasis	Read2	M161E00	Psoriasis universalis
psoriasis	Read2	M161F00	Psoriasis vulgaris
psoriasis	Read2	M161F11	Chronic large plaque psoriasis
psoriasis	Read2	M161H00	Erythrodermic psoriasis
psoriasis	Read2	M161J00	Flexural psoriasis
psoriasis	Read2	M161z00	Psoriasis NOS
psoriasis	Read2	M166.00	Palmoplantar pustular psoriasis
psoriasis	Read2	M16y.00	Other psoriasis and similar disorders
psoriasis	Read2	M16y000	Scalp psoriasis
psoriasis	Read2	M16z.00	Psoriasis and similar disorders NOS
psoriasis	Read2	Myu3000	[X]Other psoriasis
psoriasis	Read2	N045200	Juvenile arthritis in psoriasis
psoriasis	Read2	Nyu1300	[X]Other psoriatic arthropathies
psoriasis	CTV3	14F2.Ya05V	H/O: psoriasis
psoriasis	CTV3	M16..Y50HH	Psoriasis and similar disorders
psoriasis	CTV3	M160.Y70Eo	Psoriatic arthropathy
psoriasis	CTV3	M160.Y70En	Psoriatic arthritis
psoriasis	CTV3	M1600Y70Es	Psoriatic arthritis with spine involvement
psoriasis	CTV3	M1600Y70Et	Psoriatic spondylitis
psoriasis	CTV3	X7026YMAqA	Distal interphalangeal psoriatic arthropathy
psoriasis	CTV3	X7027Y70Ex	Arthritis mutilans
psoriasis	CTV3	M160zY70Er	Psoriatic arthropathy NOS
psoriasis	CTV3	M161.Y50HP	Other psoriasis
psoriasis	CTV3	M1610Y50HQ	Psoriasis unspecified
psoriasis	CTV3	M1611Y50IN	Psoriasis annularis
psoriasis	CTV3	M1612Y50IO	Psoriasis circinata
psoriasis	CTV3	M1613Y50HR	Psoriasis diffusa
psoriasis	CTV3	M1614Y50Ha	Discoid psoriasis
psoriasis	CTV3	M1614Y50HZ	Plaque psoriasis
psoriasis	CTV3	M1615Y50HS	Psoriasis geographica
psoriasis	CTV3	M1616Y50Hd	Guttate psoriasis
psoriasis	CTV3	M1617Y50HT	Psoriasis gyrata
psoriasis	CTV3	M1618Y50HU	Psoriasis inveterata
psoriasis	CTV3	M1619Y50Hl	Rupioid psoriasis
psoriasis	CTV3	M1619Y50Hm	Ostraceous psoriasis
psoriasis	CTV3	M161AY50I6	Psoriasis palmaris
psoriasis	CTV3	M161BY50I7	Psoriasis plantaris
psoriasis	CTV3	M161CY50HV	Psoriasis punctata
psoriasis	CTV3	M161DY50Hw	Pustular psoriasis
psoriasis	CTV3	XaYOxY50Hw	Pustular psoriasis
psoriasis	CTV3	M161EY50HW	Psoriasis universalis
psoriasis	CTV3	XaNXtY50HX	Psoriasis vulgaris
psoriasis	CTV3	M161FYaqZp	Chronic large plaque psoriasis
psoriasis	CTV3	XaNXaYaqZp	Chronic large plaque psoriasis
psoriasis	CTV3	X506bY50Hg	Erythrodermic psoriasis
psoriasis	CTV3	X506ZY50He	Flexural psoriasis
psoriasis	CTV3	M161zY50HY	Psoriasis NOS
psoriasis	CTV3	X506mY50Hy	Palmoplantar pustular psoriasis
psoriasis	CTV3	M16y.Y50HI	Other psoriasis and similar disorders
psoriasis	CTV3	X506iY50Ht	Scalp psoriasis
psoriasis	CTV3	M16z.Y50HJ	Psoriasis and similar disorders NOS
psoriasis	CTV3	Myu30YMALP	[X]Other psoriasis
psoriasis	CTV3	X701vYMAq6	Juvenile arthritis in psoriasis
psoriasis	CTV3	Nyu13YMAMW	[X]Other psoriatic arthropathies
psoriasis	medcodeid	32869011	Arthritis mutilans
psoriasis	medcodeid	61797015	Guttate psoriasis
psoriasis	medcodeid	251784017	H/O: psoriasis
psoriasis	medcodeid	308735014	Psoriasis diffusa
psoriasis	medcodeid	308739015	Psoriasis geographica
psoriasis	medcodeid	308744010	Psoriasis palmaris
psoriasis	medcodeid	308745011	Psoriasis plantaris
psoriasis	medcodeid	308747015	Pustular psoriasis
psoriasis	medcodeid	308749017	Psoriasis universalis
psoriasis	medcodeid	308752013	Erythrodermic psoriasis
psoriasis	medcodeid	357623013	Scalp psoriasis
psoriasis	medcodeid	359310019	Juvenile arthritis in psoriasis
