condition	vocab_id	code	description
spondylosis	ICD10	M47.1	Other spondylosis with myelopathy
spondylosis	ICD10	M47.2	Other spondylosis with radiculopathy
spondylosis	ICD10	M47.8	Other spondylosis
spondylosis	ICD10	M47.9	Spondylosis, unspecified
spondylosis	Read2	F163200	Myelopathy due to spondylosis
spondylosis	Read2	F337200	Nerve root and plexus compressions in spondylosis
spondylosis	Read2	N11..00	Spondylosis and allied disorders
spondylosis	Read2	N11..11	Arthritis of spine
spondylosis	Read2	N11..12	Osteoarthritis of spine
spondylosis	Read2	N110.00	Cervical spondylosis without myelopathy
spondylosis	Read2	N110.11	Cervical spondylosis
spondylosis	Read2	N110.12	Osteoarthritis cervical spine
spondylosis	Read2	N110000	Single-level cervical spondylosis without myelopathy
spondylosis	Read2	N110100	Two-level cervical spondylosis without myelopathy
spondylosis	Read2	N110200	Multiple-level cervical spondylosis without myelopathy
spondylosis	Read2	N111.00	Cervical spondylosis with myelopathy
spondylosis	Read2	N111000	Single-level cervical spondylosis with myelopathy
spondylosis	Read2	N111100	Two-level cervical spondylosis with myelopathy
spondylosis	Read2	N111200	Multiple-level cervical spondylosis with myelopathy
spondylosis	Read2	N112.00	Thoracic spondylosis without myelopathy
spondylosis	Read2	N112.11	Thoracic spondylosis
spondylosis	Read2	N112000	Single-level thoracic spondylosis without myelopathy
spondylosis	Read2	N112100	Two-level thoracic spondylosis without myelopathy
spondylosis	Read2	N112200	Multiple-level thoracic spondylosis without myelopathy
spondylosis	Read2	N112300	Dorsal spondylosis without myelopathy
spondylosis	Read2	N113.00	Thoracic spondylosis with myelopathy
spondylosis	Read2	N113000	Single-level thoracic spondylosis with myelopathy
spondylosis	Read2	N113200	Multiple-level thoracic spondylosis with myelopathy
spondylosis	Read2	N114.00	Lumbosacral spondylosis without myelopathy
spondylosis	Read2	N114.11	Degeneration of lumbar spine
spondylosis	Read2	N114.12	Lumbar spondylosis
spondylosis	Read2	N114000	Single-level lumbosacral spondylosis without myelopathy
spondylosis	Read2	N114100	Two-level lumbosacral spondylosis without myelopathy
spondylosis	Read2	N114200	Multiple-level lumbosacral spondylosis without myelopathy
spondylosis	Read2	N115.00	Lumbosacral spondylosis with myelopathy
spondylosis	Read2	N115000	Single-level lumbosacral spondylosis with myelopathy
spondylosis	Read2	N115100	Two-level lumbosacral spondylosis with myelopathy
spondylosis	Read2	N115200	Multiple-level lumbosacral spondylosis with myelopathy
spondylosis	Read2	N119.00	Cervical spondylosis with radiculopathy
spondylosis	Read2	N119000	Single-level cervical spondylosis with radiculopathy
spondylosis	Read2	N119100	Two-level cervical spondylosis with radiculopathy
spondylosis	Read2	N119200	Multiple-level cervical spondylosis with radiculopathy
spondylosis	Read2	N11A.00	Cervical spondylosis with vascular compression
spondylosis	Read2	N11B.00	Thoracic spondylosis with radiculopathy
spondylosis	Read2	N11B000	Single-level thoracic spondylosis with radiculopathy
spondylosis	Read2	N11B100	Two-level thoracic spondylosis with radiculopathy
spondylosis	Read2	N11B200	Multiple-level thoracic spondylosis with radiculopathy
spondylosis	Read2	N11C.00	Lumbosacral spondylosis with radiculopathy
spondylosis	Read2	N11C000	Single-level lumbosacral spondylosis with radiculopathy
spondylosis	Read2	N11C100	Two-level lumbosacral spondylosis with radiculopathy
spondylosis	Read2	N11C200	Multiple-level lumbosacral spondylosis with radiculopathy
spondylosis	Read2	N11D.00	Osteoarthritis of spine
spondylosis	Read2	N11D000	Osteoarthritis of cervical spine
spondylosis	Read2	N11D100	Osteoarthritis of thoracic spine
spondylosis	Read2	N11D200	Osteoarthritis of lumbar spine
spondylosis	Read2	N11D300	Osteoarthritis of spine NOS
spondylosis	Read2	N11E.00	Cervical spondylosis
spondylosis	Read2	N11z.00	Spondylosis NOS
spondylosis	Read2	N11z.11	Osteoarthritis spine
spondylosis	Read2	N11z000	Spondylosis without myelopathy, NOS
spondylosis	Read2	N11z100	Spondylosis with myelopathy, NOS
spondylosis	Read2	N11zz00	Spondylosis NOS
spondylosis	Read2	Nyu6300	[X]Other spondylosis with radiculopathy
spondylosis	Read2	Nyu6400	[X]Other spondylosis
spondylosis	CTV3	F1632Y008K	Myelopathy due to spondylosis
spondylosis	CTV3	F3372YMAi3	Nerve root and plexus compressions in spondylosis
spondylosis	CTV3	XE1EtY70nv	Spondylosis and allied disorders
spondylosis	CTV3	X7039Y70LL	Spondylosis
