condition	vocab_id	code	description
stroke_all	ICD10	G46.3	Brain stem stroke syndrome
stroke_all	ICD10	G46.4	Cerebellar stroke syndrome
stroke_all	ICD10	G46.5	Pure motor lacunar syndrome
stroke_all	ICD10	G46.6	Pure sensory lacunar syndrome
stroke_all	ICD10	G46.7	Other lacunar syndromes
stroke_all	ICD10	G46.8	Other vascular syndromes of brain in cerebrovascular diseases
stroke_all	ICD10	I61	Intracerebral haemorrhage
stroke_all	ICD10	I63.0	Cerebral infarction due to thrombosis of precerebral arteries
stroke_all	ICD10	I63.1	Cerebral infarction due to embolism of precerebral arteries
stroke_all	ICD10	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
stroke_all	ICD10	I63.3	Cerebral infarction due to thrombosis of cerebral arteries
stroke_all	ICD10	I63.4	Cerebral infarction due to embolism of cerebral arteries
stroke_all	ICD10	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
stroke_all	ICD10	I63.8	Other cerebral infarction
stroke_all	ICD10	I63.9	Cerebral infarction, unspecified
stroke_all	ICD10	I64	Stroke, not specified as haemorrhage or infarction
stroke_all	ICD10	I69.1	Sequelae of intracerebral haemorrhage
stroke_all	ICD10	I69.3	Sequelae of cerebral infarction
stroke_all	ICD10	I69.4	Sequelae of stroke, not specified as haemorrhage or infarction
stroke_all	Read2	14A7.00	H/O: CVA/stroke
stroke_all	Read2	14A7.11	H/O: CVA
stroke_all	Read2	14A7.12	H/O: stroke
stroke_all	Read2	14AK.00	H/O: Stroke in last year
stroke_all	Read2	1M4..00	Central post-stroke pain
stroke_all	Read2	661M700	Stroke self-management plan agreed
stroke_all	Read2	661N700	Stroke self-management plan review
stroke_all	Read2	662e.00	Stroke/CVA annual review
stroke_all	Read2	662e.11	Stroke annual review
stroke_all	Read2	662M.00	Stroke monitoring
stroke_all	Read2	662M100	Stroke 6 month review
stroke_all	Read2	662M200	Stroke initial post discharge review
stroke_all	Read2	662o.00	Haemorrhagic stroke monitoring
stroke_all	Read2	7004300	Evacuation of intracerebral haematoma NEC
stroke_all	Read2	7P24200	Delivery of rehabilitation for stroke
stroke_all	Read2	8HHM.00	Referral to multidisciplinary stroke function improvement service
stroke_all	Read2	8IEC.00	Referral for multidisciplinary stroke function improvement declined
stroke_all	Read2	9h2..00	Exception reporting: stroke quality indicators
stroke_all	Read2	9h21.00	Excepted from stroke quality indicators: Patient unsuitable
stroke_all	Read2	9h22.00	Excepted from stroke quality indicators: Informed dissent
stroke_all	Read2	Fyu5600	[X]Other lacunar syndromes
stroke_all	Read2	G61..00	Intracerebral haemorrhage
stroke_all	Read2	G61..11	CVA - cerebrovascular accident due to intracerebral haemorrhage
stroke_all	Read2	G61..12	Stroke due to intracerebral haemorrhage
stroke_all	Read2	G610.00	Cortical haemorrhage
stroke_all	Read2	G611.00	Internal capsule haemorrhage
stroke_all	Read2	G612.00	Basal nucleus haemorrhage
stroke_all	Read2	G613.00	Cerebellar haemorrhage
stroke_all	Read2	G614.00	Pontine haemorrhage
stroke_all	Read2	G615.00	Bulbar haemorrhage
stroke_all	Read2	G616.00	External capsule haemorrhage
stroke_all	Read2	G617.00	Intracerebral haemorrhage, intraventricular
stroke_all	Read2	G618.00	Intracerebral haemorrhage, multiple localized
stroke_all	Read2	G619.00	Lobar cerebral haemorrhage
stroke_all	Read2	G61X.00	Intracerebral haemorrhage in hemisphere, unspecified
stroke_all	Read2	G61X000	Left sided intracerebral haemorrhage, unspecified
stroke_all	Read2	G61X100	Right sided intracerebral haemorrhage, unspecified
stroke_all	Read2	G61z.00	Intracerebral haemorrhage NOS
stroke_all	Read2	G63..11	Infarction - precerebral
stroke_all	Read2	G63y000	Cerebral infarct due to thrombosis of precerebral arteries
stroke_all	Read2	G63y100	Cerebral infarction due to embolism of precerebral arteries
stroke_all	Read2	G64..00	Cerebral arterial occlusion
