condition	vocab_id	code	description
tendon	ICD10	M65.3	Trigger finger
tendon	ICD10	M65.4	Radial styloid tenosynovitis [de Quervain]
tendon	ICD10	M66.2	Spontaneous rupture of extensor tendons
tendon	ICD10	M66.3	Spontaneous rupture of flexor tendons
tendon	ICD10	M66.4	Spontaneous rupture of other tendons
tendon	ICD10	M66.5	Spontaneous rupture of unspecified tendon
tendon	ICD10	M66.8	Spontaneous rupture of other tendons
tendon	ICD10	M66.9	Spontaneous rupture of unspecified tendon
tendon	ICD10	M70.8	Other soft tissue disorders related to use, overuse and pressure
tendon	ICD10	M70.9	Unspecified soft tissue disorder related to use, overuse and pressure
tendon	ICD10	M75.2	Bicipital tendinitis
tendon	ICD10	M75.4	Impingement syndrome of shoulder
tendon	ICD10	M76.0	Gluteal tendinitis
tendon	ICD10	M76.1	Psoas tendinitis
tendon	ICD10	M76.3	Iliotibial band syndrome
tendon	ICD10	M76.5	Patellar tendinitis
tendon	ICD10	M76.6	Achilles tendinitis
tendon	ICD10	M76.7	Peroneal tendinitis
tendon	ICD10	M77.0	Medial epicondylitis
tendon	ICD10	M77.1	Lateral epicondylitis
tendon	Read2	N211011	Supraspinatus syndrome
tendon	Read2	N211300	Supraspinatus tendinitis
tendon	Read2	N212200	Subacromial impingement
tendon	Read2	N212300	Coracoid impingement
tendon	Read2	N212400	Impingement syndrome of shoulder
tendon	Read2	N212500	Shoulder tendonitis
tendon	Read2	N213100	Medial epicondylitis of the elbow
tendon	Read2	N213111	Golfer's elbow
tendon	Read2	N213200	Lateral epicondylitis of the elbow
tendon	Read2	N213211	Tennis elbow
tendon	Read2	N213400	Biceps tendinitis
tendon	Read2	N213500	Triceps tendinitis
tendon	Read2	N215200	Gluteal tendinitis
tendon	Read2	N215400	Psoas tendinitis
tendon	Read2	N215500	Trochanteric tendinitis
tendon	Read2	N215600	Adductor tendinitis
tendon	Read2	N215800	Snapping hip
tendon	Read2	N215900	Iliotibial band syndrome
tendon	Read2	N216100	Pes anserinus tendinitis and bursitis
tendon	Read2	N216400	Patellar tendinitis
tendon	Read2	N216800	Biceps femoris tendinitis
tendon	Read2	N216900	Semimembranosus tendinitis
tendon	Read2	N217400	Achilles tendinitis
tendon	Read2	N217500	Tibialis anterior tendinitis
tendon	Read2	N217600	Tibialis posterior tendinitis
tendon	Read2	N217800	Peroneal tendinitis
tendon	Read2	N217B00	Anterior ankle impingement
tendon	Read2	N217C00	Fibular impingement
tendon	Read2	N21z200	Tendinitis NOS
tendon	Read2	N21z211	Tendonitis NOS
tendon	Read2	N21z212	Bicepital tendonitis
tendon	Read2	N21z213	Tendonitis bicepital
tendon	Read2	N21z214	Adductor tendonitis
tendon	Read2	N21z215	Tendonitis adductor
tendon	Read2	N21z216	Supraspinatus tendonitis
tendon	Read2	N220300	Trigger finger - acquired
tendon	Read2	N220311	Trigger thumb
tendon	Read2	N220312	Snapping fingers
tendon	Read2	N220313	Finger trigger
tendon	Read2	N220400	Radial styloid tenosynovitis
tendon	Read2	N220411	De Quervain's disease
tendon	Read2	N220412	Trigger thumb - acquired
tendon	Read2	N220413	Thumb trigger
tendon	Read2	N220500	Other tenosynovitis of hand or wrist
tendon	Read2	N220511	Other tenosynovitis of the hand
tendon	Read2	N220512	Other tenosynovitis of the wrist
tendon	Read2	N220513	Tensynovitis of fingers
tendon	Read2	N220514	Tendonitis of thumb
tendon	Read2	N220600	Tenosynovitis of ankle
tendon	Read2	N220700	Tenosynovitis of foot
tendon	Read2	N220A00	Flexor tenosynovitis of wrist
tendon	Read2	N220B00	Flexor tenosynovitis of finger
tendon	Read2	N220C00	Flexor tenosynovitis of thumb
tendon	Read2	N220D00	Extensor tenosynovitis of wrist
tendon	Read2	N220E00	Extensor tenosynovitis of finger
tendon	Read2	N220F00	Extensor tenosynovitis of thumb
tendon	Read2	N220G00	Acquired trigger thumb
tendon	Read2	N220H00	Achilles tenosynovitis
tendon	Read2	N220J00	Tibialis anterior tenosynovitis
tendon	Read2	N220K00	Tibialis posterior tenosynovitis
tendon	Read2	N220L00	Extensor hallucis longus tenosynovitis
tendon	Read2	N220M00	Extensor digitorum longus tenosynovitis
tendon	Read2	N220N00	Peroneus longus tenosynovitis
tendon	Read2	N220P00	Peroneus brevis tenosynovitis
tendon	Read2	N222000	Beat elbow
tendon	Read2	N222100	Beat hand
tendon	Read2	N222200	Beat knee
tendon	Read2	N222400	Miners' knee
tendon	Read2	N226.00	Nontraumatic tendon rupture
tendon	Read2	N226000	Nontraumatic tendon rupture, unspecified
tendon	Read2	N226200	Biceps tendon rupture
tendon	Read2	N226300	Hand and wrist extensor tendon rupture
