condition	vocab_id	code	description
thromboembolic	ICD10	I26	Pulmonary embolism
thromboembolic	ICD10	I63.6	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic
thromboembolic	ICD10	I67.6	Nonpyogenic thrombosis of intracranial venous system
thromboembolic	ICD10	I74.3	Embolism and thrombosis of arteries of lower extremities
thromboembolic	ICD10	I74.4	Embolism and thrombosis of arteries of extremities, unspecified
thromboembolic	ICD10	I74.5	Embolism and thrombosis of iliac artery
thromboembolic	ICD10	I80.1	Phlebitis and thrombophlebitis of femoral vein
thromboembolic	ICD10	I80.2	Phlebitis and thrombophlebitis of other deep vessels of lower extremities
thromboembolic	ICD10	I81	Portal vein thrombosis
thromboembolic	ICD10	I82.0	Budd-Chiari syndrome
thromboembolic	ICD10	I82.2	Embolism and thrombosis of vena cava
thromboembolic	ICD10	I82.3	Embolism and thrombosis of renal vein
thromboembolic	Read2	14A8100	H/O: Deep Vein Thrombosis
thromboembolic	Read2	14AC.00	H/O: pulmonary embolus
thromboembolic	Read2	7A09300	Open embolectomy of pulmonary artery
thromboembolic	Read2	7A09311	Trendelenburg pulmonary embolectomy
thromboembolic	Read2	7A0A100	Percutaneous transluminal embolectomy of pulmonary artery
thromboembolic	Read2	7A0B000	Pulmonary thromboendarterectomy
thromboembolic	Read2	7A19200	Open embolectomy of bifurcation of aorta
thromboembolic	Read2	7A43100	Open embolectomy of iliac artery
thromboembolic	Read2	7A43111	Open embolectomy of common iliac artery
thromboembolic	Read2	7A44100	Percutaneous transluminal embolectomy of iliac artery
thromboembolic	Read2	7A4A200	Open embolectomy of femoral artery
thromboembolic	Read2	7A4A211	Open thrombectomy of femoral artery
thromboembolic	Read2	7A4A212	Open femoral embolectomy
thromboembolic	Read2	7A4A300	Open embolectomy popliteal artery
thromboembolic	Read2	7A4A311	Open thrombectomy of popliteal artery
thromboembolic	Read2	7A4B200	Percutaneous transluminal embolectomy of femoral artery
thromboembolic	Read2	7A4B300	Percutaneous transluminal embolectomy of popliteal artery
thromboembolic	Read2	8CMWA00	On deep vein thrombosis care pathway
thromboembolic	Read2	9kg..00	Deep vein thrombosis - enhanced services administration
thromboembolic	Read2	9kg0.00	Deep vein thrombosis stage 1 service level - enhanced services administration
thromboembolic	Read2	9kg0.11	Deep vein thrombosis enhanced services administration stage 1 service level
thromboembolic	Read2	9kg1.00	Deep vein thrombosis stage 2 service level - enhanced services administration
thromboembolic	Read2	9kg2.00	Deep vein thrombosis stage 3 service level - enhanced services administration
thromboembolic	Read2	F05..00	Phlebitis and thrombophlebitis of intracranial sinuses
thromboembolic	Read2	F050.00	Embolism of central nervous system venous sinus
thromboembolic	Read2	F050000	Embolism cavernous sinus
thromboembolic	Read2	F050100	Embolism superior longitudinal sinus
thromboembolic	Read2	F050300	Embolism transverse sinus
thromboembolic	Read2	F051.00	Thrombosis of central nervous system venous sinuses
thromboembolic	Read2	F051000	Thrombosis cavernous sinus
thromboembolic	Read2	F051100	Thrombosis of superior longitudinal sinus
thromboembolic	Read2	F051200	Thrombosis lateral sinus
thromboembolic	Read2	F051300	Thrombosis transverse sinus
thromboembolic	Read2	F051z00	Thrombosis of central nervous system venous sinus NOS
thromboembolic	Read2	F053.00	Thrombophlebitis of central nervous system venous sinuses
thromboembolic	Read2	F053000	Thrombophlebitis of cavernous sinus
thromboembolic	Read2	F053100	Thrombophlebitis of superior longitudinal venous sinus
thromboembolic	Read2	F05z.00	Phlebitis or thrombophlebitis of central nervous system venous sinus NOS
thromboembolic	Read2	G401.00	Pulmonary embolism
thromboembolic	Read2	G401.12	Pulmonary embolus
thromboembolic	Read2	G401000	Post operative pulmonary embolus
thromboembolic	Read2	G401100	Recurrent pulmonary embolism
thromboembolic	Read2	G676.00	Nonpyogenic venous sinus thrombosis
thromboembolic	Read2	G676000	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic
thromboembolic	Read2	G67A.00	Cerebral vein thrombosis
thromboembolic	Read2	G742400	Embolism and thrombosis of the femoral artery
thromboembolic	Read2	G742500	Embolism and thrombosis of the popliteal artery
thromboembolic	Read2	G742600	Embolism and thrombosis of the anterior tibial artery
thromboembolic	Read2	G742700	Embolism and thrombosis of the dorsalis pedis artery
thromboembolic	Read2	G742900	Embolism and thrombosis of a leg artery NOS
thromboembolic	Read2	G742z00	Peripheral arterial embolism and thrombosis NOS
thromboembolic	Read2	G74y000	Embolism and/or thrombosis of the common iliac artery
thromboembolic	Read2	G74y100	Embolism and/or thrombosis of the internal iliac artery
thromboembolic	Read2	G74y200	Embolism and/or thrombosis of the external iliac artery
thromboembolic	Read2	G74y300	Embolism and thrombosis of the iliac artery unspecified
thromboembolic	Read2	G801.00	Deep vein phlebitis and thrombophlebitis of the leg
thromboembolic	Read2	G801.11	Deep vein thrombosis
thromboembolic	Read2	G801.12	Deep vein thrombosis, leg
thromboembolic	Read2	G801.13	DVT - Deep vein thrombosis
thromboembolic	Read2	G801600	Thrombophlebitis of the femoral vein
thromboembolic	Read2	G801700	Thrombophlebitis of the popliteal vein
thromboembolic	Read2	G801800	Thrombophlebitis of the anterior tibial vein
thromboembolic	Read2	G801900	Thrombophlebitis of the dorsalis pedis vein
thromboembolic	Read2	G801A00	Thrombophlebitis of the posterior tibial vein
thromboembolic	Read2	G801B00	Deep vein thrombophlebitis of the leg unspecified
thromboembolic	Read2	G801C00	Deep vein thrombosis of leg related to air travel
thromboembolic	Read2	G801D00	Deep vein thrombosis of lower limb
thromboembolic	Read2	G801E00	Deep vein thrombosis of leg related to intravenous drug use
thromboembolic	Read2	G801F00	Deep vein thrombosis of peroneal vein
thromboembolic	Read2	G801G00	Recurrent deep vein thrombosis
thromboembolic	Read2	G801z00	Deep vein phlebitis and thrombophlebitis of the leg NOS
thromboembolic	Read2	G80y.11	Phlebitis and/or thrombophlebitis of iliac vein
thromboembolic	Read2	G80y400	Thrombophlebitis of the common iliac vein
thromboembolic	Read2	G80y500	Thrombophlebitis of the internal iliac vein
thromboembolic	Read2	G80y600	Thrombophlebitis of the external iliac vein
thromboembolic	Read2	G80y700	Thrombophlebitis of the iliac vein unspecified
thromboembolic	Read2	G80y800	Phlebitis and thrombophlebitis of the iliac vein NOS
thromboembolic	Read2	G81..00	Portal vein thrombosis
thromboembolic	Read2	G820.00	Budd - Chiari syndrome (hepatic vein thrombosis)
thromboembolic	Read2	G820.11	Hepatic vein thrombosis
thromboembolic	Read2	G822.00	Embolism and thrombosis of the vena cava
thromboembolic	Read2	G822000	Thrombosis of inferior vena cava
thromboembolic	Read2	G823.00	Embolism and thrombosis of the renal vein
thromboembolic	Read2	G824.00	Axillary vein thrombosis
thromboembolic	Read2	G825.00	Thrombosis of subclavian vein
thromboembolic	Read2	G826.00	Thrombosis of internal jugular vein
thromboembolic	Read2	G827.00	Thrombosis of external jugular vein
thromboembolic	Read2	Gyu8000	[X]Phlebitis and thrombophlebitis of other deep vessels of lower extremities
thromboembolic	Read2	J420200	Thrombus of the superior mesenteric veins
thromboembolic	Read2	SP12200	Post operative deep vein thrombosis
thromboembolic	Read2	ZV12800	[V] Personal history deep vein thrombosis
thromboembolic	Read2	ZV12811	[V] Personal history DVT- deep vein thrombosis
thromboembolic	Read2	ZV12900	[V] Personal history of pulmonary embolism
thromboembolic	CTV3	14A81Ya3Fb	H/O: Deep Vein Thrombosis
thromboembolic	CTV3	14AC.Ya04t	H/O: pulmonary embolus
thromboembolic	CTV3	7A093Y03GL	Open pulmonary embolectomy
thromboembolic	CTV3	7A093Y03GM	Trendelenburg pulmonary embolectomy
thromboembolic	CTV3	7A0A1Y03GN	Transluminal pulmonary embolectomy
thromboembolic	CTV3	7A0A1Ya1Ms	Percutaneous embolectomy of pulmonary artery
thromboembolic	CTV3	XaLgyYaopH	Pulmonary thromboendarterectomy
thromboembolic	CTV3	7A192Y03Mu	Open embolectomy of bifurcation of aorta
thromboembolic	CTV3	XE0FSY03Md	Open embolectomy of iliac artery
thromboembolic	CTV3	XM1M5Y03Me	Open embolectomy of common iliac artery
thromboembolic	CTV3	7A441Y03Mc	Percutaneous transluminal embolectomy of iliac artery
thromboembolic	CTV3	7A4A2Y03N9	Open embolectomy of femoral artery
thromboembolic	CTV3	7A4A2Y03NA	Open femoral embolectomy
thromboembolic	CTV3	7A4A2Y03NB	Open thrombectomy of femoral artery
thromboembolic	CTV3	7A4A3Y03NE	Open embolectomy popliteal artery
thromboembolic	CTV3	7A4A3Y03NF	Open thrombectomy of popliteal artery
thromboembolic	CTV3	7A4B2Y03N8	Percutaneous transluminal embolectomy of femoral artery
thromboembolic	CTV3	7A4B3Y03ND	Percutaneous transluminal embolectomy of popliteal artery
thromboembolic	CTV3	XaaBGYaw3h	On deep vein thrombosis care pathway
thromboembolic	CTV3	XaQ8UYasjj	NA
thromboembolic	CTV3	XaQ8UYatVI	Deep vein thrombosis enhanced services administration
thromboembolic	CTV3	XaQHwYasrA	NA
thromboembolic	CTV3	XaQHwYatVK	Deep vein thrombosis enhanced services administration stage 1 service level
thromboembolic	CTV3	XaQHxYasrC	NA
thromboembolic	CTV3	XaQHxYatVL	Deep vein thrombosis enhanced services administration stage 2 service level
thromboembolic	CTV3	XaQHyYasrE	NA
