condition	vocab_id	code	description
ulcer_peptic	ICD10	K25	Gastric ulcer
ulcer_peptic	ICD10	K26	Duodenal ulcer
ulcer_peptic	ICD10	K27	Peptic ulcer, site unspecified
ulcer_peptic	ICD10	K28	Gastrojejunal ulcer
ulcer_peptic	Read2	14C1.00	H/O: peptic ulcer
ulcer_peptic	Read2	14C1.11	H/O: duodenal ulcer
ulcer_peptic	Read2	14C1.12	H/O: gastric ulcer
ulcer_peptic	Read2	7612111	Balfour excision of gastric ulcer
ulcer_peptic	Read2	7612500	Resection of gastric ulcer by cautery
ulcer_peptic	Read2	761D500	Endoscopic injection haemostasis of duodenal ulcer
ulcer_peptic	Read2	761D600	Endoscopic injection haemostasis of gastric ulcer
ulcer_peptic	Read2	761J.00	Operations on gastric ulcer
ulcer_peptic	Read2	761J.11	Stomach ulcer operations
ulcer_peptic	Read2	761J000	Closure of perforated gastric ulcer
ulcer_peptic	Read2	761J100	Closure of gastric ulcer NEC
ulcer_peptic	Read2	761J111	Suture of ulcer of stomach NEC
ulcer_peptic	Read2	761Jy00	Other specified operation on gastric ulcer
ulcer_peptic	Read2	761Jz00	Operation on gastric ulcer NOS
ulcer_peptic	Read2	7627.00	Operations on duodenal ulcer
ulcer_peptic	Read2	7627000	Closure of perforated duodenal ulcer
ulcer_peptic	Read2	7627100	Suture of duodenal ulcer not elsewhere classified
ulcer_peptic	Read2	7627200	Oversew of blood vessel of duodenal ulcer
ulcer_peptic	Read2	7627y00	Other specified operation on duodenal ulcer
ulcer_peptic	Read2	7627z00	Operation on duodenal ulcer NOS
ulcer_peptic	Read2	J11..00	Gastric ulcer - (GU)
ulcer_peptic	Read2	J11..11	Prepyloric ulcer
ulcer_peptic	Read2	J11..12	Pyloric ulcer
ulcer_peptic	Read2	J111.00	Chronic gastric ulcer
ulcer_peptic	Read2	J111000	Chronic gastric ulcer without mention of complication
ulcer_peptic	Read2	J111100	Chronic gastric ulcer with haemorrhage
ulcer_peptic	Read2	J111111	Bleeding chronic gastric ulcer
ulcer_peptic	Read2	J111200	Chronic gastric ulcer with perforation
ulcer_peptic	Read2	J111211	Perforated chronic gastric ulcer
ulcer_peptic	Read2	J111300	Chronic gastric ulcer with haemorrhage and perforation
ulcer_peptic	Read2	J111400	Chronic gastric ulcer with obstruction
ulcer_peptic	Read2	J111y00	Chronic gastric ulcer unspecified
ulcer_peptic	Read2	J111z00	Chronic gastric ulcer NOS
ulcer_peptic	Read2	J112.00	Anti-platelet induced gastric ulcer
ulcer_peptic	Read2	J112z00	Anti-platelet induced gastric ulcer NOS
ulcer_peptic	Read2	J113.00	Non steroidal anti inflammatory drug induced gastric ulcer
ulcer_peptic	Read2	J113z00	Non steroidal anti inflammatory drug induced gastric ulcer NOS
ulcer_peptic	Read2	J11y.00	Unspecified gastric ulcer
ulcer_peptic	Read2	J11y000	Unspecified gastric ulcer without mention of complication
ulcer_peptic	Read2	J11y100	Unspecified gastric ulcer with haemorrhage
ulcer_peptic	Read2	J11y200	Unspecified gastric ulcer with perforation
ulcer_peptic	Read2	J11y400	Unspecified gastric ulcer with obstruction
ulcer_peptic	Read2	J11yy00	Unspecified gastric ulcer with unspecified haemorrhage and/or perforation
ulcer_peptic	Read2	J11yz00	Unspecified gastric ulcer NOS
ulcer_peptic	Read2	J11z.00	Gastric ulcer NOS
ulcer_peptic	Read2	J11z.11	Gastric erosions
ulcer_peptic	Read2	J11z.12	Multiple gastric ulcers
ulcer_peptic	Read2	J12..00	Duodenal ulcer - (DU)
ulcer_peptic	Read2	J121.00	Chronic duodenal ulcer
ulcer_peptic	Read2	J121000	Chronic duodenal ulcer without mention of complication
ulcer_peptic	Read2	J121100	Chronic duodenal ulcer with haemorrhage
ulcer_peptic	Read2	J121111	Bleeding chronic duodenal ulcer
ulcer_peptic	Read2	J121200	Chronic duodenal ulcer with perforation
ulcer_peptic	Read2	J121211	Perforated chronic duodenal ulcer
ulcer_peptic	Read2	J121300	Chronic duodenal ulcer with haemorrhage and perforation
ulcer_peptic	Read2	J121400	Chronic duodenal ulcer with obstruction
ulcer_peptic	Read2	J121y00	Chronic duodenal ulcer unspecified
ulcer_peptic	Read2	J121z00	Chronic duodenal ulcer NOS
ulcer_peptic	Read2	J122.00	Duodenal ulcer disease
ulcer_peptic	Read2	J123.00	Duodenal erosion
ulcer_peptic	Read2	J124.00	Recurrent duodenal ulcer
ulcer_peptic	Read2	J125.00	Anti-platelet induced duodenal ulcer
ulcer_peptic	Read2	J126.00	Non steroidal anti inflammatory drug induced duodenal ulcer
ulcer_peptic	Read2	J12y.00	Unspecified duodenal ulcer
ulcer_peptic	Read2	J12y000	Unspecified duodenal ulcer without mention of complication
ulcer_peptic	Read2	J12y100	Unspecified duodenal ulcer with haemorrhage
ulcer_peptic	Read2	J12y200	Unspecified duodenal ulcer with perforation
ulcer_peptic	Read2	J12y300	Unspecified duodenal ulcer with haemorrhage and perforation
ulcer_peptic	Read2	J12y400	Unspecified duodenal ulcer with obstruction
ulcer_peptic	Read2	J12yy00	Unspecified duodenal ulcer with unspecified haemorrhage and/or perforation
ulcer_peptic	Read2	J12yz00	Unspecified duodenal ulcer NOS
ulcer_peptic	Read2	J12z.00	Duodenal ulcer NOS
ulcer_peptic	Read2	J13..00	Peptic ulcer - (PU) site unspecified
ulcer_peptic	Read2	J13..11	Stress ulcer NOS
ulcer_peptic	Read2	J131.00	Chronic peptic ulcer
ulcer_peptic	Read2	J131000	Chronic peptic ulcer without mention of complication
ulcer_peptic	Read2	J131100	Chronic peptic ulcer with haemorrhage
ulcer_peptic	Read2	J131200	Chronic peptic ulcer with perforation
ulcer_peptic	Read2	J131400	Chronic peptic ulcer with obstruction
ulcer_peptic	Read2	J131y00	Chronic peptic ulcer unspecified
ulcer_peptic	Read2	J131z00	Chronic peptic ulcer NOS
ulcer_peptic	Read2	J13y.00	Unspecified peptic ulcer
ulcer_peptic	Read2	J13y000	Unspecified peptic ulcer without mention of complication
ulcer_peptic	Read2	J13y100	Unspecified peptic ulcer with haemorrhage
ulcer_peptic	Read2	J13y200	Unspecified peptic ulcer with perforation
ulcer_peptic	Read2	J13y300	Unspecified peptic ulcer with haemorrhage and perforation
ulcer_peptic	Read2	J13y400	Unspecified peptic ulcer with obstruction
ulcer_peptic	Read2	J13yz00	Unspecified peptic ulcer NOS
ulcer_peptic	Read2	J13z.00	Peptic ulcer NOS
ulcer_peptic	Read2	J14..00	Gastrojejunal ulcer (GJU)
ulcer_peptic	Read2	J14..11	Anastomotic ulcer
ulcer_peptic	Read2	J14..12	Gastrocolic ulcer
ulcer_peptic	Read2	J14..13	Jejunal ulcer
ulcer_peptic	Read2	J141.00	Chronic gastrojejunal ulcer
ulcer_peptic	Read2	J141300	Chronic gastrojejunal ulcer with haemorrhage and perforation
