condition	vocab_id	code	description
urine_incont	ICD10	N39.3	Stress incontinence
urine_incont	ICD10	N39.4	Other specified urinary incontinence
urine_incont	ICD10	R32	Unspecified urinary incontinence
urine_incont	Read2	1593.00	H/O: stress incontinence
urine_incont	Read2	16F..00	Double incontinence
urine_incont	Read2	1A23.00	Incontinence of urine
urine_incont	Read2	1A24.00	Stress incontinence
urine_incont	Read2	1A24.11	Stress incontinence - symptom
urine_incont	Read2	1A26.00	Urge incontinence of urine
urine_incont	Read2	3940.00	Bladder: incontinent
urine_incont	Read2	7B33800	Insertion of retropubic device for stress urinary incontinence NEC
urine_incont	Read2	7B33C00	Insertion of retropubic device for female stress urinary incontinence NEC
urine_incont	Read2	7B42111	Insertion of Kaufman prosthesis for male incontinence
urine_incont	Read2	7B42113	Insertion of Rosen prosthesis for male incontinence
urine_incont	Read2	8C14.00	Incontinence care
urine_incont	Read2	8D7..12	Incontinence control
urine_incont	Read2	8D71.00	Incontinence control
urine_incont	Read2	8HTX.00	Referral to incontinence clinic
urine_incont	Read2	K198.00	Stress incontinence
urine_incont	Read2	K586.00	Stress incontinence - female
urine_incont	Read2	Kyu5A00	[X]Other specified urinary incontinence
urine_incont	Read2	R083.00	[D]Incontinence of urine
urine_incont	Read2	R083100	[D]Urethral sphincter incontinence
urine_incont	Read2	R083200	[D] Urge incontinence
urine_incont	Read2	R083z00	[D]Incontinence of urine NOS
urine_incont	Read2	Z9EA.00	Provision of incontinence appliance
urine_incont	Read2	1A23000	Functional urinary incontinence
urine_incont	Read2	7B35y99	Urinary incontinence/sling open
urine_incont	Read2	7B31.99	Urinary incontinence/sling open
urine_incont	CTV3	1593.YM0YW	H/O: stress incontinence
urine_incont	CTV3	X30C5Y30cj	Double incontinence
urine_incont	CTV3	1A23.Y31ph	Incontinence of urine
urine_incont	CTV3	XabdFYaxQ5	Functional urinary incontinence
urine_incont	CTV3	XE0rRY31pn	Stress incontinence
urine_incont	CTV3	XE0rRY31pm	Genuine stress incontinence
urine_incont	CTV3	1A26.Y31ps	Urge incontinence of urine
urine_incont	CTV3	3940.Y7GLr	Bladder: incontinent
urine_incont	CTV3	XaMAmYapJU	Insertion of retropubic device for stress urinary incontinence NEC
urine_incont	CTV3	XaMtfYapvw	Insertion of retropubic device for female stress urinary incontinence NEC
urine_incont	CTV3	7B421Y30uB	Insertion of Kaufman prosthesis for male incontinence
urine_incont	CTV3	XE0GhY30u7	Implantation of bulbar urethral prosthesis for incontinence
urine_incont	CTV3	XE0GhY30u9	Insertion of prosthesis for compression of bulb of male urethra
urine_incont	CTV3	7B421Y30uD	Insertion of Rosen prosthesis for male incontinence
urine_incont	CTV3	8C14.Y75YN	Incontinence care
urine_incont	CTV3	XE0knYM1jz	Incontinence control
