condition	vocab_id	code	description
urolithiasis	ICD10	N13.2	Hydronephrosis with renal and ureteral calculous obstruction
urolithiasis	ICD10	N20	Calculus of kidney and ureter
urolithiasis	ICD10	N21	Calculus of lower urinary tract
urolithiasis	ICD10	N22	Calculus of urinary tract in diseases classified elsewhere
urolithiasis	Read2	14D3.00	H/O: urinary stone
urolithiasis	Read2	4G4..00	O/E: renal calculus
urolithiasis	Read2	4G4..11	O/E: kidney stone
urolithiasis	Read2	4G41.00	O/E: oxalate renal calculus
urolithiasis	Read2	4G42.00	O/E: phosphate -staghorn-stone
urolithiasis	Read2	4G42.11	Phosphate kidney stone
urolithiasis	Read2	4G43.00	O/E: uric acid renal calculus
urolithiasis	Read2	4G44.00	O/E: cystine renal calculus
urolithiasis	Read2	4G4Z.00	O/E: renal stone NOS
urolithiasis	Read2	4G6..00	O/E - ureteric calculus
urolithiasis	Read2	4G7..00	O/E - urethral calculus
urolithiasis	Read2	4G8..00	O/E - bladder calculus
urolithiasis	Read2	4G81.00	O/E - vesical oxalate calculus
urolithiasis	Read2	4G81.11	Oxalate bladder stone
urolithiasis	Read2	4G82.00	O/E-vesical uric acid calculus
urolithiasis	Read2	4G82.11	Uric acid bladder stone
urolithiasis	Read2	4G83.00	O/E-vesical phosphate calculus
urolithiasis	Read2	4G83.11	Phosphate bladder stone
urolithiasis	Read2	4G8Z.00	O/E - bladder calculus NOS
urolithiasis	Read2	7B05000	Unspecified open removal of calculus from kidney
urolithiasis	Read2	7B07.00	Percutaneous renal stone surgery
urolithiasis	Read2	7B07.11	Nephroscopic percutaneous lithotripsy of renal calculus
urolithiasis	Read2	7B07.12	Percutaneous lithotripsy of renal calculus
urolithiasis	Read2	7B07000	Nephroscopy and ultrasound lithotripsy of renal calculus
urolithiasis	Read2	7B07011	Endoscopic ultrasound fragmentation of renal calculus
urolithiasis	Read2	7B07100	Nephroscopy and electrohydraulic lithotripsy of renal calculus
urolithiasis	Read2	7B07200	Nephroscopy and laser lithotripsy of renal calculus
urolithiasis	Read2	7B07211	Endoscopic laser fragmentation of renal calculus
urolithiasis	Read2	7B07400	Endoscopic extraction of calculus of kidney nec
urolithiasis	Read2	7B07y00	Other specified percutaneous renal stone surgery
urolithiasis	Read2	7B07z00	Percutaneous renal stone surgery NOS
urolithiasis	Read2	7B0B.00	Extracorporeal shockwave lithotripsy for renal calculus
urolithiasis	Read2	7B0B.11	Extracorporeal fragmentation of renal calculus
urolithiasis	Read2	7B0B000	Extracorporeal shockwave lithotripsy for renal calculus of unspecified size
urolithiasis	Read2	7B0B100	Extracorporeal shockwave lithotripsy for renal calculus less than 2 cm in diameter
urolithiasis	Read2	7B0B200	Extracorporeal shockwave treatment for renal calculus of 2 cm or more in diameter
urolithiasis	Read2	7B0By00	Other specified extracorporeal shockwave lithotripsy for renal calculus
urolithiasis	Read2	7B0Bz00	Extracorporeal shockwave lithotripsy for renal calculus NOS
urolithiasis	Read2	7B17000	Nephroscopic laser lithotripsy of ureteric calculus
urolithiasis	Read2	7B17011	Nephroscopic laser fragmentation of ureteric calculus
urolithiasis	Read2	7B17100	Other nephroscopic fragmentation of ureteric calculus
urolithiasis	Read2	7B17111	Other nephroscopic lithotripsy of ureteric calculus
urolithiasis	Read2	7B17200	Nephroscopic extraction of ureteric calculus
urolithiasis	Read2	7B18.00	Ureteroscopic operations for ureteric calculus
urolithiasis	Read2	7B18000	Ureteroscopic laser lithotripsy of ureteric calculus
urolithiasis	Read2	7B18011	Ureteroscopic laser fragmentation of ureteric calculus
