condition	vocab_id	code	description
valve_nonrheumatic	ICD10	I34	Nonrheumatic mitral valve disordersd
valve_nonrheumatic	ICD10	I35	Nonrheumatic aortic valve disorders
valve_nonrheumatic	Read2	G11..00	Mitral valve diseases
valve_nonrheumatic	Read2	G114.00	Ruptured mitral valve cusp
valve_nonrheumatic	Read2	G11z.00	Mitral valve disease NOS
valve_nonrheumatic	Read2	G540.00	Mitral valve incompetence
valve_nonrheumatic	Read2	G540.12	Mitral valve insufficiency
valve_nonrheumatic	Read2	G540.14	Mitral valve regurgitation
valve_nonrheumatic	Read2	G540.15	Mitral valve prolapse
valve_nonrheumatic	Read2	G540.16	Mitral regurgitation
valve_nonrheumatic	Read2	G540000	Mitral incompetence, non-rheumatic
valve_nonrheumatic	Read2	G540100	Mitral incompetence, cause unspecified
valve_nonrheumatic	Read2	G540200	Mitral valve prolapse
valve_nonrheumatic	Read2	G540300	Mitral valve leaf prolapse
valve_nonrheumatic	Read2	G540z00	Mitral valve disorders NOS
valve_nonrheumatic	Read2	G541.00	Aortic valve disorders
valve_nonrheumatic	Read2	G541000	Aortic incompetence, non-rheumatic
valve_nonrheumatic	Read2	G541011	Aortic insufficiency, non-rheumatic
valve_nonrheumatic	Read2	G541012	Aortic regurgitation, non-rheumatic
valve_nonrheumatic	Read2	G541100	Aortic stenosis, non-rheumatic
valve_nonrheumatic	Read2	G541200	Aortic incompetence alone, cause unspecified
valve_nonrheumatic	Read2	G541211	Aortic insufficiency alone, cause unspecified
valve_nonrheumatic	Read2	G541212	Aortic regurgitation alone, cause unspecified
valve_nonrheumatic	Read2	G541300	Aortic stenosis alone, cause unspecified
valve_nonrheumatic	Read2	G541400	Aortic valve stenosis with insufficiency
valve_nonrheumatic	Read2	G541500	Aortic stenosis
valve_nonrheumatic	Read2	G541600	Aortic valve sclerosis
valve_nonrheumatic	Read2	G541700	Aortic valve calcification
valve_nonrheumatic	Read2	G541z00	Aortic valve disorders NOS
valve_nonrheumatic	Read2	Gyu1000	[X]Other mitral valve diseases
valve_nonrheumatic	Read2	Gyu1100	[X]Other rheumatic aortic valve diseases
valve_nonrheumatic	Read2	Gyu5500	[X]Other nonrheumatic mitral valve disorders
valve_nonrheumatic	Read2	Gyu5600	[X]Other aortic valve disorders
valve_nonrheumatic	Read2	Gyu5A00	[X]Aortic valve disorders in diseases classified elsewhere
valve_nonrheumatic	CTV3	XE0UYY204W	Mitral valve disease
valve_nonrheumatic	CTV3	X7787Y7Fpa	Perforated mitral leaflet
valve_nonrheumatic	CTV3	X7787Y7FpZ	Torn mitral leaflet
valve_nonrheumatic	CTV3	G11z.Y204Z	Mitral valve disease NOS
valve_nonrheumatic	CTV3	XE0UxY204k	Mitral regurgitation
valve_nonrheumatic	CTV3	XE0UxY204o	Mitral incompetence
valve_nonrheumatic	CTV3	XE0UxY204l	Mitral valve insufficiency
valve_nonrheumatic	CTV3	X200uY204y	Mitral valve prolapse
valve_nonrheumatic	CTV3	XE0UxY204p	Mitral valve regurgitation
valve_nonrheumatic	CTV3	G5400Y204v	Mitral incompetence, non-rheumatic
valve_nonrheumatic	CTV3	G5401Y204w	Mitral incompetence, cause unspecified
valve_nonrheumatic	CTV3	X777qYaXHq	Mitral valve leaf prolapse
valve_nonrheumatic	CTV3	G540zY204Y	Mitral valve disorders NOS
valve_nonrheumatic	CTV3	G541.Y205E	Aortic valve disease
valve_nonrheumatic	CTV3	G5410Y205e	Aortic incompetence, non-rheumatic
valve_nonrheumatic	CTV3	G5410Y205g	Aortic insufficiency, non-rheumatic
valve_nonrheumatic	CTV3	G5410Y205f	Aortic regurgitation, non-rheumatic
valve_nonrheumatic	CTV3	G5411Y205M	Aortic stenosis, non-rheumatic
valve_nonrheumatic	CTV3	G5412Y205b	Aortic incompetence alone, cause unspecified
valve_nonrheumatic	CTV3	G5412Y205c	Aortic insufficiency alone, cause unspecified
valve_nonrheumatic	CTV3	G5412Y205d	Aortic regurgitation alone, cause unspecified
valve_nonrheumatic	CTV3	G5413Y205L	Aortic stenosis alone, cause unspecified
valve_nonrheumatic	CTV3	G5414YMAzK	Aortic valve stenosis with insufficiency
valve_nonrheumatic	CTV3	X2011Y205I	Aortic stenosis
