condition	vocab_id	code	description
visual_impairment	ICD10	H54.0	Blindness, binocular
visual_impairment	ICD10	H54.1	Severe visual impairment, binocular
visual_impairment	ICD10	H54.2	Moderate visual impairment, binocular
visual_impairment	ICD10	H54.4	Blindness, monocular
visual_impairment	ICD10	H54.5	Severe visual impairment, monocular
visual_impairment	ICD10	H54.6	Moderate visual impairment, monocular
visual_impairment	ICD10	H54.7	Unspecified visual loss
visual_impairment	ICD10	H54.8	Legal blindness, as defined in USA
visual_impairment	ICD10	H54.9	Unspecified visual impairment (binocular)
visual_impairment	Read2	1B75.00	Loss of vision
visual_impairment	Read2	2B6A.11	O/E - blind R-eye
visual_impairment	Read2	2B6B.00	O/E - R-eye completely blind
visual_impairment	Read2	2B6S.00	O/E - pinhole R-eye completely blind
visual_impairment	Read2	2B7A.11	O/E - blind L-eye
visual_impairment	Read2	2B7B.00	O/E - L-eye completely blind
visual_impairment	Read2	2B7S.00	O/E - pinhole L-eye completely blind
visual_impairment	Read2	2BBo.00	O/E - sight threatening diabetic retinopathy
visual_impairment	Read2	2BBr.00	Impaired vision due to diabetic retinopathy
visual_impairment	Read2	6688.00	Registered partially sighted
visual_impairment	Read2	6688.11	Registered partially blind
visual_impairment	Read2	6689.00	Registered blind
visual_impairment	Read2	6689.11	Registered severely sight impaired
visual_impairment	Read2	668D.00	Registered sight impaired
visual_impairment	Read2	8F6..11	Blind rehabilitation
visual_impairment	Read2	8F61.00	Blind rehabilitation
visual_impairment	Read2	8F62.00	Blind lead dog rehabilitation
visual_impairment	Read2	8HlE.00	Referral to visual impairment multidisciplinary team
visual_impairment	Read2	9m08.00	Excluded from diabetic retinopathy screening as blind
visual_impairment	Read2	9NfB.00	Requires deafblind communicator guide
visual_impairment	Read2	9NlD.00	Seen by visual impairment teacher
visual_impairment	Read2	F404100	Blind hypotensive eye
visual_impairment	Read2	F404200	Blind hypertensive eye
visual_impairment	Read2	F49..00	Blindness and low vision
visual_impairment	Read2	F49..11	Impaired vision
visual_impairment	Read2	F49..13	Partial sight
visual_impairment	Read2	F49..14	Sight impaired
visual_impairment	Read2	F490.00	Blindness, both eyes
visual_impairment	Read2	F490000	Unspecified blindness both eyes
visual_impairment	Read2	F490100	Both eyes total visual impairment
visual_impairment	Read2	F490200	Better eye: near total visual impairment, Lesser eye: unspecified
visual_impairment	Read2	F490400	Better eye: near total visual impairment, Lesser eye: near total visual impairment
visual_impairment	Read2	F490600	Better eye: profound visual impairment, Lesser eye: total visual impairment
visual_impairment	Read2	F490900	Acquired blindness, both eyes
visual_impairment	Read2	F490z00	Blindness both eyes NOS
