condition	vocab_id	code	description
AAA	ICD10	I71.4	Abdominal aortic aneurysm, without mention of rupture
AAA	ICD10	I71.6	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	ICD10	I71.9	Aortic aneurysm of unspecified site, without mention of rupture
AAA	Read2	14AE.00	H/O: aortic aneurysm
AAA	Read2	7A11000	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
AAA	Read2	7A11200	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
AAA	Read2	7A11211	Y graft of abdominal Aortic aneurysm (emergency)
AAA	Read2	7A13.00	Emergency replacement of aneurysmal segment of aorta
AAA	Read2	7A13.11	Emergency repair of aortic aneurysm
AAA	Read2	7A13300	Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
AAA	Read2	7A13400	Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
AAA	Read2	7A13411	Tube graft abdominal Aortic aneurysm (emergency)
AAA	Read2	7A13y00	Other specified emergency replacement of aneurysmal segment of aorta
AAA	Read2	7A13z00	Emergency replacement of aneurysmal segment of aorta NOS
AAA	Read2	G714.00	Abdominal aortic aneurysm without mention of rupture
AAA	Read2	G714.11	AAA - Abdominal aortic aneurysm without mention of rupture
AAA	Read2	G716.00	Aortic aneurysm without mention of rupture NOS
AAA	Read2	G716000	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	CTV3	14AE.Ya3Fe	H/O: aortic aneurysm
AAA	CTV3	7A110Y03Sg	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
AAA	CTV3	XE0EyY03Se	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
AAA	CTV3	X015vY03Sd	Y graft of abdominal Aortic aneurysm (emergency)
AAA	CTV3	7A13.Y03Ro	Emergency replacement of aneurysmal segment of aorta
AAA	CTV3	7A13.Y03Rp	Emergency repair of aortic aneurysm
AAA	CTV3	7A133Y03UO	Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
AAA	CTV3	XE0F2Y03UN	Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
AAA	CTV3	X015yY03Sl	Tube graft abdominal Aortic aneurysm (emergency)
AAA	CTV3	7A13yY03Rr	Other specified emergency replacement of aneurysmal segment of aorta
AAA	CTV3	7A13zY03Rq	Emergency replacement of aneurysmal segment of aorta NOS
AAA	CTV3	G714.Y20Hn	Abdominal aortic aneurysm without mention of rupture
AAA	CTV3	G714.YaRkM	AAA - Abdominal aortic aneurysm without mention of rupture
AAA	CTV3	G716.Y20Ha	Aortic aneurysm without mention of rupture NOS
AAA	CTV3	G7160YMAjg	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	medcodeid	271446014	Emergency replacement of aneurysmal segment of aorta
AAA	medcodeid	300447015	Aortic aneurysm without mention of rupture NOS
AAA	medcodeid	300448013	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	medcodeid	640221000006110	Emergency replacement of aneurysmal segment of aorta OS
AAA	medcodeid	349689013	Y graft of abdominal Aortic aneurysm (emergency)
AAA	medcodeid	300441019	Abdominal aortic aneurysm without mention of rupture
AAA	medcodeid	251699010	H/O: aortic aneurysm
AAA	medcodeid	349694013	Tube graft abdominal Aortic aneurysm (emergency)
AAA	medcodeid	271447017	Emergency repair of aortic aneurysm
AAA	medcodeid	271456013	Emergency replacement of aneurysmal segment of aorta NOS
AAA	medcodeid	639641000006113	Emerg repl aneurysm bifurc aorta by anast aorta to fem art
AAA	medcodeid	639651000006110	Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
AAA	medcodeid	639721000006114	Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
AAA	medcodeid	300442014	AAA - Abdominal aortic aneurysm without mention of rupture
AAA	medcodeid	639811000006110	Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
AAA	SNOMEDCT	175297006	Emergency replacement of aneurysmal segment of aorta
AAA	SNOMEDCT	67362008	Aortic aneurysm without mention of rupture NOS
AAA	SNOMEDCT	233984007	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	SNOMEDCT	175297006	Emergency replacement of aneurysmal segment of aorta OS
AAA	SNOMEDCT	233374003	Y graft of abdominal Aortic aneurysm (emergency)
AAA	SNOMEDCT	233985008	Abdominal aortic aneurysm without mention of rupture
AAA	SNOMEDCT	161514008	H/O: aortic aneurysm
AAA	SNOMEDCT	233377005	Tube graft abdominal Aortic aneurysm (emergency)
AAA	SNOMEDCT	175297006	Emergency repair of aortic aneurysm
AAA	SNOMEDCT	175297006	Emergency replacement of aneurysmal segment of aorta NOS
AAA	SNOMEDCT	175283003	Emerg repl aneurysm bifurc aorta by anast aorta to fem art
AAA	SNOMEDCT	265492000	Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
AAA	SNOMEDCT	123679006	Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
AAA	SNOMEDCT	233985008	AAA - Abdominal aortic aneurysm without mention of rupture
AAA	SNOMEDCT	175301002	Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
AAA	Read2_5digit	14AE.	H/O: aortic aneurysm
AAA	Read2_5digit	7A110	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
AAA	Read2_5digit	7A112	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
AAA	Read2_5digit	7A13.	Emergency replacement of aneurysmal segment of aorta
AAA	Read2_5digit	7A133	Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
AAA	Read2_5digit	7A134	Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
AAA	Read2_5digit	7A13y	Other specified emergency replacement of aneurysmal segment of aorta
AAA	Read2_5digit	7A13z	Emergency replacement of aneurysmal segment of aorta NOS
AAA	Read2_5digit	G714.	Abdominal aortic aneurysm without mention of rupture
AAA	Read2_5digit	G716.	Aortic aneurysm without mention of rupture NOS
AAA	Read2_5digit	G7160	Thoracoabdominal aortic aneurysm, without mention of rupture
AAA	CTV3_5digit	14AE.	H/O: aortic aneurysm
AAA	CTV3_5digit	7A110	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
AAA	CTV3_5digit	XE0Ey	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
AAA	CTV3_5digit	X015v	Y graft of abdominal Aortic aneurysm (emergency)
AAA	CTV3_5digit	7A13.	Emergency replacement of aneurysmal segment of aorta
AAA	CTV3_5digit	7A133	Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
AAA	CTV3_5digit	XE0F2	Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
AAA	CTV3_5digit	X015y	Tube graft abdominal Aortic aneurysm (emergency)
AAA	CTV3_5digit	7A13y	Other specified emergency replacement of aneurysmal segment of aorta
AAA	CTV3_5digit	7A13z	Emergency replacement of aneurysmal segment of aorta NOS
AAA	CTV3_5digit	G714.	Abdominal aortic aneurysm without mention of rupture
AAA	CTV3_5digit	G716.	Aortic aneurysm without mention of rupture NOS
AAA	CTV3_5digit	G7160	Thoracoabdominal aortic aneurysm, without mention of rupture
AF	ICD10	I48	Atrial fibrillation and flutter
AF	Read2	14AN.00	H/O: atrial fibrillation
AF	Read2	14AR.00	History of atrial flutter
AF	Read2	212R.00	Atrial fibrillation resolved
AF	Read2	3272.00	ECG: atrial fibrillation
AF	Read2	3273.00	ECG: atrial flutter
AF	Read2	662S.00	Atrial fibrillation monitoring
AF	Read2	6A9..00	Atrial fibrillation annual review
AF	Read2	9hF..00	Exception reporting: atrial fibrillation quality indicators
AF	Read2	9hF1.00	Excepted from atrial fibrillation quality indicators: Informed dissent
AF	Read2	9Os..00	Atrial fibrillation monitoring administration
AF	Read2	9Os0.00	Atrial fibrillation monitoring first letter
AF	Read2	9Os1.00	Atrial fibrillation monitoring second letter
AF	Read2	9Os2.00	Atrial fibrillation monitoring third letter
AF	Read2	9Os3.00	Atrial fibrillation monitoring verbal invite
AF	Read2	9Os4.00	Atrial fibrillation monitoring telephone invite
AF	Read2	G573.00	Atrial fibrillation and flutter
AF	Read2	G573000	Atrial fibrillation
AF	Read2	G573100	Atrial flutter
AF	Read2	G573200	Paroxysmal atrial fibrillation
AF	Read2	G573300	Non-rheumatic atrial fibrillation
AF	Read2	G573400	Permanent atrial fibrillation
AF	Read2	G573500	Persistent atrial fibrillation
AF	Read2	G573z00	Atrial fibrillation and flutter NOS
AF	CTV3	XaDv6Yae1S	H/O: atrial fibrillation
AF	CTV3	XaNRAYaqSA	History of atrial flutter
AF	CTV3	XaLFzYaoJn	Atrial fibrillation resolved
AF	CTV3	3272.Y7Fux	ECG: atrial fibrillation
AF	CTV3	3273.Y7FuP	ECG: atrial flutter
AF	CTV3	XaIITYakgl	Atrial fibrillation monitoring
AF	CTV3	XaMGDYapQV	Atrial fibrillation annual review
AF	CTV3	XaLFhYaoJH	Exception reporting: atrial fibrillation quality indicators
AF	CTV3	XaLFjYaoJL	Excepted from atrial fibrillation quality indicators: Informed dissent
AF	CTV3	XaMDFYapMi	Atrial fibrillation monitoring administration
AF	CTV3	XaMDGYapMk	Atrial fibrillation monitoring first letter
AF	CTV3	XaMDHYapMm	Atrial fibrillation monitoring second letter
AF	CTV3	XaMDIYapMo	Atrial fibrillation monitoring third letter
AF	CTV3	XaMDKYapMr	Atrial fibrillation monitoring verbal invite
AF	CTV3	XaMFnYapPu	Atrial fibrillation monitoring telephone invite
AF	CTV3	G573.Y20AM	Atrial fibrillation and flutter
AF	CTV3	G5730Y20AP	Atrial fibrillation
AF	CTV3	G5731Y20AO	Atrial flutter
AF	CTV3	Xa2E8Ya49r	Paroxysmal atrial fibrillation
AF	CTV3	X202SY20AS	Non-rheumatic atrial fibrillation
AF	CTV3	XaOftYarAt	Permanent atrial fibrillation
AF	CTV3	XaOfaYarAa	Persistent atrial fibrillation
AF	CTV3	G573zY20AN	Atrial fibrillation and flutter NOS
AF	medcodeid	82343012	Atrial fibrillation
AF	medcodeid	256478018	ECG: atrial fibrillation
AF	medcodeid	256479014	ECG: atrial flutter
AF	medcodeid	300130013	Atrial fibrillation and flutter
AF	medcodeid	350465014	Non-rheumatic atrial fibrillation
AF	medcodeid	2692063011	History of atrial flutter
AF	medcodeid	294601000000110	Atrial fibrillation resolved
AF	medcodeid	406861000000119	Atrial fibrillation annual review
AF	medcodeid	408081000000116	Atrial fibrillation monitoring first letter
AF	medcodeid	408121000000118	Atrial fibrillation monitoring third letter
AF	medcodeid	408141000000113	Atrial fibrillation monitoring verbal invite
AF	medcodeid	636701000000115	Persistent atrial fibrillation
AF	medcodeid	636721000000112	Permanent atrial fibrillation
AF	medcodeid	294171000000112	Exception reporting: atrial fibrillation quality indicators
AF	medcodeid	1000031000006118	Excepted from atrial fibrillation qual indic: Inform dissent
AF	medcodeid	9988012	Atrial flutter
AF	medcodeid	408101000000110	Atrial fibrillation monitoring second letter
AF	medcodeid	408241000000115	Atrial fibrillation monitoring telephone invite
AF	medcodeid	406251000000118	Atrial fibrillation monitoring administration
AF	medcodeid	421235014	Paroxysmal atrial fibrillation
AF	medcodeid	456154015	H/O: atrial fibrillation
AF	medcodeid	300132017	Atrial fibrillation and flutter NOS
AF	medcodeid	216183015	Atrial fibrillation monitoring
AF	SNOMEDCT	49436004	Atrial fibrillation
AF	SNOMEDCT	164889003	ECG: atrial fibrillation
AF	SNOMEDCT	164890007	ECG: atrial flutter
AF	SNOMEDCT	195080001	Atrial fibrillation and flutter
AF	SNOMEDCT	233911009	Non-rheumatic atrial fibrillation
AF	SNOMEDCT	428076002	History of atrial flutter
AF	SNOMEDCT	196371000000102	Atrial fibrillation resolved
AF	SNOMEDCT	248411000000105	Atrial fibrillation annual review
AF	SNOMEDCT	717221000000101	Atrial fibrillation monitoring first letter
AF	SNOMEDCT	716181000000109	Atrial fibrillation monitoring third letter
AF	SNOMEDCT	717011000000100	Atrial fibrillation monitoring verbal invite
AF	SNOMEDCT	440059007	Persistent atrial fibrillation
AF	SNOMEDCT	440028005	Permanent atrial fibrillation
AF	SNOMEDCT	716871000000101	Exception reporting: atrial fibrillation quality indicators
AF	SNOMEDCT	717381000000109	Excepted from atrial fibrillation qual indic: Inform dissent
AF	SNOMEDCT	5370000	Atrial flutter
AF	SNOMEDCT	716981000000106	Atrial fibrillation monitoring second letter
AF	SNOMEDCT	716721000000107	Atrial fibrillation monitoring telephone invite
AF	SNOMEDCT	713801000000102	Atrial fibrillation monitoring administration
AF	SNOMEDCT	282825002	Paroxysmal atrial fibrillation
AF	SNOMEDCT	312442005	H/O: atrial fibrillation
AF	SNOMEDCT	195080001	Atrial fibrillation and flutter NOS
AF	SNOMEDCT	134377004	Atrial fibrillation monitoring
AF	Read2_5digit	14AN.	H/O: atrial fibrillation
AF	Read2_5digit	14AR.	History of atrial flutter
AF	Read2_5digit	212R.	Atrial fibrillation resolved
AF	Read2_5digit	3272.	ECG: atrial fibrillation
AF	Read2_5digit	3273.	ECG: atrial flutter
AF	Read2_5digit	662S.	Atrial fibrillation monitoring
AF	Read2_5digit	6A9..	Atrial fibrillation annual review
AF	Read2_5digit	9hF..	Exception reporting: atrial fibrillation quality indicators
AF	Read2_5digit	9hF1.	Excepted from atrial fibrillation quality indicators: Informed dissent
AF	Read2_5digit	9Os..	Atrial fibrillation monitoring administration
AF	Read2_5digit	9Os0.	Atrial fibrillation monitoring first letter
AF	Read2_5digit	9Os1.	Atrial fibrillation monitoring second letter
AF	Read2_5digit	9Os2.	Atrial fibrillation monitoring third letter
AF	Read2_5digit	9Os3.	Atrial fibrillation monitoring verbal invite
AF	Read2_5digit	9Os4.	Atrial fibrillation monitoring telephone invite
AF	Read2_5digit	G573.	Atrial fibrillation and flutter
AF	Read2_5digit	G5730	Atrial fibrillation
AF	Read2_5digit	G5731	Atrial flutter
AF	Read2_5digit	G5732	Paroxysmal atrial fibrillation
AF	Read2_5digit	G5733	Non-rheumatic atrial fibrillation
AF	Read2_5digit	G5734	Permanent atrial fibrillation
AF	Read2_5digit	G5735	Persistent atrial fibrillation
AF	Read2_5digit	G573z	Atrial fibrillation and flutter NOS
